Keuwl Accelerometer Data File
2022-11-29 11-18-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
34.7903099,5.812166,-4.998607,2.550749,8.079212,71.595863,319.303650
34.7914848,5.802595,-4.984250,2.555535,8.064961,71.526329,319.338440
34.7926598,5.804988,-4.979464,2.557927,8.064487,71.507278,319.377319
34.7938309,5.797809,-4.996214,2.553142,8.068164,71.551842,319.247162
34.7950058,5.790631,-5.012963,2.545963,8.071130,71.612579,319.117188
34.7961769,5.790631,-5.008178,2.541178,8.066649,71.637817,319.144257
34.7973557,5.793024,-5.000999,2.545963,8.065423,71.599098,319.196625
34.7985268,5.790631,-5.010571,2.543571,8.068889,71.625191,319.130707
34.7997017,5.793024,-5.024928,2.541178,8.078774,71.666359,319.061310
34.8008766,5.800202,-5.039285,2.533999,8.090605,71.747658,319.015503
34.8020477,5.802595,-5.036891,2.524428,8.087837,71.812569,319.040680
34.8032227,5.807381,-5.032106,2.512464,8.084568,71.894188,319.091003
34.8043938,5.809773,-5.044070,2.493321,8.087816,72.044327,319.035339
34.8055687,5.816952,-5.058427,2.474179,8.096059,72.205566,318.989746
34.8067436,5.812166,-5.063213,2.452643,8.089058,72.349792,318.939575
34.8079185,5.804988,-5.070391,2.431108,8.081895,72.493790,318.864288
34.8090935,5.821737,-5.077569,2.416751,8.094135,72.627632,318.905914
34.8102646,5.840880,-5.087141,2.404787,8.110356,72.752007,318.945618
34.8114395,5.848059,-5.094319,2.376073,8.111572,72.966919,318.940460
34.8126106,5.845666,-5.099105,2.342573,8.103106,73.196175,318.902191
34.8137856,5.848059,-5.106284,2.316252,8.101787,73.387703,318.873871
34.8149605,5.860023,-5.115855,2.292324,8.109660,73.580627,318.878723
34.8161354,5.869594,-5.123033,2.275574,8.116393,73.717850,318.885254
34.8173103,5.867201,-5.118248,2.251646,8.104962,73.870415,318.900208
34.8184814,5.879165,-5.115855,2.230111,8.106167,74.031258,318.971283
34.8196564,5.905486,-5.127819,2.213361,8.128239,74.198517,319.031738
34.8208275,5.927022,-5.142176,2.184647,8.145197,74.442047,319.055695
34.8220024,5.929415,-5.151747,2.153540,8.144703,74.668106,319.014404
34.8231735,5.931808,-5.154140,2.129612,8.141667,74.836784,319.012665
34.8243523,5.934200,-5.156533,2.110470,8.139941,74.973053,319.010925
34.8255272,5.941379,-5.170890,2.086541,8.148112,75.162605,318.966370
34.8266983,5.960521,-5.173283,2.062613,8.157515,75.353882,319.044495
34.8278732,5.965307,-5.175675,2.043471,8.157712,75.493164,319.054138
34.8290443,5.960521,-5.182854,2.024328,8.153998,75.625313,318.992065
34.8302193,5.960521,-5.185246,2.000400,8.149613,75.791008,318.978973
34.8313904,5.974878,-5.187640,1.986043,8.158134,75.910149,319.034119
34.8325691,5.989235,-5.194818,1.971686,8.169738,76.034348,319.062958
34.8337440,5.994021,-5.213961,1.952543,8.180837,76.191780,318.981293
34.8349152,5.984449,-5.228317,1.935794,8.179011,76.309433,318.857910
34.8360901,5.991628,-5.230711,1.907080,8.179051,76.516441,318.878937
34.8372612,6.005985,-5.230711,1.880759,8.183486,76.713310,318.946869
34.8384361,6.008378,-5.249853,1.859223,8.192574,76.883011,318.854492
34.8396072,5.989235,-5.249853,1.847259,8.175834,76.941757,318.763885
34.8407822,5.972486,-5.233103,1.830509,8.149032,77.018936,318.775085
34.8419609,5.965307,-5.235496,1.804188,8.139435,77.193443,318.727966
34.8431320,5.965307,-5.235496,1.782653,8.134688,77.341347,318.727966
34.8443069,5.960521,-5.225924,1.753939,8.118769,77.523735,318.757141
34.8454781,5.950950,-5.213961,1.727618,8.098386,77.682503,318.776581
34.8466530,5.931808,-5.192425,1.698904,8.064360,77.838486,318.802612
