Keuwl Accelerometer Data File
2022-12-12 11-08-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
77.0319290,17.170895,-0.579063,-0.595813,17.190985,91.986183,358.068512
77.0331192,16.862221,-0.495314,-0.473779,16.876146,91.608727,358.317474
77.0343018,16.567904,-0.404387,-0.349352,16.576519,91.207603,358.601807
77.0354919,16.271194,-0.315853,-0.220140,16.275749,90.774986,358.887939
77.0366821,15.984056,-0.222533,-0.078963,15.985800,90.283020,359.202362
77.0378723,15.720845,-0.119641,0.064606,15.721434,89.764549,359.563965
77.0390472,15.481563,-0.011964,0.203390,15.482903,89.247314,359.955719
77.0402374,15.259030,0.112463,0.351745,15.263498,88.679512,0.422276
77.0414276,15.041284,0.241675,0.509671,15.051857,88.059532,0.920518
77.0426102,14.828321,0.370888,0.667598,14.847976,87.422989,1.432789
77.0438004,14.629718,0.502493,0.823131,14.661469,86.781578,1.967188
77.0449905,14.447864,0.648455,0.988236,14.496133,86.090981,2.569848
77.0461731,14.261223,0.796810,1.141376,14.328996,85.431267,3.197932
77.0473633,14.074583,0.942772,1.280160,14.164093,84.814491,3.832177
77.0485535,13.899907,1.088734,1.404587,14.013052,84.247345,4.478647
77.0497284,13.725230,1.229911,1.526621,13.864530,83.678352,5.120569
77.0509186,13.557734,1.368695,1.658226,13.727169,83.061790,5.764653
77.0521088,13.399807,1.495514,1.775474,13.599401,82.498314,6.368264
77.0532913,13.244273,1.631905,1.864009,13.473990,82.048126,7.024346
77.0544815,13.095919,1.775474,1.935794,13.356748,81.666771,7.720780
77.0556717,12.937992,1.919044,1.988436,13.229823,81.355721,8.436954
77.0568542,12.777673,2.050649,2.026721,13.098919,81.099197,9.117476
77.0580444,12.629318,2.167897,2.043471,12.975948,80.939262,9.740232
77.0592346,12.492927,2.292324,2.036292,12.863687,80.891899,10.397529
77.0604095,12.358929,2.411965,2.017149,12.752631,80.899010,11.043025
77.0615997,12.217752,2.519642,1.998007,12.633847,80.900635,11.652630
77.0627899,12.067004,2.615355,1.971686,12.503609,80.927200,12.228921
77.0639801,11.918650,2.713461,1.928615,12.374839,81.033920,12.825643
77.0651627,11.765509,2.804388,1.871187,12.239000,81.205711,13.406675
77.0663528,11.617154,2.890530,1.801795,12.106193,81.440720,13.972360
77.0675430,11.478371,2.955136,1.706083,11.974830,81.809059,14.437417
77.0687256,11.337193,3.005385,1.600798,11.837519,82.228027,14.847086
77.0699158,11.198410,3.055634,1.497907,11.704060,82.647018,15.262369
77.0710983,11.052447,3.101098,1.395016,11.563714,83.071114,15.673069
77.0722809,10.906486,3.127419,1.299303,11.420174,83.467163,16.000170
77.0734711,10.762917,3.139383,1.198804,11.275337,83.896729,16.261183
77.0746613,10.597812,3.153740,1.100698,11.111761,84.315125,16.572168
77.0758438,10.425529,3.165704,1.012164,10.942477,84.692635,16.890875
77.0770340,10.255638,3.184847,0.933201,10.779250,85.033470,17.251970
77.0782242,10.085748,3.208775,0.859023,10.618685,85.359856,17.648441
77.0794144,9.918250,3.225525,0.789631,10.459408,85.670341,18.015099
77.0805969,9.750752,3.254239,0.717847,10.304492,86.005341,18.456036
77.0817795,9.583255,3.287738,0.634098,10.151358,86.418724,18.935616
77.0829697,9.418150,3.321238,0.552742,10.001884,86.832001,19.424805
77.0841522,9.250652,3.357130,0.473779,9.852378,87.243713,19.946209
77.0853424,9.097511,3.393023,0.399601,9.717870,87.643318,20.453585
77.0865326,8.951550,3.436093,0.334995,9.594228,87.999039,20.999529
77.0877151,8.800801,3.481557,0.282353,9.468636,88.291199,21.583525
77.0889053,8.659625,3.529413,0.239282,9.354310,88.534218,22.174393
77.0900955,8.525627,3.584448,0.186640,9.250374,88.843895,22.803453
77.0912781,8.405986,3.634698,0.133998,9.159125,89.161736,23.383364
77.0924606,8.291130,3.684947,0.093320,9.073608,89.410713,23.962490
77.0936508,8.173882,3.732803,0.059821,8.986087,89.618576,24.544970
77.0948334,8.044670,3.778267,0.028714,8.887792,89.814896,25.157608
77.0960236,7.910672,3.823730,-0.016750,8.786349,90.109222,25.797430
77.0972137,7.800602,3.852444,-0.064606,8.700281,90.425468,26.283155
77.0983963,7.697711,3.883551,-0.107677,8.622547,90.715523,26.771278
77.0995865,7.601997,3.917051,-0.143569,8.553027,90.961800,27.260511
77.1007767,7.518249,3.955336,-0.169890,8.496918,91.145668,27.748772
77.1019669,7.441679,4.005585,-0.181855,8.453187,91.232704,28.291967
77.1031418,7.365108,4.053442,-0.198604,8.409200,91.353310,28.826513
77.1043320,7.293324,4.096512,-0.217747,8.367879,91.491104,29.322041
77.1055222,7.226325,4.151547,-0.234497,8.337272,91.611732,29.877510
77.1067047,7.156932,4.206582,-0.253639,8.305501,91.750008,30.445450
77.1078949,7.094719,4.249653,-0.265603,8.274365,91.839485,30.921110
77.1090851,7.044470,4.295116,-0.275175,8.255198,91.910225,31.371273
77.1102676,6.999006,4.333402,-0.284746,8.236840,91.981094,31.763525
77.1114578,6.963114,4.359723,-0.282353,8.220210,91.968422,32.051376
77.1126480,6.934400,4.386044,-0.279960,8.209851,91.954193,32.313564
77.1138229,6.917650,4.424329,-0.275175,8.216100,91.919319,32.601807
77.1150131,6.912865,4.467400,-0.260818,8.234888,91.814995,32.872337
77.1162033,6.905686,4.486542,-0.239282,8.238618,91.664330,33.011303
77.1173859,6.896115,4.500899,-0.222533,8.237962,91.547920,33.131351
77.1185760,6.879365,4.532006,-0.212961,8.240758,91.480827,33.376198
77.1197662,6.850651,4.565506,-0.193819,8.234855,91.348656,33.680832
77.1209488,6.819544,4.601398,-0.181855,8.228738,91.266335,34.008991
77.1221390,6.788438,4.651647,-0.174676,8.231113,91.215988,34.420143
77.1233292,6.754938,4.709075,-0.160319,8.235914,91.115379,34.881538
77.1245041,6.728617,4.764110,-0.153141,8.245876,91.064148,35.299908
77.1256943,6.697511,4.811966,-0.143569,8.248169,90.997353,35.696144
77.1268845,6.666404,4.859823,-0.126820,8.250751,90.880707,36.092129
77.1280746,6.647261,4.907679,-0.107677,8.263352,90.746620,36.438484
77.1292572,6.630512,4.955536,-0.083749,8.278167,90.579659,36.773834
