Keuwl Accelerometer Data File
2022-11-29 11-33-27

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
31.6499138,12.555140,-5.766703,0.600598,13.829213,87.510880,335.330200
31.6511021,12.519248,-5.804988,0.550349,13.810588,87.716171,335.123566
31.6522884,12.466606,-5.843273,0.488136,13.776734,87.969475,334.886871
31.6534748,12.413964,-5.888737,0.430708,13.746608,88.204521,334.622040
31.6546631,12.344572,-5.934200,0.387637,13.702316,88.378891,334.325775
31.6558514,12.260823,-5.989235,0.349352,13.649937,88.533432,333.965149
31.6570396,12.181860,-6.044270,0.306281,13.602379,88.709778,333.610779
31.6582260,12.093326,-6.106483,0.265603,13.550210,88.876846,333.208649
31.6594143,11.985648,-6.175875,0.236889,13.485300,88.993462,332.739197
31.6606007,11.877972,-6.250053,0.222533,13.423818,89.050140,332.247162
31.6617889,11.784652,-6.329016,0.222533,13.378489,89.046921,331.761719
31.6629753,11.700903,-6.412765,0.220140,13.344780,89.054787,331.274750
31.6641636,11.619547,-6.484550,0.220140,13.308332,89.052200,330.835327
31.6653519,11.535798,-6.558727,0.241675,13.272149,88.956635,330.379425
31.6665401,11.456835,-6.632905,0.265603,13.241035,88.850624,329.931427
31.6677284,11.380264,-6.714260,0.291924,13.216539,88.734360,329.459747
31.6689129,11.308480,-6.786045,0.318245,13.192172,88.617676,329.032684
31.6701012,11.231910,-6.853044,0.344566,13.162019,88.499893,328.610931
31.6712894,11.157732,-6.922436,0.378066,13.136134,88.350761,328.183868
31.6724777,11.083554,-6.991828,0.418744,13.111300,88.169800,327.755066
31.6736641,11.004591,-7.056434,0.473779,13.081237,87.924393,327.330933
31.6748524,10.928021,-7.109076,0.535992,13.047908,87.645699,326.954529
31.6760406,10.846665,-7.149754,0.600598,13.004993,87.353020,326.608490
31.6772270,10.767702,-7.188039,0.669990,12.963803,87.037544,326.274689
31.6784134,10.688739,-7.226325,0.748953,12.924002,86.677818,325.938599
31.6796017,10.616954,-7.267003,0.842274,12.893350,86.254417,325.609467
31.6807899,10.549955,-7.307680,0.921237,12.866718,85.894203,325.290649
31.6819782,10.470992,-7.329216,0.993021,12.819717,85.557388,325.009735
31.6831646,10.408778,-7.326823,1.076770,12.774366,85.164719,324.857971
31.6843529,10.356136,-7.331609,1.162912,12.741838,84.763489,324.703491
31.6855392,10.303494,-7.348358,1.253839,12.717408,84.341881,324.503876
31.6867275,10.267602,-7.372287,1.354338,12.712533,83.884354,324.321106
31.6879139,10.243673,-7.396215,1.464407,12.719329,83.388733,324.169678
31.6891022,10.224531,-7.417750,1.574477,12.729612,82.895111,324.039642
31.6902905,10.202995,-7.446464,1.670190,12.741290,82.467712,323.876862
31.6914787,10.202995,-7.472785,1.753939,12.767926,82.104271,323.780548
31.6926651,10.219746,-7.496713,1.844866,12.808101,81.718369,323.738007
31.6938534,10.224531,-7.511070,1.935794,12.833726,81.324600,323.698517
31.6950397,10.219746,-7.503892,2.007578,12.836742,81.002396,323.711853
31.6962280,10.226924,-7.479964,2.072184,12.838760,80.711792,323.818298
31.6974144,10.238888,-7.451250,2.134398,12.841791,80.432632,323.955109
31.6986027,10.260424,-7.427321,2.203790,12.856830,80.130188,324.099945
31.6997910,10.291531,-7.393822,2.270789,12.874032,79.840721,324.305115
31.7009792,10.332209,-7.350751,2.311467,12.889179,79.669037,324.570404
31.7021675,10.377672,-7.293324,2.333002,12.896959,79.578072,324.900848
31.7033520,10.435100,-7.226325,2.349752,12.908617,79.511993,325.297333
31.7045403,10.490134,-7.171289,2.364109,12.925142,79.460823,325.642609
31.7057285,10.554741,-7.101898,2.376073,12.941608,79.420509,326.064850
31.7069168,10.631311,-7.032506,2.385644,12.968122,79.399368,326.515778
31.7081032,10.703095,-6.975078,2.388037,12.996564,79.412102,326.908203
31.7092915,10.774880,-6.903293,2.373680,13.014909,79.491486,327.352966
31.7104797,10.851451,-6.831509,2.356930,13.037584,79.584824,327.807617
31.7116661,10.932807,-6.774081,2.342573,13.072952,79.677277,328.217224
31.7128525,11.014163,-6.719046,2.321038,13.108951,79.801582,328.615265
31.7140408,11.078769,-6.659225,2.292324,13.127800,79.943687,328.990753
31.7152290,11.145768,-6.585048,2.251646,13.140050,80.133247,329.424927
31.7164173,11.212767,-6.513263,2.199004,13.152351,80.375244,329.848572
31.7176037,11.274981,-6.443871,2.122434,13.158776,80.717979,330.251190
31.7187920,11.334801,-6.364908,2.041078,13.158866,81.076797,330.684174
31.7199783,11.385050,-6.293124,1.964507,13.156065,81.412285,331.068237
31.7211666,11.437693,-6.218946,1.878366,13.153872,81.790131,331.466034
31.7223530,11.485549,-6.139983,1.787439,13.145803,82.185272,331.871796
31.7235413,11.521441,-6.063413,1.698904,13.129922,82.565552,332.243408
31.7247295,11.550155,-5.982057,1.612762,13.106947,82.932053,332.619446
31.7259178,11.586047,-5.895915,1.521835,13.088708,83.323067,333.029327
31.7271061,11.626725,-5.812166,1.416551,13.075498,83.780579,333.439667
31.7282906,11.653047,-5.726025,1.304088,13.049195,84.264496,333.831604
31.7294788,11.676974,-5.632705,1.203590,13.020281,84.696030,334.248413
31.7306671,11.705688,-5.541777,1.098306,12.997719,85.152733,334.665924
31.7318554,11.715260,-5.448457,0.971486,12.956727,85.699966,335.058105
31.7330418,11.712867,-5.352744,0.859023,12.906628,86.183754,335.439758
31.7342300,11.717652,-5.278567,0.753739,12.873801,86.643509,335.749390
31.7354183,11.732010,-5.201996,0.634098,12.849237,87.171356,336.087402
31.7366066,11.729616,-5.115855,0.526421,12.807536,87.644341,336.435638
31.7377911,11.715260,-5.036891,0.421137,12.759111,88.108505,336.735077
31.7389793,11.705688,-4.965107,0.301496,12.718740,88.641685,337.015198
31.7401676,11.691332,-4.905286,0.196211,12.680203,89.113380,337.238739
31.7413559,11.669796,-4.845466,0.102891,12.636189,89.533455,337.451080
31.7425423,11.653047,-4.776074,0.002393,12.593823,89.989113,337.713409
31.7437305,11.641082,-4.704289,-0.100499,12.556084,90.458595,337.995819
31.7449188,11.629118,-4.627719,-0.200997,12.517691,90.920044,338.300293
31.7461052,11.602797,-4.555934,-0.294317,12.468683,91.352562,338.562134
31.7472916,11.564512,-4.476971,-0.385244,12.406837,91.779373,338.837067
