Keuwl Accelerometer Data File
2022-11-29 12-10-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.166950,4.239000,6.052050,7.390826,35.029182,92.255386
0.0200982,0.823950,4.630050,5.422050,7.177388,40.936596,79.909447
0.0401966,-0.580950,4.462050,7.207050,8.496409,31.978535,97.418068
0.0602948,-2.575950,4.684950,8.323050,9.892293,32.715225,118.803535
0.0803932,-3.237000,5.149050,8.107050,10.134849,36.877705,122.155922
0.1004917,-1.431000,5.461050,7.753050,9.590652,36.060440,104.683510
0.1205898,-0.753000,5.992950,7.222950,9.415597,39.903484,97.161552
0.1406882,-0.801000,5.860950,7.729050,9.732963,37.428658,97.782242
0.1607865,-0.712950,6.019050,8.461950,10.408740,35.613274,96.755150
0.1808849,-0.121050,5.857950,8.341950,10.194036,35.083347,91.183807
0.2009831,0.484050,5.121000,8.311050,9.774074,31.753952,84.600296
0.2210815,0.481050,5.014950,8.815950,10.153921,29.746269,84.520767
0.2411797,0.666000,5.050950,9.901051,11.134920,27.228464,82.488518
0.2612781,0.381000,5.587950,10.987950,12.333102,27.009453,86.099472
0.2813763,0.775950,5.509050,12.147000,13.360440,24.608183,81.982628
0.3014747,1.570950,5.542050,12.792001,14.029165,24.242638,74.174088
0.3215731,2.224950,5.830050,13.419001,14.798968,24.939646,69.111404
0.3416713,2.938950,5.026950,14.559001,15.680311,21.799469,59.687790
0.3617695,3.367050,3.459000,14.914051,15.675797,17.935055,45.771751
0.3818679,2.527050,2.938950,12.706051,13.284093,16.964413,49.309479
0.4019663,1.209000,4.600950,9.532050,10.653188,26.522333,75.277130
0.4220645,0.232050,7.033950,6.634050,9.671656,46.691437,88.110497
0.4421629,-0.085050,7.458000,4.677000,8.803597,57.909367,90.653366
0.4622611,0.544050,6.366000,3.679050,7.372745,60.065685,85.115265
0.4823593,1.699950,5.272050,4.177050,6.937730,52.981178,72.128304
0.5024577,1.153950,4.933950,5.568000,7.528485,42.303410,76.836304
0.5225561,0.342000,4.800000,5.913000,7.623682,39.139683,85.924561
0.5426544,-1.230000,5.070000,5.034000,7.249756,46.023106,103.636696
0.5627527,-1.987050,3.957000,4.737000,6.484241,43.068287,116.664001
0.5828510,-0.009000,2.908050,5.121000,5.889099,29.590958,90.177322
0.6029494,-0.270000,3.504000,5.650050,6.653870,31.882019,94.406204
0.6230477,0.121950,3.789000,6.004050,7.100705,32.268345,88.156555
0.6431461,0.259050,4.141050,5.880000,7.196514,35.208206,86.420433
0.6632445,0.061950,4.231950,5.500950,6.940727,37.574501,89.161331
0.6833428,-0.310050,4.153050,5.482050,6.884536,37.223236,94.269554
0.7034411,-0.205050,4.600950,6.723001,8.149204,34.412663,92.551804
0.7235394,0.139050,5.158950,7.980000,9.503395,32.891548,88.456070
0.7436377,-0.717000,5.668950,8.337001,10.107258,34.426422,97.208405
0.7637359,-1.531950,6.238950,8.359051,10.542538,37.543781,103.795815
0.7838344,-1.134000,6.397050,8.353951,10.582850,37.871857,100.052353
0.8039327,-1.072050,6.619950,9.453000,11.590178,35.352840,99.198753
0.8240310,-0.351000,6.310950,11.364000,13.003531,29.082996,93.183372
