Keuwl Accelerometer Data File
2022-12-19 16-02-33

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
132.0763397,5.484350,-9.841680,1.679762,11.391152,81.520126,299.129059
132.0774994,5.424529,-9.822537,1.672583,11.344835,81.521912,298.909821
132.0786896,5.367101,-9.810573,1.663012,11.305695,81.541382,298.681885
132.0798645,5.304888,-9.803394,1.648655,11.267939,81.586632,298.419037
132.0810242,5.254639,-9.774680,1.627119,11.216199,81.658745,298.261444
132.0822144,5.213961,-9.741181,1.596013,11.163479,81.780411,298.157898
132.0833740,5.163711,-9.707682,1.552942,11.104712,81.961105,298.009399
132.0845490,5.099105,-9.671789,1.500300,11.036090,82.186737,297.798828
132.0857391,5.044070,-9.633504,1.454836,10.971034,82.379730,297.636414
132.0868988,4.993821,-9.609575,1.402194,10.920089,82.622566,297.459595
132.0880737,4.945964,-9.597611,1.339981,10.879901,82.925423,297.263550
132.0892487,4.898108,-9.583255,1.284946,10.838881,83.191589,297.072083
132.0904236,4.850252,-9.566504,1.225125,10.795549,83.483788,296.885162
132.0915985,4.809574,-9.549755,1.170090,10.756344,83.754929,296.731354
132.0927734,4.778467,-9.547362,1.105484,10.733498,84.088402,296.588013
132.0939484,4.744967,-9.540184,1.040878,10.705758,84.420547,296.444214
132.0951233,4.701897,-9.523434,0.990629,10.667004,84.671349,296.276398
132.0962982,4.661219,-9.513863,0.933201,10.635385,84.966110,296.102081
132.0974731,4.625326,-9.499506,0.863809,10.600964,85.326126,295.961517
132.0986481,4.589434,-9.492328,0.796810,10.573651,85.678207,295.803253
132.0998077,4.560720,-9.487542,0.739382,10.552739,85.982254,295.673889
132.1009979,4.541577,-9.494720,0.681954,10.547071,86.292770,295.563019
132.1021576,4.524827,-9.499506,0.626920,10.540764,86.590279,295.469513
132.1033325,4.515256,-9.494720,0.579063,10.529605,86.847496,295.433624
132.1045227,4.498507,-9.487542,0.535992,10.513672,87.077766,295.367920
132.1056824,4.467400,-9.470792,0.495314,10.483268,87.291878,295.253387
132.1068573,4.436293,-9.451650,0.468993,10.451523,87.428093,295.143829
132.1080322,4.405187,-9.449257,0.445065,10.435143,87.555557,294.994659
132.1092072,4.381258,-9.449257,0.421137,10.424069,87.684593,294.875336
132.1103821,4.359723,-9.427721,0.401994,10.394745,87.783661,294.817535
132.1115570,4.328616,-9.408579,0.378066,10.363456,87.909348,294.705811
132.1127319,4.295116,-9.399008,0.354138,10.339960,88.037270,294.559235
132.1139069,4.275974,-9.399008,0.315853,10.330783,88.247971,294.462646
132.1150818,4.259224,-9.396614,0.272782,10.320454,88.485428,294.383453
132.1162567,4.235296,-9.394221,0.241675,10.307645,88.656509,294.267792
132.1174316,4.204189,-9.391829,0.220140,10.292235,88.774414,294.115356
132.1185913,4.168297,-9.389436,0.191426,10.274865,88.932487,293.938110
132.1197815,4.141976,-9.394221,0.155533,10.267987,89.132080,293.792999
132.1209564,4.132405,-9.406186,0.112463,10.274520,89.372841,293.717255
132.1221161,4.130012,-9.413364,0.081356,10.279837,89.546547,293.688934
132.1233063,4.132405,-9.403793,0.064606,10.271916,89.639633,293.722626
132.1244659,4.125226,-9.403793,0.057428,10.268989,89.679581,293.685944
132.1256409,4.120440,-9.394221,0.045464,10.258240,89.746071,293.682953
132.1268158,4.125226,-9.389436,0.038285,10.255753,89.786110,293.718170
132.1279907,4.132405,-9.399008,0.035892,10.267395,89.799706,293.733368
132.1291656,4.139583,-9.408579,0.043071,10.279074,89.759918,293.748505
132.1303406,4.144369,-9.418150,0.059821,10.289845,89.666908,293.751434
132.1315155,4.163511,-9.425328,0.066999,10.304180,89.627457,293.832794
132.1326904,4.177868,-9.432507,0.064606,10.316537,89.641190,293.889618
132.1338654,4.189833,-9.437292,0.062213,10.325747,89.654785,293.939575
132.1350403,4.197011,-9.437292,0.057428,10.328634,89.681435,293.975983
132.1362152,4.199404,-9.439685,0.066999,10.331850,89.628448,293.982697
132.1373749,4.201797,-9.456435,0.081356,10.348230,89.549545,293.957092
132.1385651,4.204189,-9.470792,0.095713,10.362445,89.470779,293.936951
132.1397400,4.211368,-9.461221,0.126820,10.356949,89.298401,293.994751
132.1408997,4.230510,-9.449257,0.165105,10.354367,89.086357,294.118469
132.1420746,4.256832,-9.444471,0.205783,10.361515,88.862015,294.262146
132.1432495,4.275974,-9.434899,0.248854,10.361622,88.623802,294.380432
132.1444244,4.295116,-9.442079,0.289532,10.377124,88.401184,294.460358
132.1455994,4.316652,-9.449257,0.327817,10.393719,88.192596,294.552094
132.1467743,4.338187,-9.432507,0.368495,10.388832,87.967278,294.698578
132.1479492,4.359723,-9.422935,0.421137,10.391162,87.677261,294.828644
132.1491241,4.383651,-9.413364,0.476172,10.394930,87.374474,294.970642
132.1502991,4.405187,-9.375079,0.524028,10.371711,87.103912,295.167999
132.1514740,4.421936,-9.343972,0.571885,10.353279,86.833542,295.325348
132.1526489,4.450650,-9.334401,0.629312,10.360278,86.517548,295.491852
132.1538239,4.481757,-9.329616,0.698704,10.373816,86.138054,295.658691
132.1549988,4.503292,-9.320045,0.763310,10.379090,85.782486,295.789063
132.1561737,4.532006,-9.310472,0.827917,10.387946,85.428696,295.955170
132.1573486,4.575077,-9.296116,0.890130,10.399107,85.089661,296.204071
132.1585236,4.639683,-9.276974,0.947558,10.415698,84.780357,296.570953
132.1596832,4.706682,-9.272188,1.009771,10.447294,84.453484,296.912933
132.1608582,4.759324,-9.265009,1.069592,10.470701,84.136955,297.189026
132.1620331,4.816752,-9.262616,1.127020,10.500825,83.838760,297.475372
132.1632080,4.874180,-9.257831,1.182054,10.529118,83.554085,297.766479
132.1643829,4.917251,-9.265009,1.244268,10.562572,83.234863,297.956390
132.1655579,4.967500,-9.284152,1.292124,10.608541,83.003983,298.149078
132.1667328,5.034499,-9.284152,1.325624,10.644197,82.845833,298.469574
132.1679077,5.094319,-9.276974,1.356730,10.670288,82.695053,298.772766
132.1690826,5.139783,-9.281759,1.373480,10.698358,82.623878,298.975525
132.1702576,5.185246,-9.288938,1.380659,10.727411,82.605301,299.171021
132.1714325,5.223532,-9.288938,1.387837,10.746895,82.580193,299.350739
132.1726074,5.257031,-9.276974,1.402194,10.754756,82.508507,299.539154
132.1737823,5.307281,-9.267402,1.430908,10.774946,82.368599,299.799011
132.1749573,5.364708,-9.265009,1.466800,10.806109,82.198700,300.072083
132.1761169,5.419743,-9.260223,1.493121,10.833040,82.077682,300.339203
132.1773071,5.472385,-9.267402,1.509871,10.867909,82.014107,300.561768
132.1784668,5.529813,-9.284152,1.521835,10.912850,81.983772,300.778809
132.1796417,5.584848,-9.291330,1.538585,10.949273,81.922096,301.009308
132.1808319,5.637490,-9.310472,1.562513,10.995801,81.830566,301.194916
132.1819916,5.690132,-9.334401,1.591227,11.047201,81.718369,301.365967
132.1831665,5.747560,-9.355937,1.622334,11.099548,81.595421,301.563324
132.1843414,5.807381,-9.382257,1.651048,11.156988,81.489929,301.756470
132.1855164,5.879165,-9.406186,1.677369,11.218489,81.400993,302.006683
132.1866913,5.960521,-9.430114,1.701297,11.284914,81.329117,302.295868
132.1878662,6.034698,-9.454042,1.732404,11.348908,81.219505,302.550873
132.1890411,6.101698,-9.480363,1.775474,11.413164,81.050507,302.765930
132.1902161,6.159125,-9.499506,1.820938,11.466964,80.862831,302.957886
132.1913910,6.214160,-9.518648,1.859223,11.518558,80.711189,303.138123
132.1925659,6.273981,-9.533006,1.897508,11.568992,80.559883,303.350220
132.1937408,6.336195,-9.542577,1.931008,11.616235,80.431099,303.583832
132.1949005,6.407979,-9.554541,1.957329,11.669729,80.344307,303.848724
132.1960907,6.472585,-9.552148,1.983650,11.707808,80.245338,304.121765
132.1972504,6.525228,-9.556933,2.012364,11.745773,80.135040,304.324249
132.1984253,6.580262,-9.568898,2.031507,11.789431,80.077499,304.515198
