Keuwl Accelerometer Data File
2022-11-29 12-33-31

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.007178,-0.313460,11.672189,11.676399,1.538751,268.688110
0.0011876,0.007178,-0.279960,11.418550,11.421983,1.404860,271.468811
0.0023751,0.002393,-0.229711,11.057234,11.059620,1.190254,270.596802
0.0035627,0.004786,-0.179462,10.664810,10.666321,0.964286,271.527527
0.0047502,0.019143,-0.131605,10.272388,10.273248,0.741513,278.275879
0.0059377,0.011964,-0.086142,9.932607,9.932987,0.501631,277.907166
0.0071253,0.007178,-0.047856,9.671789,9.671910,0.286674,278.530762
0.0083128,0.035892,-0.002393,9.454042,9.454111,0.218503,356.185913
0.0095004,0.076570,0.038285,9.253045,9.253441,0.530080,26.565052
0.0106879,0.100499,0.052642,9.040084,9.040795,0.718733,27.645977
0.0118755,0.117248,0.055035,8.819944,8.820895,0.841164,25.144785
0.0130630,0.124427,0.050249,8.630911,8.631954,0.890873,21.991129
0.0142506,0.131605,0.057428,8.506484,8.507695,0.966718,23.574705
0.0154381,0.150748,0.057428,8.429914,8.431458,1.096465,20.854458
0.0166257,0.167498,0.052642,8.386844,8.388681,1.199263,17.447189
0.0178132,0.181855,0.050249,8.362915,8.365043,1.292255,15.446316
0.0190008,0.189033,0.047856,8.360522,8.362796,1.336034,14.206766
0.0201883,0.193819,0.040678,8.405986,8.408319,1.349587,11.853004
0.0213759,0.181855,0.026321,8.487342,8.489330,1.240173,8.235620
0.0225634,0.169890,0.021535,8.587840,8.589547,1.142267,7.224316
0.0237510,0.172283,0.019143,8.712267,8.713991,1.139866,6.340192
0.0249385,0.177069,0.019143,8.843872,8.845665,1.153688,6.170175
0.0261261,0.174676,0.014357,8.961121,8.962834,1.120474,4.698680
0.0273136,0.157926,0.011964,9.066405,9.067789,1.000929,4.332314
0.0285012,0.143569,0.007178,9.152547,9.153675,0.899616,2.862405
0.0296887,0.141177,-0.004786,9.221938,9.223020,0.877373,358.058502
0.0308763,0.143569,-0.028714,9.288938,9.290092,0.903090,348.690063
0.0320639,0.138784,-0.047856,9.351151,9.352303,0.899399,340.974396
0.0332514,0.136391,-0.057428,9.408579,9.409742,0.900921,337.166351
0.0344390,0.141177,-0.062213,9.470792,9.472049,0.933351,336.217957
0.0356265,0.141177,-0.062213,9.542577,9.543824,0.926407,336.217957
0.0368141,0.126820,-0.062213,9.607183,9.608221,0.842327,333.868988
0.0380016,0.102891,-0.057428,9.674182,9.674900,0.698015,330.832397
0.0391891,0.093320,-0.055035,9.748360,9.748961,0.636737,329.470306
0.0403767,0.081356,-0.062213,9.805787,9.806322,0.598398,322.594635
0.0415642,0.055035,-0.069392,9.858429,9.858827,0.514723,308.418060
0.0427518,0.038285,-0.069392,9.920643,9.920959,0.457568,298.886597
0.0439393,0.021535,-0.066999,9.973285,9.973533,0.403968,287.818878
0.0451269,0.000000,-0.059821,10.028319,10.028498,0.341497,270.000000
0.0463144,-0.011964,-0.062213,10.078569,10.078769,0.360452,259.114471
0.0475020,-0.009571,-0.062213,10.126426,10.126621,0.356083,261.253845
0.0486895,-0.021535,-0.057428,10.162318,10.162503,0.345484,249.443954
0.0498771,-0.040678,-0.064606,10.164711,10.164998,0.430693,237.804260
0.0510646,-0.052642,-0.071785,10.162318,10.162708,0.502021,233.746170
0.0522522,-0.055035,-0.088534,10.171889,10.172423,0.587175,238.134018
0.0534397,-0.047856,-0.105284,10.174282,10.174939,0.651020,245.556046
0.0546273,-0.028714,-0.117248,10.171889,10.172606,0.679838,256.239227
0.0558148,-0.009571,-0.129212,10.171889,10.172714,0.729810,265.763611
0.0570024,0.007178,-0.133998,10.162318,10.163204,0.756664,273.066498
0.0581899,0.002393,-0.136391,10.143175,10.144093,0.770502,271.005096
0.0593775,-0.014357,-0.136391,10.135997,10.136925,0.775312,263.990997
0.0605651,-0.014357,-0.138784,10.133604,10.134564,0.788823,264.093872
0.0617526,-0.016750,-0.136391,10.131211,10.132143,0.777077,262.998718
0.0629402,-0.019143,-0.136391,10.133604,10.134540,0.778586,262.010681
0.0641277,-0.009571,-0.131605,10.131211,10.132071,0.746248,265.840363
0.0653153,-0.004786,-0.126820,10.116854,10.117650,0.718733,267.838928
0.0665028,-0.002393,-0.119641,10.102497,10.103206,0.678685,268.854248
0.0676903,-0.002393,-0.110070,10.083355,10.083956,0.625576,268.754639
0.0688779,-0.007178,-0.100499,10.057034,10.057538,0.574031,265.914398
0.0700654,-0.007178,-0.102891,10.037891,10.038421,0.588506,266.009094
0.0712530,-0.007178,-0.105284,10.011570,10.012126,0.603931,266.099518
0.0724405,-0.007178,-0.093320,9.968499,9.968939,0.538140,265.601288
0.0736281,-0.007178,-0.083749,9.927821,9.928177,0.484971,265.100922
0.0748156,0.004786,-0.088534,9.884750,9.885148,0.513962,273.094055
0.0760032,0.014357,-0.090927,9.834501,9.834932,0.536319,278.972626
0.0771907,0.019143,-0.083749,9.793823,9.794200,0.502411,282.875000
0.0783783,0.028714,-0.083749,9.760324,9.760725,0.519641,288.924652
0.0795658,0.028714,-0.088534,9.734002,9.734447,0.547512,287.969147
0.0807534,0.028714,-0.093320,9.719646,9.720137,0.576073,287.102722
0.0819409,0.038285,-0.088534,9.700503,9.700983,0.569926,293.385223
0.0831285,0.055035,-0.088534,9.690931,9.691492,0.616438,301.865967
0.0843160,0.066999,-0.100499,9.693324,9.694077,0.713816,303.690063
0.0855036,0.071785,-0.100499,9.690931,9.691718,0.730078,305.537689
0.0866911,0.074178,-0.095713,9.702896,9.703651,0.714911,307.775696
0.0878787,0.071785,-0.093320,9.719646,9.720359,0.694080,307.568604
0.0890662,0.069392,-0.090927,9.731609,9.732282,0.673476,307.349335
0.0902538,0.064606,-0.093320,9.750752,9.751413,0.667053,304.695160
0.0914413,0.059821,-0.105284,9.772287,9.773037,0.709692,299.604462
0.0926289,0.055035,-0.107677,9.777073,9.777821,0.708588,297.072083
0.0938165,0.043071,-0.105284,9.781859,9.782521,0.666466,292.249023
0.0950040,0.031107,-0.105284,9.789038,9.789653,0.642244,286.460022
0.0961916,0.028714,-0.098106,9.784252,9.784786,0.598725,286.313843
0.0973791,0.028714,-0.086142,9.774680,9.775102,0.531923,288.434937
0.0985666,0.023928,-0.088534,9.765109,9.765539,0.537776,285.123993
0.0997542,0.011964,-0.095713,9.760324,9.760800,0.566482,277.125031
0.1009417,0.007178,-0.098106,9.762716,9.763212,0.577430,274.184906
0.1021293,0.004786,-0.086142,9.762716,9.763098,0.506677,273.179840
0.1033168,0.002393,-0.074178,9.755538,9.755820,0.435662,271.847595
0.1045044,0.004786,-0.074178,9.757931,9.758214,0.436559,273.691376
0.1056919,0.011964,-0.081356,9.767502,9.767848,0.482545,278.365875
0.1068795,0.011964,-0.088534,9.767502,9.767910,0.523767,277.696045
0.1080670,0.009571,-0.083749,9.767502,9.767865,0.494164,276.519806
0.1092546,0.007178,-0.069392,9.765109,9.765358,0.409261,275.906128
0.1104421,0.000000,-0.059821,9.760324,9.760507,0.351102,270.000000
0.1116297,0.000000,-0.064606,9.762716,9.762930,0.378976,270.000000
0.1128172,0.007178,-0.071785,9.762716,9.762983,0.423823,275.710602
0.1140048,0.021535,-0.078963,9.748360,9.748703,0.480920,285.255127
0.1151923,0.033500,-0.078963,9.731609,9.731987,0.504742,292.988708
0.1163799,0.038285,-0.086142,9.729217,9.729673,0.555319,293.962494
0.1175674,0.043071,-0.098106,9.729217,9.729807,0.631181,293.702637
0.1187550,0.040678,-0.107677,9.734002,9.734683,0.677820,290.695435
0.1199425,0.043071,-0.107677,9.738789,9.739479,0.682136,291.801422
0.1211301,0.050249,-0.098106,9.736395,9.737019,0.648611,297.121307
0.1223176,0.047856,-0.098106,9.736395,9.737007,0.642549,296.003357
0.1235052,0.040678,-0.102891,9.736395,9.737023,0.651020,291.571320
0.1246928,0.043071,-0.093320,9.750752,9.751294,0.603931,294.775146
0.1258803,0.038285,-0.083749,9.767502,9.767936,0.539955,294.567169
0.1270679,0.033500,-0.081356,9.777073,9.777469,0.515483,292.380127
0.1282554,0.033500,-0.083749,9.789038,9.789453,0.527490,291.801422
0.1294429,0.033500,-0.081356,9.801002,9.801396,0.514343,292.380127
0.1306305,0.028714,-0.081356,9.812965,9.813345,0.503966,289.440033
0.1318180,0.026321,-0.086142,9.817751,9.818164,0.525632,286.990814
0.1330056,0.026321,-0.088534,9.822537,9.822971,0.538503,286.557068
0.1341931,0.021535,-0.090927,9.844072,9.844516,0.543926,283.324524
0.1353807,0.009571,-0.088534,9.856036,9.856439,0.517755,276.170166
0.1365682,0.004786,-0.081356,9.858429,9.858766,0.473540,273.366455
0.1377558,0.014357,-0.078963,9.863214,9.863541,0.466042,280.304840
0.1389433,0.016750,-0.081356,9.863214,9.863564,0.482139,281.633636
0.1401309,0.002393,-0.081356,9.860822,9.861157,0.472712,271.684692
0.1413184,-0.004786,-0.086142,9.863214,9.863592,0.501241,266.820160
0.1425060,0.007178,-0.093320,9.853643,9.854088,0.544286,274.398712
0.1436935,0.016750,-0.086142,9.841680,9.842071,0.510907,281.003540
0.1448811,0.011964,-0.088534,9.829716,9.830122,0.520770,277.696045
0.1460686,0.004786,-0.093320,9.827323,9.827767,0.545005,272.935669
0.1472562,0.004786,-0.090927,9.815358,9.815781,0.531555,273.012787
0.1484437,0.016750,-0.086142,9.796216,9.796609,0.513200,281.003540
0.1496313,0.021535,-0.095713,9.789038,9.789530,0.574372,282.680389
0.1508188,0.028714,-0.100499,9.781859,9.782418,0.612298,285.945404
0.1520064,0.033500,-0.100499,9.781859,9.782434,0.620866,288.434937
0.1531940,0.031107,-0.095713,9.772287,9.772805,0.589835,288.004150
0.1543815,0.031107,-0.086142,9.767502,9.767931,0.537048,289.855225
0.1555690,0.038285,-0.090927,9.777073,9.777571,0.578107,292.833649
0.1567566,0.050249,-0.107677,9.784252,9.784974,0.696050,295.016907
0.1579441,0.050249,-0.112463,9.777073,9.777849,0.721992,294.075500
0.1591317,0.040678,-0.098106,9.762716,9.763294,0.623382,292.520569
0.1603192,0.033500,-0.086142,9.750752,9.751190,0.542846,291.250519
0.1615068,0.040678,-0.088534,9.738789,9.739276,0.573008,294.676849
0.1626943,0.038285,-0.088534,9.741181,9.741659,0.567518,293.385223
0.1638819,0.033500,-0.088534,9.738789,9.739248,0.556727,290.725555
0.1650694,0.031107,-0.088534,9.726824,9.727276,0.552493,289.358978
