Keuwl Accelerometer Data File
2022-11-29 11-15-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
99.9258194,11.143375,-6.781260,4.170690,13.695070,72.269539,328.677551
99.9269943,11.234303,-6.807580,4.206582,13.793043,72.243126,328.785645
99.9281693,11.330015,-6.817152,4.237689,13.885273,72.230217,328.965118
99.9293365,11.416157,-6.821938,4.271188,13.968196,72.194931,329.138794
99.9305191,11.499906,-6.821938,4.299902,14.045491,72.173172,329.322876
99.9316940,11.619547,-6.802795,4.321438,14.140959,72.205902,329.652679
99.9328613,11.763116,-6.750153,4.331009,14.237033,72.289520,330.151062
99.9340363,11.897114,-6.683154,4.319045,14.312932,72.436760,330.675079
99.9352112,12.011970,-6.649654,4.292724,14.385159,72.637672,331.031708
99.9363861,12.098111,-6.640083,4.237689,14.436516,72.930016,331.239685
99.9375534,12.177074,-6.630512,4.163511,14.476866,73.285820,331.431366
99.9387360,12.244074,-6.625726,4.084548,14.508657,73.648766,331.580536
99.9399033,12.296716,-6.613762,3.981657,14.519114,74.083542,331.726501
99.9410782,12.330215,-6.628119,3.866802,14.523026,74.558571,331.739716
99.9422531,12.339787,-6.649654,3.783053,14.518943,74.896721,331.680695
99.9434280,12.366107,-6.632905,3.723232,14.518212,75.140327,331.791870
99.9446030,12.423535,-6.585048,3.680161,14.534465,75.332909,332.074341
99.9457703,12.495320,-6.522834,3.658626,14.562484,75.449310,332.434448
99.9469528,12.555140,-6.458228,3.639483,14.580333,75.545212,332.779205
99.9481201,12.595819,-6.400801,3.610769,14.582954,75.664345,333.061737
99.9492950,12.631711,-6.345766,3.577270,14.581691,75.798889,333.326508
99.9504776,12.648460,-6.288338,3.531806,14.560233,75.962006,333.565155
99.9516449,12.646068,-6.221339,3.474379,14.515488,76.151428,333.804749
99.9528198,12.626925,-6.156733,3.388237,14.450770,76.439758,334.006714
99.9539871,12.602997,-6.092126,3.285346,14.378561,76.791862,334.201477
99.9551697,12.559926,-6.013163,3.180061,14.283650,77.136070,334.416870
99.9563370,12.514462,-5.931808,3.069991,14.185308,77.501122,334.639221
99.9575119,12.461821,-5.860023,2.988636,14.091443,77.755219,334.815308
99.9586945,12.387643,-5.766703,2.933601,13.975499,77.882904,335.037048
99.9598618,12.320643,-5.678168,2.907279,13.874152,77.904228,335.256622
99.9610367,12.256038,-5.584848,2.897708,13.776709,77.858086,335.502136
99.9622040,12.189038,-5.479564,2.880959,13.671071,77.834633,335.793762
99.9633865,12.117254,-5.395815,2.857030,13.568541,77.844666,335.996582
99.9645538,12.023933,-5.324030,2.830709,13.451141,77.851639,336.116913
99.9657288,11.909079,-5.259424,2.806781,13.317872,77.833519,336.172241
99.9669113,11.784652,-5.211568,2.756532,13.177136,77.925079,336.143372
99.9680786,11.667403,-5.180461,2.687140,13.045543,78.113045,336.058228
99.9692535,11.542976,-5.154140,2.617748,12.909612,78.300713,335.938416
99.9704208,11.411371,-5.123033,2.536392,12.763156,78.537437,335.822723
99.9716034,11.286944,-5.094319,2.443072,12.622036,78.839615,335.708130
99.9727707,11.157732,-5.077569,2.342573,12.480558,79.181541,335.531067
99.9739456,11.023734,-5.067998,2.249253,12.339630,79.497475,335.310089
99.9751205,10.884951,-5.070391,2.153540,12.199539,79.832504,335.023102
99.9762955,10.743773,-5.067998,2.043471,12.053591,80.239388,334.746033
99.9774704,10.609776,-5.067998,1.938186,11.916733,80.639595,334.467468
99.9786377,10.492527,-5.070391,1.835295,11.797046,81.050003,334.208374
99.9798203,10.387243,-5.079962,1.737189,11.692676,81.455894,333.938690
99.9809875,10.272388,-5.099105,1.641476,11.585217,81.854515,333.600677
99.9821625,10.157532,-5.113462,1.548156,11.476922,82.247566,333.278595
99.9833374,10.052248,-5.113462,1.471586,11.373687,82.565941,333.038086
99.9845123,9.958928,-5.127819,1.387837,11.287199,82.937225,332.756226
99.9856873,9.865608,-5.154140,1.294517,11.205853,83.366295,332.415863
99.9868546,9.772287,-5.168497,1.203590,11.120234,83.786461,332.125946
99.9880371,9.674182,-5.185246,1.110270,11.032192,84.224030,331.809235
99.9892044,9.580862,-5.218746,1.019342,10.957522,84.662247,331.422638
99.9903793,9.480363,-5.247460,0.940379,10.876462,85.040009,331.035095
99.9915543,9.375079,-5.268995,0.856631,10.788339,85.445724,330.663086
99.9927292,9.279366,-5.290531,0.751346,10.707982,85.976425,330.310852
99.9938965,9.188439,-5.312066,0.648455,10.633248,86.503723,329.966736
99.9950714,9.104691,-5.350351,0.547956,10.574588,87.029701,329.559479
99.9962540,9.028120,-5.388637,0.440279,10.523222,87.602112,329.168182
99.9974213,8.951550,-5.414958,0.337388,10.467370,88.152901,328.829468
99.9985962,8.874979,-5.424529,0.241675,10.404286,88.668991,328.566071
99.9997711,8.796016,-5.441278,0.155533,10.344158,89.138474,328.258759
100.0009460,8.705089,-5.469993,0.078963,10.281323,89.559952,327.856079
100.0021133,8.633304,-5.505885,0.004786,10.239567,89.973221,327.472321
100.0032883,8.583055,-5.541777,-0.066999,10.216879,90.375732,327.151093
100.0044708,8.523234,-5.580062,-0.138784,10.188321,90.780495,326.787689
100.0056381,8.458628,-5.620740,-0.212961,10.158073,91.201279,326.396057
100.0068130,8.398808,-5.663811,-0.275175,10.133827,91.556007,326.005890
100.0079880,8.329415,-5.702096,-0.325424,10.099454,91.846497,325.605499
100.0091629,8.271988,-5.735596,-0.373280,10.072844,92.123756,325.263489
100.0103302,8.219346,-5.761917,-0.418744,10.046526,92.388809,324.968811
100.0115051,8.169097,-5.781060,-0.466600,10.018608,92.669426,324.713928
