Keuwl Accelerometer Data File
2022-12-12 11-25-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
19.9531021,29.151758,10.143175,-2.938386,31.005533,95.438065,19.185026
19.9542885,28.268806,9.750752,-3.007778,30.054106,95.743706,19.030838
19.9554768,27.402605,9.382257,-3.050849,29.124512,96.012878,18.900465
19.9566612,26.514868,9.016156,-3.069991,28.173643,96.255760,18.780165
19.9578495,25.629524,8.659625,-3.065206,27.226036,96.464272,18.668926
19.9590378,24.780071,8.319844,-3.031706,26.314692,96.615715,18.559341
19.9602222,23.935406,7.996813,-2.967100,25.409769,96.705727,18.474463
19.9614105,23.088346,7.688139,-2.876173,24.504114,96.740639,18.417131
19.9625969,22.265215,7.379465,-2.763710,23.618519,96.719833,18.336988
19.9637852,21.456440,7.058827,-2.639283,22.741407,96.664551,18.210382
19.9649696,20.676380,6.738189,-2.493321,21.889097,96.540588,18.050179
19.9661579,19.920248,6.427122,-2.321038,21.059710,96.327553,17.881914
19.9673443,19.161724,6.130412,-2.122434,20.230135,96.022240,17.741037
19.9685326,18.427128,5.838487,-1.916651,19.424740,95.662621,17.580387
19.9697170,17.716459,5.563313,-1.694118,18.646538,95.212753,17.433302
19.9709053,17.020147,5.300102,-1.454836,17.885555,94.665672,17.296675
19.9720936,16.340586,5.036891,-1.227518,17.143272,94.106094,17.131613
19.9732800,15.682560,4.780859,-0.995414,16.425291,93.474396,16.953947
19.9744663,15.041284,4.541577,-0.760918,15.730390,92.772621,16.801208
19.9756527,14.421542,4.314259,-0.507278,15.061575,91.930107,16.654753
19.9768410,13.830515,4.101298,-0.248854,14.427950,90.988289,16.517185
19.9780273,13.268202,3.895515,0.009571,13.828243,89.960342,16.362123
19.9792137,12.722638,3.696911,0.275175,13.251731,88.810158,16.202671
19.9804001,12.193824,3.512664,0.547956,12.701512,87.527435,16.070055
19.9815884,11.693725,3.323631,0.830309,12.185201,86.092789,15.866392
19.9827728,11.222338,3.136991,1.115055,11.705764,84.533890,15.617322
19.9839611,10.782059,2.957529,1.392623,11.266728,82.899803,15.339007
19.9851494,10.370493,2.787638,1.674976,10.868468,81.134621,15.045730
19.9863358,9.997213,2.612962,1.954936,10.516351,79.286690,14.647666
19.9875221,9.645468,2.421536,2.215754,10.188643,77.439354,14.093083
19.9887085,9.305687,2.230111,2.471786,9.883265,75.516685,13.476787
19.9898968,8.989835,2.033899,2.711068,9.607485,73.609467,12.748225
19.9910831,8.700303,1.832902,2.935993,9.363485,71.726234,11.896600
19.9922695,8.441878,1.629512,3.151347,9.157053,69.870430,10.925277
19.9934559,8.212168,1.421337,3.352345,8.983212,68.088203,9.819300
19.9946442,7.994421,1.210768,3.534199,8.824244,66.389923,8.612092
19.9958305,7.786245,0.990629,3.694518,8.675046,64.793701,7.250675
19.9970169,7.592426,0.765703,3.840480,8.542864,63.284916,5.758861
19.9982052,7.415358,0.540778,3.974478,8.430685,61.872833,4.171011
19.9993916,7.245467,0.315853,4.082155,8.322292,60.625988,2.496122
20.0005798,7.082755,0.088534,4.173083,8.221185,59.495827,0.716160
20.0017643,6.934400,-0.131605,4.249653,8.134050,58.503113,358.912750
20.0029526,6.783652,-0.346959,4.297510,8.037842,57.679169,357.072083
20.0041389,6.630512,-0.557528,4.333402,7.940585,56.925556,355.193573
20.0053272,6.494121,-0.760918,4.359723,7.858739,56.305737,353.317108
20.0065117,6.357730,-0.949951,4.374080,7.775327,55.767048,351.501923
20.0077000,6.221339,-1.127020,4.378865,7.690884,55.294540,349.731995
20.0088863,6.075377,-1.296910,4.371687,7.596303,54.865211,347.949951
20.0100727,5.924629,-1.457229,4.350152,7.493234,54.511192,346.181763
20.0112610,5.776274,-1.610370,4.319045,7.390046,54.236496,344.422028
20.0124474,5.627919,-1.751546,4.278367,7.283255,54.025501,342.712585
20.0136356,5.481956,-1.883151,4.235296,7.178847,53.845203,341.041473
20.0148201,5.333601,-1.990828,4.180261,7.062952,53.711063,339.531342
20.0160084,5.182854,-2.086541,4.122833,6.943585,53.575611,338.071014
20.0171947,5.029713,-2.177469,4.074977,6.829701,53.369282,336.591187
20.0183830,4.881358,-2.254039,4.007978,6.706134,53.297619,335.214172
20.0195675,4.733003,-2.337788,3.921836,6.576273,53.390244,333.713715
20.0207558,4.575077,-2.421536,3.838088,6.444074,53.444614,332.108246
20.0219421,4.409972,-2.505285,3.751946,6.308836,53.507832,330.399292
20.0231304,4.256832,-2.572284,3.656233,6.172949,53.679661,328.856598
20.0243149,4.106084,-2.636891,3.560520,6.040730,53.884224,327.291779
20.0255032,3.948157,-2.706282,3.455236,5.903437,54.176357,325.571136
20.0266914,3.795017,-2.763710,3.330809,5.756261,54.644978,323.936127
20.0278759,3.649055,-2.818745,3.194418,5.609387,55.286224,322.315369
20.0290642,3.498307,-2.873780,3.053242,5.460682,56.004211,320.597656
20.0302505,3.349952,-2.921636,2.897708,5.306114,56.899628,318.906921
20.0314388,3.189633,-2.969493,2.732604,5.143808,57.910637,317.046997
20.0326233,3.026921,-3.010171,2.596213,4.996368,58.693237,315.158966
20.0338116,2.890530,-3.062813,2.467000,4.880786,59.638680,313.342377
20.0349979,2.768496,-3.115455,2.337788,4.778690,60.711269,311.625336
20.0361862,2.641676,-3.180061,2.215754,4.690502,61.810349,309.716400
20.0373707,2.524428,-3.251846,2.100898,4.621798,62.963177,307.822418
20.0385590,2.409572,-3.321238,1.990828,4.560708,64.118111,305.961060
20.0397472,2.297110,-3.395415,1.878366,4.509303,65.382820,304.079651
20.0409336,2.189433,-3.479164,1.758725,4.471164,66.836998,302.182129
20.0421200,2.088934,-3.577270,1.646262,4.457654,68.326851,300.282654
20.0433064,1.990828,-3.677768,1.533799,4.454427,69.859009,298.427307
20.0444946,1.909472,-3.775874,1.416551,4.462054,71.490242,296.825867
20.0456810,1.837688,-3.876373,1.292124,4.480284,73.237671,295.364410
20.0468674,1.749153,-3.986443,1.160519,4.505337,75.073036,293.690704
20.0480537,1.663012,-4.108477,1.036092,4.551777,76.842789,292.036896
20.0492420,1.598405,-4.218546,0.930808,4.606239,78.341644,290.751678
20.0504265,1.533799,-4.331009,0.823131,4.667732,79.843063,289.501282
20.0516148,1.454836,-4.457829,0.720240,4.744210,81.267906,288.074371
20.0528030,1.378266,-4.579863,0.612563,4.821825,82.701447,286.748657
20.0539894,1.304088,-4.689932,0.495314,4.893000,84.190048,285.539185
20.0551758,1.232304,-4.802395,0.387637,4.973111,85.529449,284.391693
20.0563622,1.160519,-4.900501,0.282353,5.043951,86.790985,283.323151
20.0575504,1.079163,-4.989035,0.181855,5.107655,87.959595,282.205444
20.0587368,0.997807,-5.079962,0.081356,5.177669,89.099686,281.112579
20.0599232,0.921237,-5.168497,-0.021535,5.250000,90.235023,280.106323
20.0611115,0.856631,-5.271388,-0.114855,5.341773,91.232033,279.230194
20.0622978,0.808774,-5.362316,-0.203390,5.426777,92.147888,278.577026
20.0634861,0.763310,-5.443672,-0.306281,5.505453,93.189148,277.981964
20.0646706,0.710668,-5.525027,-0.411565,5.585728,94.225471,277.329559
20.0658588,0.660419,-5.601598,-0.504886,5.662946,95.115051,276.724030
20.0670452,0.619741,-5.673382,-0.595813,5.738148,95.959976,276.234070
20.0682335,0.571885,-5.742774,-0.691526,5.812462,96.832832,275.686951
20.0694180,0.519243,-5.824131,-0.789631,5.900307,97.690903,275.094666
20.0706062,0.461815,-5.900701,-0.885344,5.984595,98.507408,274.475098
20.0717926,0.406780,-5.962914,-0.971486,6.055212,99.232315,273.902588
20.0729790,0.351745,-6.020342,-1.060020,6.123062,99.969238,273.343781
20.0741653,0.296710,-6.080163,-1.150948,6.195248,100.706558,272.793793
20.0753536,0.234497,-6.132804,-1.239482,6.261198,101.417839,272.189728
20.0765400,0.172283,-6.180661,-1.339981,6.326594,102.227936,271.596680
20.0777264,0.112463,-6.233303,-1.435694,6.397494,102.968483,271.033630
20.0789146,0.055035,-6.290731,-1.521835,6.472427,103.599045,270.501251
20.0801010,-0.023928,-6.352944,-1.617548,6.555679,104.284683,269.784210
20.0812893,-0.095713,-6.400801,-1.708475,6.625579,104.943153,269.143311
20.0824738,-0.153141,-6.436693,-1.797010,6.684587,105.594589,268.637085
20.0836620,-0.232104,-6.472585,-1.887937,6.746298,106.251122,267.946289
20.0848484,-0.299103,-6.518049,-1.981257,6.819077,106.890663,267.372620
20.0860367,-0.349352,-6.573084,-2.074577,6.901547,107.493401,266.957642
20.0872211,-0.406780,-6.625726,-2.155933,6.979524,107.992592,266.486786
20.0884094,-0.461815,-6.671189,-2.225325,7.047703,108.406212,266.040009
20.0895958,-0.512064,-6.726224,-2.294717,7.125309,108.787041,265.646484
20.0907841,-0.569492,-6.778867,-2.371287,7.204190,109.217430,265.197876
20.0919685,-0.622134,-6.824330,-2.455036,7.279130,109.710663,264.791077
20.0931568,-0.674776,-6.876972,-2.543571,7.363275,110.208664,264.396027
20.0943451,-0.732204,-6.924829,-2.629712,7.443437,110.688843,263.964203
20.0955296,-0.803988,-6.955935,-2.711068,7.508750,111.164970,263.406830
20.0967178,-0.885344,-6.989435,-2.787638,7.576738,111.587433,262.780853
20.0979042,-0.964308,-7.010970,-2.871387,7.637307,112.084190,262.168518
20.0990925,-1.045663,-7.018149,-2.955136,7.686394,112.610420,261.525604
20.1002769,-1.131805,-7.020542,-3.036492,7.732352,113.122581,260.841949
20.1014652,-1.234697,-7.030113,-3.127419,7.792799,113.660828,260.038757
20.1026516,-1.349552,-7.037292,-3.230311,7.860004,114.266457,259.144104
20.1038399,-1.459622,-7.034899,-3.328416,7.918248,114.856537,258.278412
20.1050243,-1.586441,-7.032506,-3.419343,7.979025,115.375038,257.287598
20.1062126,-1.725225,-7.013363,-3.503092,8.027162,115.874718,256.180145
20.1074009,-1.854438,-6.984649,-3.582056,8.065692,116.366417,255.130905
20.1085873,-1.971686,-6.970293,-3.661019,8.116377,116.812073,254.205383
20.1097736,-2.076970,-6.972685,-3.739982,8.180441,117.205666,253.412659
20.1109600,-2.182254,-6.965507,-3.814159,8.235795,117.588600,252.604523
20.1121483,-2.287539,-6.953543,-3.881158,8.285408,117.932625,251.790115
20.1133347,-2.380858,-6.946364,-3.926622,8.326994,118.135178,251.080902
20.1145210,-2.471786,-6.929615,-3.962514,8.356483,118.306267,250.368744
20.1157074,-2.553142,-6.924829,-3.998407,8.393989,118.446747,249.761383
20.1168957,-2.615355,-6.936793,-4.034299,8.440068,118.554443,249.342224
20.1180801,-2.684747,-6.943971,-4.065406,8.482577,118.637436,248.862000
20.1192684,-2.749353,-6.932007,-4.086941,8.503808,118.724686,248.365875
20.1204567,-2.797210,-6.903293,-4.115655,8.509904,118.922829,247.942245
20.1216431,-2.840281,-6.881758,-4.134798,8.516005,119.047371,247.572784
20.1228294,-2.895315,-6.869794,-4.151547,8.533010,119.112625,247.146729
20.1240158,-2.952743,-6.860222,-4.170690,8.554296,119.180008,246.712234
20.1252041,-2.998207,-6.833901,-4.182654,8.554885,119.269615,246.311707
20.1263905,-3.038885,-6.802795,-4.192225,8.549129,119.364822,245.929153
20.1275768,-3.091527,-6.778867,-4.194618,8.550169,119.379295,245.484467
20.1287632,-3.148955,-6.750153,-4.194618,8.548409,119.385941,244.990891
20.1299515,-3.194418,-6.719046,-4.201797,8.544295,119.456741,244.572311
20.1311378,-3.237489,-6.692725,-4.225725,8.551646,119.613167,244.185440
20.1323242,-3.287738,-6.668797,-4.235296,8.556857,119.667068,243.756546
