Keuwl Accelerometer Data File
2022-11-29 11-38-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
23.7720795,6.731010,-4.900501,0.461815,8.338745,86.825233,323.943573
23.7732677,6.793223,-4.922036,0.574277,8.408574,86.083839,324.074768
23.7744560,6.853044,-4.943572,0.691526,8.478286,85.321510,324.194489
23.7756424,6.915257,-4.972285,0.813560,8.556067,84.543747,324.282684
23.7768307,6.982256,-5.003392,0.928415,8.639895,83.831268,324.375122
23.7780170,7.051648,-5.036891,1.040878,8.728084,83.150826,324.462311
23.7792053,7.123433,-5.063213,1.143769,8.814058,82.543900,324.595428
23.7803917,7.214360,-5.087141,1.246661,8.915164,81.961647,324.810760
23.7815800,7.314859,-5.125426,1.354338,9.033902,81.377869,324.981567
23.7827682,7.405786,-5.163711,1.454836,9.144732,80.845917,325.113739
23.7839565,7.491928,-5.180461,1.552942,9.240010,80.324547,325.337219
23.7851410,7.592426,-5.197211,1.646262,9.346985,79.855713,325.607361
23.7863293,7.692925,-5.221139,1.730011,9.456972,79.459244,325.835510
23.7875175,7.791030,-5.245067,1.811367,9.565142,79.083885,326.050812
23.7887058,7.889136,-5.268995,1.875973,9.670577,78.814407,326.261841
23.7898922,7.972885,-5.290531,1.940579,9.763322,78.535416,326.433136
23.7910805,8.051848,-5.288138,2.012364,9.841050,78.200546,326.704651
23.7922668,8.133204,-5.288138,2.076970,9.921049,77.915749,326.968445
23.7934551,8.183454,-5.307281,2.127219,9.983046,77.696899,327.035065
23.7946415,8.221739,-5.321638,2.170290,10.031300,77.505150,327.086456
23.7958298,8.276773,-5.321638,2.208575,10.084771,77.349632,327.260590
23.7970181,8.317451,-5.319245,2.239682,10.123761,77.218697,327.399933
23.7982044,8.348558,-5.307281,2.268396,10.149447,77.085342,327.555389
23.7993908,8.384451,-5.295317,2.289931,10.177583,76.997269,327.724976
23.8005791,8.410771,-5.283352,2.294717,10.194146,76.991158,327.864410
23.8017673,8.417950,-5.268995,2.285146,10.190490,77.041634,327.956573
23.8029556,8.413164,-5.259424,2.268396,10.177844,77.121994,327.988770
23.8041420,8.413164,-5.242674,2.254039,10.166005,77.189735,328.070862
23.8053284,8.422736,-5.228317,2.227718,10.160734,77.335144,328.170532
23.8065166,8.425129,-5.225924,2.196611,10.154713,77.507347,328.189575
23.8077049,8.429914,-5.223532,2.177469,10.153331,77.616234,328.215881
23.8088932,8.437093,-5.223532,2.158326,10.155205,77.729111,328.237732
23.8100796,8.434700,-5.223532,2.124826,10.146149,77.911522,328.230438
23.8112679,8.429914,-5.225924,2.084148,10.134960,78.133064,328.204132
23.8124542,8.425129,-5.228317,2.045863,10.124409,78.341827,328.177826
23.8136425,8.408379,-5.233103,1.998007,10.103377,78.594215,328.103210
23.8148289,8.379665,-5.237889,1.945365,10.071679,78.863213,327.991669
23.8160172,8.348558,-5.249853,1.902294,10.043809,79.082253,327.836945
23.8172054,8.317451,-5.268995,1.842473,10.016837,79.400803,327.646271
23.8183918,8.269595,-5.280960,1.773082,9.970886,79.756851,327.437714
23.8195782,8.219346,-5.288138,1.703690,9.920918,80.111755,327.243713
23.8207664,8.178668,-5.295317,1.617548,9.876611,80.573883,327.078766
23.8219547,8.133204,-5.316852,1.540978,9.838321,80.988647,326.826477
23.8231430,8.092526,-5.343173,1.473979,9.808725,81.357300,326.564819
23.8243294,8.049456,-5.352744,1.402194,9.767894,81.746605,326.376801
23.8255157,7.996813,-5.364708,1.342373,9.722710,82.064064,326.144073
23.8267040,7.956135,-5.376672,1.284946,9.688126,82.378349,325.949585
23.8278923,7.917850,-5.393422,1.229911,9.658883,82.684402,325.738373
23.8290787,7.874779,-5.424529,1.177269,9.634501,82.981316,325.439056
23.8302670,7.838887,-5.453243,1.124627,9.615134,83.283066,325.174988
23.8314552,7.800602,-5.472385,1.088734,9.590711,83.481750,324.949036
23.8326416,7.759924,-5.484350,1.060020,9.561284,83.634766,324.749115
23.8338280,7.714460,-5.501099,1.031307,9.530928,83.788071,324.507751
23.8350163,7.661818,-5.529813,1.016950,9.503498,83.857132,324.180634
23.8362045,7.628319,-5.563313,0.993021,9.493566,83.995911,323.896820
23.8373928,7.585248,-5.577670,0.961915,9.464231,84.166565,323.671783
23.8385773,7.532606,-5.589633,0.940379,9.427007,84.275009,323.422424
23.8397655,7.494320,-5.601598,0.930808,9.402613,84.318718,323.223877
23.8409538,7.465607,-5.608776,0.921237,9.383087,84.365593,323.083130
23.8421421,7.424929,-5.625526,0.914058,9.360107,84.395866,322.850464
23.8433285,7.384251,-5.656633,0.928415,9.348081,84.300209,322.546448
23.8445168,7.345965,-5.692525,0.942772,9.341138,84.207451,322.227234
23.8457031,7.302895,-5.714060,0.947558,9.320977,84.165314,321.959045
23.8468914,7.250253,-5.721239,0.961915,9.285689,84.054001,321.722717
23.8480778,7.195218,-5.721239,0.985843,9.245303,83.878815,321.510223
23.8492661,7.152147,-5.730810,1.004985,9.219836,83.742180,321.295807
23.8504543,7.106683,-5.733203,1.033699,9.189293,83.541153,321.105713
23.8516426,7.061220,-5.737988,1.067199,9.161018,83.310226,320.902496
23.8528271,7.022934,-5.747560,1.095913,9.140956,83.114220,320.703156
23.8540154,6.977471,-5.747560,1.127020,9.109869,82.893494,320.520660
23.8552036,6.936793,-5.745167,1.150948,9.080238,82.717995,320.367889
23.8563919,6.917650,-5.749953,1.184447,9.072968,82.498810,320.266632
