Keuwl Accelerometer Data File
2022-11-29 11-18-52

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
16.0757294,6.108876,-7.386643,2.251646,9.846358,76.780746,309.591309
16.0769157,6.163911,-7.384251,2.172683,9.861112,77.271675,309.853027
16.0781040,6.214160,-7.381858,2.076970,9.870229,77.852577,310.091187
16.0792923,6.264410,-7.381858,1.969293,9.879917,78.502640,310.318695
16.0804787,6.309873,-7.372287,1.866402,9.881729,79.112923,310.559906
16.0816669,6.352944,-7.372287,1.770689,9.891706,79.688049,310.752563
16.0828552,6.386444,-7.369894,1.679762,9.895635,80.226845,310.910828
16.0840416,6.412765,-7.362715,1.586441,9.891912,80.771187,311.055145
16.0852299,6.431907,-7.369894,1.488336,9.894438,81.348648,311.112091
16.0864162,6.460621,-7.369894,1.378266,9.897201,81.995079,311.238556
16.0876045,6.491728,-7.357930,1.268196,9.893937,82.635620,311.421204
16.0887909,6.496513,-7.345965,1.170090,9.876082,83.195778,311.488403
16.0899792,6.498906,-7.343573,1.064806,9.863957,83.802895,311.508148
16.0911674,6.484550,-7.357930,0.954736,9.853934,84.439957,311.389740
16.0923538,6.439086,-7.396215,0.849452,9.843139,85.049278,311.042572
16.0935421,6.362515,-7.470392,0.748953,9.841204,85.635353,310.420959
16.0947304,6.192625,-7.657032,0.660419,9.869899,86.163330,308.964203
16.0959167,5.998806,-7.865208,0.567099,9.908016,86.718803,307.332825
16.0971050,5.855237,-7.925029,0.433101,9.862933,87.483223,306.458038
16.0982914,5.761917,-7.843673,0.248854,9.735749,88.535316,306.300781
16.0994797,5.735596,-7.690532,0.050249,9.593949,89.699905,306.715546
16.1006660,5.737988,-7.499106,-0.131605,9.443433,90.798508,307.421631
16.1018543,5.764310,-7.276574,-0.284746,9.287457,91.756920,308.385345
16.1030426,5.826523,-7.051648,-0.397209,9.155976,92.486412,309.565704
16.1042290,5.912665,-6.845866,-0.478565,9.058394,93.028404,310.816650
16.1054173,6.037092,-6.666404,-0.547956,9.010421,93.486519,312.163971
16.1066055,6.195018,-6.508478,-0.595813,9.005194,93.793648,313.586517
16.1077919,6.355337,-6.374479,-0.614955,9.022331,93.908272,314.913849
16.1089802,6.518049,-6.257231,-0.631705,9.057425,93.999313,316.169586
16.1101685,6.683154,-6.154340,-0.636491,9.107445,94.007492,317.358856
16.1113548,6.829116,-6.089734,-0.624527,9.171244,93.904648,318.275635
16.1125431,6.924829,-6.072984,-0.610170,9.230747,93.790123,318.749664
16.1137295,7.003792,-6.082555,-0.605384,9.296079,93.733887,319.026794
16.1149178,7.073184,-6.116055,-0.612563,9.370768,93.748070,319.150604
16.1161041,7.109076,-6.168697,-0.631705,9.433496,93.839630,319.051117
16.1172924,7.125826,-6.223732,-0.679562,9.485464,94.108330,318.865875
16.1184807,7.135397,-6.281159,-0.758525,9.536363,94.562141,318.643127
16.1196671,7.137790,-6.333802,-0.859023,9.581389,95.143784,318.415375
16.1208553,7.130611,-6.379265,-0.964308,9.616160,95.755287,318.183197
16.1220436,7.101898,-6.415157,-1.079163,9.630980,96.433571,317.908447
16.1232300,7.070791,-6.436693,-1.196411,9.636311,97.132050,317.687744
16.1244183,7.037292,-6.443871,-1.306481,9.630879,97.796524,317.520447
16.1256046,6.984649,-6.446264,-1.409373,9.608641,98.434441,317.295502
16.1267929,6.941578,-6.441479,-1.493121,9.586843,98.960121,317.140045
16.1279793,6.910472,-6.407979,-1.562513,9.552919,99.413818,317.160706
16.1291676,6.872187,-6.369694,-1.615155,9.508348,99.780090,317.173187
16.1303558,6.833901,-6.329016,-1.660619,9.461306,100.108742,317.196594
16.1315422,6.788438,-6.283552,-1.708475,9.406636,100.464394,317.211853
16.1327305,6.740582,-6.242874,-1.756332,9.353803,100.822472,317.195313
16.1339188,6.690332,-6.183053,-1.789831,9.284082,101.115356,317.256592
16.1351070,6.642476,-6.106483,-1.813760,9.203334,101.366043,317.407410
16.1362934,6.594619,-6.039485,-1.818545,9.125320,101.495186,317.515930
16.1374817,6.549156,-5.974878,-1.820938,9.050217,101.607361,317.625397
16.1386681,6.503692,-5.895915,-1.823331,8.965733,101.733902,317.806152
16.1398563,6.465407,-5.821737,-1.811367,8.886797,101.760826,317.998718
16.1410427,6.436693,-5.773881,-1.785046,8.829218,101.664169,318.107056
16.1422310,6.405586,-5.714060,-1.763510,8.763104,101.609634,318.265656
16.1434174,6.372087,-5.644669,-1.741975,8.689088,101.564941,318.464081
16.1446056,6.329016,-5.589633,-1.730011,8.619360,101.578613,318.549835
16.1457939,6.283552,-5.536992,-1.710868,8.548004,101.545631,318.613892
16.1469822,6.250053,-5.496314,-1.672583,8.489414,101.362740,318.671509
16.1481686,6.223732,-5.469993,-1.636691,8.445971,101.173676,318.687988
16.1493568,6.202196,-5.436493,-1.610370,8.403332,101.048195,318.764038
