"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.016374968E-3,-1.828896790E0,6.929689636E0,7.152576141E0
1.107737498E-2,-1.958826599E0,6.884633331E0,7.735164642E0
2.113937499E-2,-1.905387726E0,6.908583527E0,8.714727631E0
3.120037500E-2,-1.530716858E0,7.003037109E0,1.047072601E1
4.126237496E-2,-9.852511597E-1,6.855144653E0,1.137888748E1
5.132337497E-2,-6.839277649E-1,5.357808380E0,1.050171158E1
6.138437497E-2,-1.440454559E0,4.030368805E0,9.160350952E0
7.144637499E-2,-1.546733551E0,2.801873474E0,6.891968079E0
8.150737500E-2,-1.770667877E0,1.861229553E0,5.333858185E0
9.156837501E-2,-2.460882568E0,1.434616699E0,5.939498749E0
1.016303750E-1,-3.568279724E0,2.200723572E0,6.956633606E0
1.116913750E-1,-4.511917419E0,4.320166168E0,7.688162384E0
1.217533750E-1,-3.294798431E0,5.763015747E0,8.132737885E0
1.318143750E-1,-1.997146912E0,6.158942413E0,7.617808685E0
1.418753750E-1,-2.038760376E0,5.340743866E0,6.746620331E0
1.519373750E-1,-2.266137543E0,3.965403900E0,5.321733398E0
1.619983750E-1,-2.589315491E0,2.244432678E0,3.883374481E0
1.720593750E-1,-2.891237640E0,2.668949890E0,3.457061005E0
1.821213750E-1,-3.498075714E0,3.775748291E0,2.621348877E0
1.921823750E-1,-5.023104401E0,3.371139679E0,1.501527557E0
2.022433750E-1,-6.769223328E0,1.168470154E0,-8.906478882E-2
2.123053750E-1,-7.256160736E0,1.013841705E0,-7.668553162E-1
2.223663750E-1,-5.975873108E0,6.051914978E-1,-6.417155457E-1
2.324283750E-1,-4.207600250E0,-2.038760376E-1,6.466552734E-2
2.424893750E-1,-2.875819702E0,-4.590953064E-1,5.884263611E-1
2.525503750E-1,-1.566043396E0,-2.739303589E-2,2.391786255E1
2.626123750E-1,-1.237027588E0,5.313949585E-1,2.872721146E1
2.726733750E-1,1.005309448E0,-7.870632935E-1,1.306932220E1
2.827343750E-1,-1.792672119E0,-6.676116943E-2,9.819580078E0
2.927963750E-1,-2.282453613E0,2.652484131E0,1.068208649E1
3.028573750E-1,-4.953199768E-1,3.046464844E0,1.056697586E1
3.129193750E-1,2.744093628E0,1.947001190E0,7.269932098E0
3.229803750E-1,5.112019501E0,3.078947296E0,3.114722900E0
3.330413750E-1,5.067412262E0,7.579188995E0,2.141746216E0
3.431033750E-1,5.804928589E0,8.115373993E0,1.415157166E0
3.531643750E-1,7.677235107E0,5.663023682E0,7.902067566E-1
3.632253750E-1,9.194629669E0,3.422183533E0,1.370849304E0
3.732873750E-1,6.130651245E0,2.977158966E0,6.314918060E0
3.833483750E-1,-1.135418884E1,4.559368744E0,1.131826355E1
3.934093750E-1,-4.962480469E0,4.776716766E0,1.019859192E1
4.034713750E-1,6.223907318E0,2.399959259E0,3.833977203E0
4.135323750E-1,8.188122711E0,2.377805328E0,1.152004395E0
4.235943750E-1,6.641089783E0,3.615731049E0,1.763333130E0
4.336553750E-1,7.492519226E0,3.321293335E0,1.296753387E0
4.437163750E-1,7.945626984E0,1.602118378E0,-1.088536377E0
4.537783750E-1,7.463928680E0,-7.521858215E-1,-7.243437195E-1
4.638393750E-1,6.478527832E0,-2.358196106E0,2.013313293E-1
4.739003750E-1,6.256090393E0,-3.013533325E0,1.768871613E0
4.839623750E-1,6.413862305E0,-2.512225800E0,2.392325134E0
4.940233750E-1,6.966962128E0,-1.960622864E0,3.344195709E0
5.040853750E-1,8.105943604E0,-1.700014801E0,3.736679535E0
5.141463750E-1,9.385632477E0,-1.750160522E0,4.041894836E0
5.242073750E-1,9.733808441E0,-2.149380341E0,3.320395203E0
5.342693750E-1,9.411678314E0,-3.066523132E0,1.514849854E0
5.443303750E-1,9.651479645E0,-4.471501465E0,-2.204914856E-1
5.543913750E-1,1.040740768E1,-5.739065552E0,-6.227050781E-1
5.644533750E-1,1.100017502E1,-6.154302063E0,3.832031250E-2
5.745143750E-1,1.194381271E1,-5.961652679E0,1.351539459E0
5.845763750E-1,1.381282608E1,-5.656886444E0,2.831212463E0
5.946373750E-1,1.534908142E1,-5.560786285E0,4.502037964E0
6.046987916E-1,1.609962067E1,-5.716462555E0,6.048621826E0
6.147607917E-1,1.624242371E1,-6.164780273E0,7.059469757E0
6.248217917E-1,1.548440002E1,-6.531667328E0,7.577243042E0
6.348827917E-1,1.467997284E1,-6.680906982E0,7.258256378E0
6.449447916E-1,1.414917664E1,-6.656208344E0,6.668183441E0
6.550057916E-1,1.414303940E1,-6.351741486E0,6.354435883E0
6.650677916E-1,1.414842819E1,-5.997727661E0,6.566844177E0
6.751287917E-1,1.418974228E1,-5.697302399E0,7.169490967E0
6.851897917E-1,1.413615372E1,-5.572312317E0,7.884553986E0
6.952517916E-1,1.356883347E1,-5.263354797E0,7.921227722E0
7.053127916E-1,1.252235962E1,-4.552333374E0,7.354955292E0
7.153737916E-1,1.164623154E1,-3.973337402E0,6.616391144E0
7.254357917E-1,1.121318207E1,-3.845503235E0,6.013444977E0
7.354967917E-1,1.098715210E1,-3.838467865E0,5.724545746E0
7.455587917E-1,1.127335693E1,-3.689377899E0,5.481151886E0
7.556197916E-1,1.224902802E1,-3.058439941E0,5.637277222E0
7.656807916E-1,1.275078461E1,-2.373464355E0,5.156626740E0
7.757427917E-1,1.266576141E1,-1.926643524E0,4.615052948E0
7.858037917E-1,1.300016602E1,-1.549577637E0,4.564458160E0
7.958647917E-1,1.308683578E1,-1.438209229E0,3.836222534E0
8.059267916E-1,1.249930756E1,-1.563199310E0,2.894979858E0
8.159877916E-1,1.150163223E1,-1.761985931E0,2.628084869E0
8.260497916E-1,1.071022797E1,-2.100132751E0,2.495011597E0
8.361107917E-1,1.030427216E1,-2.448757782E0,2.171833649E0
8.461717917E-1,1.042626846E1,-2.630629578E0,2.030976563E0
8.562337916E-1,1.136571487E1,-2.414329376E0,2.874921570E0
8.662947916E-1,1.178574142E1,-2.213596802E0,3.490441589E0
8.763557916E-1,1.143157791E1,-2.857557678E0,2.523153076E0
8.864177917E-1,1.109432922E1,-2.736309814E0,4.198020172E0
8.964787917E-1,1.130778534E1,-3.546874237E0,4.581073608E0
9.065407916E-1,1.150372787E1,-4.586761780E0,3.836222534E0
9.166017916E-1,1.180654816E1,-4.956642609E0,2.916834412E0
9.266627916E-1,1.229453339E1,-4.809947662E0,2.081421661E0
9.367247917E-1,1.318757629E1,-4.472998352E0,2.605930939E0
9.467857917E-1,1.447639618E1,-3.974534912E0,4.191433868E0
9.568467917E-1,1.417043243E1,-3.363655243E0,2.785856781E0
9.669087916E-1,1.447983902E1,-2.503693542E0,2.657274170E0
9.769697916E-1,1.549457886E1,-1.586850128E0,2.762505341E0
9.870317917E-1,1.681423462E1,-1.110690308E0,2.355950775E0
9.970927917E-1,1.736583755E1,-8.692424011E-1,2.220632172E0
1.007153792E0,1.673415115E1,-6.542893982E-1,2.284698944E0
1.017215792E0,1.547392181E1,-9.660910034E-1,2.127076721E0
1.027276792E0,1.450663330E1,-1.579216003E0,1.912722473E0
1.037337792E0,1.422222473E1,-1.812580719E0,1.774859161E0
1.047399792E0,1.406520126E1,-1.530417480E0,1.876946869E0
1.057460792E0,1.358050919E1,-1.094074860E0,1.921703796E0
1.067522792E0,1.340148148E1,-7.397616577E-1,2.108066254E0
1.077583792E0,1.331166824E1,-5.616320801E-1,2.514770508E0
1.087644792E0,1.308009979E1,-4.638853455E-1,2.356100464E0
1.097706792E0,1.302067337E1,-4.058061218E-1,1.903591461E0
1.107767792E0,1.308923080E1,-6.164181519E-1,1.527872772E0
1.117828792E0,1.293684769E1,-1.160836029E0,1.181942139E0
1.127890792E0,1.246547791E1,-1.684896240E0,7.803273010E-1
1.137951792E0,1.209694427E1,-2.269580383E0,6.159690857E-1
1.148013792E0,1.187510559E1,-2.956202545E0,6.411167908E-1
1.158074792E0,1.190219925E1,-3.582200775E0,7.188052368E-1
1.168135792E0,1.203572159E1,-4.288132782E0,8.958869934E-1
1.178197792E0,1.223974731E1,-5.108127594E0,1.190324707E0
1.188258792E0,1.246757355E1,-5.826932831E0,1.510209503E0
1.198319792E0,1.256067993E1,-6.226452026E0,1.976789246E0
1.208381792E0,1.238898697E1,-6.219416656E0,2.411036224E0
1.218442792E0,1.162871796E1,-5.998326416E0,2.654280396E0
1.228504792E0,1.075483521E1,-5.753585358E0,2.633773041E0
1.238565792E0,1.000010468E1,-5.573659515E0,2.404449921E0
1.248626792E0,9.145232391E0,-5.422473907E0,2.069895630E0
1.258688792E0,8.342302094E0,-5.265001373E0,1.775607605E0
1.268749792E0,7.617958374E0,-5.191354523E0,1.499282227E0
1.278810792E0,7.007228394E0,-5.235961761E0,1.229692841E0
1.288872792E0,6.469845886E0,-5.201533356E0,1.079555054E0
1.298933792E0,6.402935028E0,-4.851860504E0,9.777667236E-1
1.308995792E0,6.593638458E0,-4.377197571E0,9.539662170E-1
1.319056792E0,7.049739990E0,-3.961212616E0,8.503816223E-1
