"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.047374976E-3,-9.677025080E-1,-1.037847698E-1,-1.344232410E-1
1.610837498E-2,-1.177695036E0,4.584283382E-2,-2.917439342E-1
2.617037500E-2,-1.135226607E0,2.193381935E-1,-5.473839641E-1
3.623137501E-2,-9.153602719E-1,3.708866537E-1,-8.791543245E-1
4.629237496E-2,-7.023375034E-1,4.464642107E-1,-1.154487252E0
5.635437497E-2,-7.425145507E-1,9.211077690E-1,-1.289683223E0
6.641537498E-2,-9.075439572E-1,1.189519048E0,-1.416208148E0
7.647637499E-2,-1.221314907E0,1.322711706E0,-1.282642365E0
8.653837501E-2,-1.712790608E0,1.924116611E0,-8.888446689E-1
9.659937496E-2,-2.301901579E0,2.712291479E0,-3.636789620E-1
1.066603750E-1,-2.835437775E0,3.166690588E0,5.200345069E-2
1.167223750E-1,-3.181924820E0,3.068790197E0,1.670176238E-1
1.267833750E-1,-3.313132286E0,2.456779003E0,-5.223910324E-3
1.368453750E-1,-3.301375628E0,2.008484125E0,-2.836827040E-1
1.469063750E-1,-3.204124451E0,1.763430595E0,-5.528970957E-1
1.569673750E-1,-3.129645824E0,1.639239669E0,-6.469155550E-1
1.670293750E-1,-3.052510023E0,1.415763497E0,-8.060354590E-1
1.770903750E-1,-2.859288216E0,6.194162965E-1,-9.951372743E-1
1.871513750E-1,-2.595659494E0,-4.662197232E-1,-1.008500457E0
1.972133750E-1,-2.342265606E0,-1.771865368E0,-7.152466774E-1
2.072743750E-1,-2.143288851E0,-3.475071669E0,-5.095624924E-1
2.173353750E-1,-1.834825993E0,-5.393665314E0,-3.434742689E-1
2.273973750E-1,-1.483957171E0,-7.018508434E0,-1.171180755E-1
2.374583750E-1,-1.069043756E0,-8.582258224E0,1.314962804E-1
2.475203750E-1,-3.086213470E-1,-4.438589573E0,3.980666995E-1
2.575813750E-1,5.112553947E-3,-2.020138264E0,3.464001715E-1
2.676423750E-1,5.261179209E-1,-9.178254604E-1,5.122911334E-1
2.777043750E-1,1.224483013E0,-1.383236408E0,1.069236279E0
2.877653750E-1,1.833625793E0,-1.268596053E0,1.469064713E0
2.978263750E-1,2.218678236E0,-7.536965609E-1,1.622993112E0
3.078883750E-1,2.406849146E0,-8.450216651E-1,1.450419188E0
3.179493750E-1,2.319516897E0,-1.795353174E0,8.332643509E-1
3.280113750E-1,2.032598972E0,-3.015124559E0,-7.208070904E-2
3.380723750E-1,1.719459176E0,-4.150926113E0,-9.314721227E-1
3.481333750E-1,1.441782832E0,-5.151336193E0,-1.568656802E0
3.581953750E-1,1.294761419E0,-5.774982452E0,-1.991851926E0
3.682563750E-1,1.382503510E0,-5.156619072E0,-1.973083854E0
3.783173750E-1,1.760668397E0,-3.597289085E0,2.150840312E-1
3.883793750E-1,2.083898067E0,-2.426256418E0,1.347639441E0
3.984403750E-1,1.907391787E0,-2.154625654E0,1.092310190E0
4.085023750E-1,1.846828580E0,-2.661099672E0,6.461561918E-1
4.185633750E-1,1.959895253E0,-2.932337046E0,6.043401361E-1
4.286243750E-1,1.826300740E0,-2.864924192E0,7.597843409E-1
4.386863750E-1,1.291669726E0,-2.964702845E0,9.095858932E-1
4.487473750E-1,4.372261763E-1,-2.886748314E0,1.250746369E0
4.588083750E-1,1.760849059E-1,-2.963611603E0,1.734589815E0
