Keuwl Accelerometer Data File
2022-11-28 17-04-51

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.004985,3.079563,7.335198,8.018655,23.827396,108.073593
0.0187853,-1.005584,3.367898,7.639685,8.409442,24.705900,106.624519
0.0375706,-0.863211,3.686143,8.169097,9.003717,24.864777,103.179871
0.0563559,-0.973281,3.800999,8.800203,9.635271,24.030020,104.362518
0.0751412,-1.086342,3.885346,9.052048,9.910379,24.021799,105.620979
0.0939266,-1.133600,4.161717,9.065806,10.039611,25.444250,105.237000
0.1127119,-1.012164,4.500899,9.052647,10.160363,27.003767,102.673859
0.1314972,-0.723231,4.506283,8.933005,10.031363,27.062887,99.117867
0.1502825,-0.744766,4.489533,9.208179,10.271376,26.299618,99.418983
0.1690678,-0.757328,4.320839,9.166306,10.161907,25.574318,99.941444
0.1878531,-0.666999,4.097111,9.409177,10.284153,23.805635,99.246490
0.2066383,-0.929013,3.999005,10.630115,11.395370,21.117249,103.078468
0.2254236,-1.542174,4.151547,11.327622,12.162594,21.353880,110.378510
0.2442089,-1.661217,4.483552,10.943574,11.942516,23.601233,110.330353
0.2629943,-1.408176,4.819743,10.161121,11.334076,26.296850,106.286690
0.2817796,-0.811765,4.674977,10.253245,11.297938,24.833456,99.850647
0.3005649,-0.479163,3.879962,10.594820,11.293092,20.253824,97.040199
0.3193502,-0.756730,2.739184,10.983654,11.345326,14.505988,105.443413
0.3381355,-1.032503,1.550549,11.144571,11.299191,9.489495,123.659454
0.3569207,-1.007977,1.288535,9.124431,9.269928,10.164750,128.034851
0.3757060,-0.805783,1.298705,7.934001,8.079870,10.903655,121.817589
0.3944913,0.541974,1.292722,7.074380,7.211915,11.207584,67.254120
0.4132767,-0.062812,2.067399,6.664011,6.977616,17.243122,91.740219
0.4320620,-1.030708,2.031507,9.256036,9.532239,13.826385,116.901489
0.4508472,-0.644267,1.010968,11.027323,11.092294,6.204377,122.508469
0.4696325,-0.912264,1.320838,7.944769,8.105319,11.422909,124.631683
0.4884178,-1.500898,1.913660,4.261019,4.906228,29.716143,128.107361
0.5072031,-1.996811,2.260619,3.985246,4.997983,37.120235,131.454239
0.5259885,-1.250250,2.775674,7.341778,7.947906,22.521261,114.248283
0.5447736,-0.445663,3.094518,9.282955,9.795300,18.613222,98.195221
0.5635589,-0.619143,3.804588,8.880961,9.681411,23.462477,99.243050
0.5823442,-1.264607,4.186841,8.498708,9.558081,27.231531,106.806580
0.6011296,-0.650848,2.555535,9.475577,9.835696,15.552210,104.288422
0.6199148,-0.661017,3.117848,10.682158,11.147486,16.613106,101.970078
0.6387001,-0.339183,3.433102,10.859825,11.394606,17.623373,95.642380
0.6574854,0.202194,1.850848,8.862417,9.055881,11.864450,83.765518
0.6762707,-1.036092,2.289931,8.922237,9.269498,15.732671,114.344643
0.6950559,-1.947159,5.325227,13.743176,14.866888,22.419668,110.084846
0.7138413,1.009771,2.903092,11.989836,12.377550,14.378602,70.820992
0.7326266,2.085345,2.422135,10.156336,10.647373,17.468563,49.273083
0.7514119,2.679363,2.807379,7.506883,8.450660,27.337215,46.336575
0.7701970,2.687140,1.812563,5.865407,6.701425,28.925701,34.000946
0.7889824,1.769492,1.107877,3.986443,4.500024,27.641058,32.050629
0.8077676,2.093122,-0.139980,4.585845,5.042888,24.581745,356.173981
0.8265529,4.280760,-2.728416,6.878767,8.549069,36.426258,327.487915
0.8453382,4.975875,-4.555934,8.152347,10.581901,39.609749,317.522644
0.8641235,4.103093,-2.681756,6.069395,7.801585,38.924969,326.831604
0.8829087,4.163511,-3.421736,3.464209,6.406548,57.266689,320.585297
0.9016941,5.021338,-4.899902,4.710870,8.450750,56.120377,315.701263
0.9204794,5.727221,-6.131608,7.572087,11.301954,47.934452,313.046967
0.9392645,6.337391,-6.477969,7.895118,12.019131,48.937698,314.371521
0.9580499,6.176474,-7.356733,6.479166,11.586628,55.999966,310.015717
0.9768352,6.439086,-8.305488,4.554738,11.453758,66.567825,307.785736
0.9956204,6.999604,-9.544372,3.611367,12.374630,73.032066,306.255402
1.0144057,7.740183,-10.332209,3.687340,13.426147,74.059517,306.838043
1.0331908,7.624729,-10.506885,5.212764,13.989426,68.122604,305.967987
1.0519762,8.207980,-10.627722,6.317052,14.839965,64.806389,307.679565
1.0707616,8.522636,-9.774680,6.719046,14.605659,62.610935,311.085480
1.0895467,8.495717,-9.427721,6.198009,14.123543,63.969955,312.023346
1.1083320,8.626724,-9.384650,6.151349,14.153837,64.239746,312.590393
1.1271173,8.615956,-9.381062,6.899106,14.485741,61.558010,312.565643
1.1459025,8.589635,-9.002995,7.407581,14.481298,59.234375,313.654022
1.1646879,8.516654,-8.597412,7.393224,14.181278,58.578030,314.729645
1.1834731,9.089735,-7.794620,6.459424,13.605276,61.655396,319.386292
1.2022583,9.665209,-7.415358,5.739185,13.466330,64.774132,322.503784
1.2210436,9.653843,-7.578668,5.067998,13.278461,67.562798,321.866608
1.2398289,8.889337,-7.490133,4.787440,12.571475,67.615662,319.882599
1.2586141,8.721240,-7.095915,4.869992,12.252708,66.580353,320.866943
1.2773994,9.117252,-6.573084,4.843073,12.238671,66.689186,324.210266
1.2961847,9.535996,-6.200402,4.714459,12.312852,67.487236,326.967682
1.3149699,10.079765,-5.999404,4.540381,12.578139,68.839973,329.239197
1.3337553,10.393824,-5.838487,4.827520,12.861744,67.954704,330.675934
1.3525405,10.987842,-5.846862,5.111667,13.455393,67.672684,331.981628
1.3713256,11.884552,-6.095716,5.806184,14.564069,66.505257,332.846222
1.3901111,12.626327,-6.763313,6.249454,15.627610,66.428177,331.824188
1.4088962,13.134802,-7.678568,6.271588,16.456495,67.598099,329.689575
1.4276813,13.935799,-8.614161,5.911469,17.417110,70.159325,328.278473
1.4464668,14.520246,-9.266804,5.925825,18.216108,71.015831,327.454041
1.4652519,15.148362,-9.789636,6.451648,19.155510,70.317734,327.127411
1.4840372,14.919250,-9.992428,6.978069,19.264633,68.763298,326.187103
1.5028225,13.657634,-10.691132,6.600003,18.557783,69.166954,321.946320
1.5216078,12.557533,-11.764911,6.413363,18.363985,69.559418,316.866516
1.5403929,12.227324,-13.323236,6.162117,19.104652,71.183075,312.543976
1.5591782,11.997613,-14.752350,5.650651,19.836945,73.449821,309.120361
1.5779635,11.314462,-15.598811,5.093123,19.931881,75.195221,305.954926
1.5967487,10.528419,-15.558731,4.740780,19.375158,75.836876,304.085785
1.6155341,9.599406,-14.949758,4.737191,18.387083,75.070114,302.704987
1.6343192,8.938389,-14.155939,4.832305,17.425171,73.899826,302.269257
1.6531044,8.428718,-13.766507,4.575077,16.777704,74.175720,301.477570
1.6718898,7.797611,-13.508680,4.311866,16.182688,74.546913,299.994812
1.6906749,7.349555,-13.274183,3.948157,15.678261,75.414543,298.972107
1.7094601,6.927820,-13.117454,3.258426,15.188141,77.611603,297.840210
1.7282455,6.405586,-12.796816,2.401197,14.510541,80.474907,296.590759
1.7470307,5.795416,-12.166306,1.812563,13.597472,82.339584,295.470795
1.7658159,5.050052,-11.437094,1.176072,12.557599,84.626129,293.823883
1.7846012,4.320241,-10.506885,1.068994,11.410603,84.624405,292.351593
1.8033864,3.740580,-9.860224,1.036092,10.596671,84.388924,290.774780
