Keuwl Accelerometer Data File
2022-12-12 11-09-35

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
45.4357300,22.810778,28.445875,6.685546,37.070148,79.609940,51.273834
45.4369202,23.330021,28.572695,6.702296,37.491459,79.701958,50.767864
45.4381027,23.820549,28.687551,6.692725,37.883858,79.824478,50.295643
45.4392891,24.291935,28.790442,6.652047,38.252285,79.985390,49.844002
45.4404793,24.758535,28.876583,6.582655,38.602764,80.181778,49.390495
45.4416656,25.215565,28.950762,6.513263,38.940903,80.371437,48.944756
45.4428520,25.651058,29.008188,6.451050,39.256439,80.541626,48.514648
45.4440384,26.081766,29.039295,6.388836,39.551945,80.704269,48.071270
45.4452248,26.493332,29.048866,6.317052,39.820076,80.872040,47.634357
45.4464149,26.885756,29.044081,6.238089,40.066399,81.042969,47.209942
45.4476013,27.273392,29.024939,6.154340,40.300877,81.216003,46.782005
45.4487839,27.627531,28.993832,6.056234,40.504330,81.400848,46.382305
45.4499741,27.940990,28.934011,5.941379,40.659267,81.597511,46.000267
45.4511604,28.228128,28.862226,5.816952,40.788383,81.800926,45.636353
45.4523468,28.493732,28.780870,5.687739,40.897205,82.005730,45.287243
45.4535370,28.737801,28.680372,5.556134,40.979210,82.207596,44.942696
45.4547195,28.950762,28.565517,5.405386,41.028694,82.429474,44.616238
45.4559059,29.127831,28.431519,5.237889,41.039215,82.667267,44.306911
45.4570961,29.290543,28.278378,5.060820,41.026997,82.914322,43.992741
45.4582825,29.441290,28.103703,4.871787,40.991974,83.174416,43.668446
45.4594688,29.572895,27.909883,4.670790,40.930843,83.447464,43.342861
45.4606552,29.685358,27.699314,4.460221,40.845634,83.730972,43.017822
45.4618416,29.790642,27.452854,4.228117,40.731052,84.041634,42.661377
45.4630318,29.883963,27.184858,3.993621,40.595772,84.354378,42.292179
45.4642181,29.955748,26.885756,3.754339,40.426300,84.671333,41.908478
45.4654007,30.008389,26.553152,3.500700,40.222233,85.007004,41.504253
45.4665909,30.063423,26.208586,3.232703,40.014370,85.366104,41.081154
45.4677773,30.101709,25.837698,2.952743,39.779621,85.743164,40.641026
45.4689674,30.120852,25.445276,2.665604,39.520035,86.132492,40.190216
45.4701500,30.118458,25.052853,2.359323,39.247082,86.553612,39.754044
45.4713364,30.084959,24.653252,2.043471,38.949497,86.992615,39.333054
45.4725266,30.034710,24.236900,1.720439,38.632515,87.447578,38.902248
45.4737129,29.950960,23.806192,1.385444,38.284649,87.926132,38.479046
45.4748993,29.845676,23.365913,1.038485,37.918449,88.430626,38.057072
45.4760857,29.726036,22.908884,0.686740,37.535660,88.951675,37.620266
45.4772720,29.580074,22.459034,0.325424,37.141552,89.497986,37.208031
45.4784584,29.405397,22.009182,-0.035892,36.729862,90.055992,36.813908
45.4796486,29.218758,21.542582,-0.390030,36.303867,90.615570,36.400833
45.4808311,29.010582,21.080767,-0.741775,35.868687,91.184975,36.004322
45.4820213,28.773693,20.621346,-1.079163,35.416519,91.746109,35.628166
45.4832077,28.522446,20.159531,-1.414158,34.956207,92.318542,35.252491
45.4843941,28.244879,19.690538,-1.751546,34.475475,92.912201,34.881763
