Keuwl Accelerometer Data File
2022-11-29 11-16-27

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.963050,3.898950,10.071000,10.976357,23.434189,116.724419
0.0200967,-1.576950,4.000050,9.961050,10.849409,23.347357,111.515976
0.0401933,-1.812000,3.856050,9.142051,10.086107,24.987452,115.169342
0.0602902,-2.098950,3.823050,8.671950,9.706906,26.698973,118.767883
0.0803868,-2.356050,3.745950,8.275050,9.384007,28.136717,122.168221
0.1004835,-2.194950,3.802950,8.377951,9.458874,27.659266,119.992271
0.1205801,-1.455000,4.120050,9.040951,10.041446,25.794119,109.450722
0.1406767,-0.555000,3.942000,9.757051,10.537904,22.195461,98.014084
0.1607736,-0.865950,3.894000,9.664050,10.454998,22.429846,102.537453
0.1808702,-1.170000,3.856050,9.088950,9.942184,23.910400,106.878807
0.2009669,-0.732000,3.715050,8.577001,9.375627,23.819973,101.146568
0.2210635,-0.178950,3.976050,8.385000,9.281661,25.392111,92.576973
0.2411602,0.271050,4.327950,8.590950,9.623359,26.783142,86.416374
0.2612568,0.618000,4.524000,9.111000,10.191115,26.617939,82.221268
0.2813536,0.630000,4.327950,9.412050,10.378572,24.923206,81.717880
0.3014502,0.498000,3.753000,9.010051,9.773128,22.791460,82.441360
0.3215469,-0.315000,3.645000,8.727000,9.462863,22.744692,94.939217
0.3416435,-1.137000,4.263000,8.878051,9.913916,26.425463,104.933929
0.3617401,-0.259950,4.078950,9.187051,10.055213,23.983793,93.646507
0.3818370,1.414950,4.045050,9.645000,10.554173,23.956129,70.720268
0.4019336,2.790000,4.230000,8.827950,10.178885,29.855844,56.592175
0.4220303,2.515050,3.847050,8.296050,9.484182,28.987570,56.824921
0.4421269,1.516050,3.703050,8.116950,9.049633,26.241680,67.735527
0.4622235,1.546950,4.407000,7.393050,8.744821,32.282986,70.657852
0.4823204,2.188950,4.776000,6.037951,8.003657,41.027122,65.376930
0.5024170,3.154050,5.085000,6.174000,8.597879,44.103474,58.190098
0.5225136,3.184950,4.921950,6.787050,8.968475,40.819954,57.093452
0.5426102,2.235000,3.775050,5.803050,7.274724,37.088940,59.372551
0.5627069,-0.325050,3.672000,4.342050,5.695844,40.330936,95.058708
0.5828037,-1.306950,4.543950,4.618050,6.609235,45.675049,106.046516
0.6029003,0.417000,6.177001,6.900000,9.270341,41.900204,86.137909
0.6229970,4.447950,4.134000,8.377951,10.347187,35.934940,42.904903
0.6430937,2.785050,3.589950,7.531950,8.796279,31.100170,52.196018
0.6631902,0.628050,4.132050,8.205000,9.208165,26.993628,81.357491
0.6832871,1.714950,3.720000,10.381950,11.160840,21.532074,65.249916
0.7033837,3.183000,3.744000,10.987950,12.036780,24.095736,49.630135
0.7234804,3.123000,3.394050,11.110050,12.029377,22.545322,47.381611
0.7435770,2.373000,3.780000,9.570001,10.559566,25.002783,57.880310
0.7636739,4.107000,3.763050,8.593050,10.240533,32.952541,42.497555
0.7837705,4.879050,3.511050,8.907001,10.745569,34.014107,35.739452
0.8038671,4.294050,3.589950,9.075001,10.662188,31.664261,39.896599
0.8239638,4.189050,3.198000,8.737050,10.203499,31.098591,37.358799
0.8440603,3.850950,3.061050,7.990050,9.383003,31.619877,38.480549
0.8641570,5.038950,2.565000,7.039050,9.028758,38.773697,26.977667
0.8842539,6.232050,2.722950,7.207050,9.909313,43.339424,23.601810
0.9043505,5.134950,4.041000,8.217000,10.498404,38.492428,38.201332
0.9244471,3.460950,4.278000,8.775001,10.357611,32.091236,51.026752
0.9445437,2.959950,3.181050,7.813050,8.940030,29.080221,47.061981
0.9646404,4.567050,1.957050,7.195050,8.743955,34.627880,23.195866
0.9847372,5.482050,2.565000,8.707951,10.604740,34.801170,25.074453
1.0048338,5.319000,2.424000,9.202050,10.901618,32.424423,24.499928
1.0249305,4.438050,2.587050,8.413950,9.858178,31.405643,30.238977
1.0450271,5.740950,2.785950,7.891951,10.149035,38.958092,25.886225
1.0651239,7.309950,2.913000,8.875951,11.861848,41.558632,21.727180
1.0852206,9.288000,3.435000,10.318050,14.301340,43.823662,20.296011
1.1053171,11.031000,4.041000,10.765950,15.934815,47.497341,20.119362
1.1254139,11.620951,3.684000,10.663051,16.196264,48.824715,17.589327
1.1455106,12.682051,2.920050,11.530050,17.386868,48.459667,12.966402
1.1656073,14.332050,2.098050,13.323001,19.680239,47.392406,8.328300
1.1857039,15.235051,1.360950,14.113951,20.812557,47.301071,5.104694
1.2058005,14.646001,0.654000,13.180051,19.714127,48.044075,2.556777
1.2258972,12.603001,0.060000,10.240951,16.239344,50.903683,0.272770
1.2459939,10.405951,-0.430050,6.469050,12.260398,58.154003,357.633453
1.2660908,8.893050,-0.169050,4.167000,9.822363,64.897682,358.910980
1.2861874,8.338950,-0.097050,2.746950,8.780276,71.768654,359.333221
1.3062840,7.915950,-0.163950,2.827950,8.407523,70.344772,358.813507
1.3263806,7.044000,-0.042000,2.827950,7.590587,68.126404,359.658386
1.3464773,5.839050,0.067050,2.908050,6.523478,63.526608,0.657900
1.3665739,5.116050,0.397950,2.512050,5.713382,63.916641,4.447774
1.3866708,4.989000,0.613050,2.163000,5.472159,66.716957,7.005406
1.4067675,4.852050,0.652050,3.018000,5.751164,58.347687,7.653923
1.4268641,4.927050,0.940950,3.805950,6.296544,52.810680,10.811949
1.4469609,5.218950,1.164000,2.836050,6.052728,62.059311,12.573089
1.4670576,4.833000,1.761000,1.542000,5.369988,73.312508,20.020222
1.4871541,3.885000,2.175000,0.912000,4.544843,78.424034,29.242090
1.5072509,3.291000,2.215950,1.236000,4.155576,72.696594,33.953815
1.5273476,3.295950,2.343000,2.031000,4.525251,63.332329,35.407974
1.5474443,4.036050,2.299050,2.304000,5.184954,63.617432,29.667082
1.5675410,4.528950,2.331000,2.581950,5.710641,63.119598,27.234375
1.5876375,4.906950,2.089050,2.368950,5.835598,66.049446,23.061050
1.6077342,5.833950,1.909050,2.758950,6.729877,65.797958,18.119707
1.6278309,6.451950,1.843950,3.802950,7.712992,60.458244,15.949795
1.6479276,6.487950,1.774950,3.817950,7.734384,60.420322,15.300391
1.6680243,6.519001,1.653000,3.637950,7.646205,61.589523,14.228407
1.6881210,7.735950,1.300950,3.694950,8.671220,64.778641,9.546075
1.7082175,8.821051,1.341000,4.138950,9.835656,65.114212,8.644074
1.7283142,9.187051,1.159050,4.276950,10.199883,65.208733,7.190520
1.7484111,9.076950,1.228950,4.243950,10.095170,65.140526,7.710527
1.7685076,8.742001,1.027950,3.973050,9.657349,65.707077,6.706471
1.7886044,8.815950,0.565050,3.805950,9.619019,66.692276,3.667302
1.8087010,10.060950,-0.118950,4.167000,10.890398,67.503273,359.322632
1.8287978,11.721001,-0.226050,5.929950,13.137628,63.168289,358.895142
1.8488944,14.289001,-0.061050,8.545051,16.649239,59.120132,359.755219
