Keuwl Accelerometer Data File
2022-11-29 11-11-45

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.285050,4.467000,9.991950,11.020186,24.947428,106.049271
0.0200960,-0.943050,4.516950,9.120001,10.220890,26.837530,101.792831
0.0401920,-1.539000,4.287000,8.538000,9.677000,28.079147,109.747749
0.0602881,-1.647000,4.132050,9.127050,10.153299,25.982933,111.731804
0.0803840,-1.230000,4.168050,10.252951,11.135912,22.969833,106.441437
0.1004800,-1.326000,4.366050,10.231050,11.202458,24.036493,106.893906
0.1205761,-2.134950,4.366050,8.919001,10.157213,28.586555,116.058121
0.1406721,-1.836000,4.242000,7.777050,9.046988,30.725077,113.403671
0.1607681,-2.206950,4.648950,6.790051,8.519868,37.158596,115.394638
0.1808642,-1.231950,4.321050,7.615951,8.842617,30.539633,105.913078
0.2009602,0.805050,3.990000,9.240001,10.096823,23.774464,78.592758
0.2210562,0.979950,4.785000,10.272000,11.374117,25.430996,78.426079
0.2411522,0.568050,4.608000,10.549951,11.526396,23.753599,82.972336
0.2612482,0.685050,4.069050,9.505951,10.362894,23.464552,80.443512
0.2813444,0.856950,3.736050,7.954051,8.829459,25.729498,77.081345
0.3014404,1.870950,3.934950,7.816950,8.949246,29.134905,64.570320
0.3215364,3.049050,4.309050,8.851951,10.306389,30.808947,54.717072
0.3416324,3.135000,4.603050,8.017950,9.762367,34.783646,55.742390
0.3617284,1.720050,5.407950,7.060050,9.058080,38.792480,72.356239
0.3818244,0.205950,5.676000,5.989950,8.254628,43.477261,87.921974
0.4019204,-0.811050,5.740950,4.468950,7.320371,52.375679,98.041222
0.4220164,-2.518950,6.667950,3.789000,8.072372,62.006020,110.695053
0.4421124,1.120950,5.338950,4.996050,7.397394,47.516350,78.142578
0.4622085,4.243950,5.239950,5.536950,8.725022,50.609245,50.995232
0.4823045,4.801950,4.864050,5.391000,8.705205,51.736084,45.368095
0.5024005,3.540000,4.999050,5.662050,8.341517,47.251663,54.696373
0.5224966,2.694000,4.824000,5.674050,7.919815,44.238888,60.818489
0.5425926,3.810000,4.141050,4.135950,6.983587,53.683968,47.384190
0.5626886,3.418050,3.223950,2.284950,5.224741,64.066177,43.326115
0.5827845,2.473950,1.773000,1.165950,3.259356,69.039513,35.627945
0.6028805,6.973950,4.540950,3.094050,8.878590,69.605354,33.069370
0.6229765,10.701000,4.290000,5.724000,12.871662,63.595989,21.845709
0.6430725,6.952950,2.242050,6.478050,9.763988,48.435436,17.872450
0.6631685,6.067050,1.947000,6.997951,9.464208,42.318634,17.792152
0.6832645,7.948950,2.331000,7.459950,11.147655,47.995068,16.343578
