"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.331125020E-3,-8.990952373E-1,-4.847667217E-1,2.700164914E-1
1.839212503E-2,-1.001559019E0,-6.833661199E-1,2.102173269E-1
2.845312504E-2,-1.011266708E0,-8.153354526E-1,1.167185456E-1
3.851312504E-2,-9.371725321E-1,-8.928778768E-1,-1.651775092E-3
4.857412499E-2,-8.080313206E-1,-9.015507698E-1,-9.464461356E-2
5.863512499E-2,-6.461175084E-1,-8.678979874E-1,-1.476058364E-1
6.869512500E-2,-5.340593457E-1,-7.734169960E-1,-2.785975635E-1
7.875612500E-2,-4.323910773E-1,-6.803746819E-1,-4.396404922E-1
8.881612500E-2,-3.111204803E-1,-6.845023036E-1,-4.864930511E-1
9.887712501E-2,-2.135023177E-1,-7.758841515E-1,-4.202863276E-1
1.089381250E-1,-1.419221908E-1,-9.584789276E-1,-2.653825879E-1
1.189981250E-1,-1.355700195E-1,-1.213368773E0,-1.210065037E-1
1.290591250E-1,-2.152856439E-1,-1.524475813E0,-4.786344245E-2
1.391201250E-1,-3.923080564E-1,-1.918353319E0,-5.372292921E-2
1.491801250E-1,-5.347443223E-1,-2.291278362E0,-8.936479688E-2
1.592411250E-1,-4.761041999E-1,-2.504462719E0,-8.412209898E-2
1.693021250E-1,-2.754890025E-1,-2.722166538E0,-1.040184870E-1
1.793621250E-1,-2.753593959E-2,-2.988721609E0,-1.908271462E-1
1.894231250E-1,2.512869239E-1,-3.210103035E0,-3.146622777E-1
1.994841250E-1,4.810058475E-1,-3.369871616E0,-4.103395343E-1
2.095441250E-1,5.238898993E-1,-3.498473644E0,-3.620118201E-1
2.196051250E-1,4.560011327E-1,-3.706541300E0,-1.922179759E-1
2.296661250E-1,2.858798504E-1,-3.852580786E0,-4.170409217E-2
2.397261250E-1,8.979744464E-2,-3.918788671E0,6.381221861E-2
2.497871250E-1,-8.616261184E-2,-3.940370083E0,1.558053493E-1
2.598481250E-1,-1.853094399E-1,-3.985075474E0,3.137649000E-1
2.699081250E-1,-1.338137984E-1,-4.118765831E0,5.033138394E-1
2.799691250E-1,8.616942912E-2,-4.411611080E0,6.516793370E-1
2.900301250E-1,4.329449534E-1,-4.641060829E0,7.725465298E-1
3.000901250E-1,8.480231166E-1,-4.644778728E0,9.424338341E-1
3.101511250E-1,1.139313459E0,-4.578159809E0,1.155012846E0
3.202121250E-1,1.166140556E0,-4.517549038E0,1.445055008E0
3.302721250E-1,8.080441952E-1,-4.063633919E0,1.326460361E0
3.403331250E-1,2.470857650E-1,-3.560424328E0,1.182718635E0
3.503931250E-1,-1.173918992E-1,-3.352895021E0,1.442296505E0
3.604541250E-1,-3.493452370E-1,-3.128936052E0,1.692107201E0
