"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.646712499E-2,-4.686094224E-1,4.990074039E-2,-1.023852468E0
3.652712499E-2,-4.329732656E-1,-1.453696638E-1,-1.145679235E0
4.658712499E-2,-4.916336238E-1,-2.389824390E-1,-1.303516507E0
5.664712499E-2,-5.955094695E-1,-1.649080664E-1,-1.437266469E0
6.670712499E-2,-7.144339681E-1,-3.930753842E-2,-1.551571727E0
7.676712499E-2,-8.257349730E-1,8.812152594E-2,-1.660131574E0
8.682712499E-2,-9.455822706E-1,1.566031128E-1,-1.758605123E0
9.688712499E-2,-1.063630342E0,2.617941797E-1,-1.858405471E0
1.069471250E-1,-1.202321053E0,2.787078917E-1,-1.862999439E0
1.170071250E-1,-1.403858066E0,2.510400116E-1,-1.878514528E0
1.270671250E-1,-1.653983712E0,-5.510476232E-1,-1.881942272E0
1.371271250E-1,-1.659032941E0,-1.161702871E0,-1.727239609E0
1.471871250E-1,-1.569927335E0,-1.115596890E0,-1.458829403E0
1.572471250E-1,-1.381731749E0,-1.369930029E0,-1.053292274E0
1.673071250E-1,-1.143261433E0,-1.685030103E0,-7.161672711E-1
1.773671250E-1,-9.743092656E-1,-2.081552744E0,-6.233798862E-1
1.874271250E-1,-1.019962192E0,-2.855344057E0,-8.664609790E-1
1.974871250E-1,-9.931244850E-1,-3.353016376E0,-1.142432690E0
2.075471250E-1,-7.842133641E-1,-3.400188446E0,-1.262153149E0
2.176071250E-1,-5.765766501E-1,-3.079565525E0,-1.236422658E0
2.276671250E-1,-3.279924095E-1,-1.656151891E0,-1.092007875E0
2.377271250E-1,-1.664400399E-1,-6.555262208E-1,-8.441092372E-1
2.477868750E-1,-9.158603102E-2,-1.491567641E-1,-5.933337808E-1
2.578468750E-1,-1.751787215E-1,-2.882689536E-1,-4.380368590E-1
2.679068750E-1,-2.239414603E-1,-7.091775537E-1,-2.596777678E-1
2.779668750E-1,-8.895202726E-2,-1.131227255E0,9.996088594E-2
2.880268750E-1,2.151585966E-1,-1.650991917E0,4.394425452E-1
2.980868750E-1,5.012682676E-1,-2.460291862E0,7.250466943E-1
3.081468750E-1,7.912561893E-1,-3.524319649E0,8.698363304E-1
3.182068750E-1,1.067238569E0,-4.428840160E0,7.568716407E-1
3.282668750E-1,1.267547607E0,-4.917181492E0,5.067046881E-1
3.383268750E-1,1.323441267E0,-5.016878128E0,4.675939381E-1
3.483868750E-1,1.278897166E0,-4.881978512E0,8.464418650E-1
3.584468750E-1,1.204537630E0,-4.865368366E0,1.473556638E0
3.685068750E-1,1.142988682E0,-5.395083427E0,2.226862192E0
3.785668750E-1,1.235973477E0,-7.008656025E0,3.125140429E0
3.886268750E-1,1.571119785E0,-8.636320114E0,3.842876196E0
3.986868750E-1,2.148816109E0,-9.502551079E0,3.626299143E0
4.087468750E-1,2.660891533E0,-9.611783981E0,2.996637106E0
4.188068750E-1,3.064098835E0,-8.698142052E0,2.587856293E0
4.288668750E-1,3.073616266E0,-7.724820137E0,2.255443573E0
4.389268750E-1,2.881892204E0,-6.883991718E0,2.097026825E0
4.489868750E-1,2.641643763E0,-6.672986507E0,2.210284472E0
4.590468750E-1,2.800553322E0,-6.845302582E0,2.593619108E0
4.691068750E-1,3.212299824E0,-6.687025070E0,3.105784655E0
4.791668750E-1,3.497461557E0,-5.755745411E0,3.660736322E0
4.892268750E-1,3.455496788E0,-4.561209202E0,4.201687813E0
4.992868750E-1,2.863772869E0,-3.337259293E0,4.613329887E0
5.093468750E-1,1.754506826E0,-1.910288453E0,4.931829929E0
5.194068750E-1,4.717923403E-1,-6.282363534E-1,5.354202747E0
5.294668750E-1,-5.560392737E-1,3.662710488E-1,5.873258114E0
5.395268750E-1,-1.196075439E0,9.115967155E-1,6.090992451E0
5.495868750E-1,-1.408508778E0,8.615969419E-1,5.953401566E0
5.596468750E-1,-1.224568129E0,4.134148061E-1,5.601856709E0
5.697068750E-1,-8.055546284E-1,-2.690852061E-2,5.113162518E0
5.797668750E-1,-3.592022359E-1,-3.013615310E-1,4.701190948E0
5.898268750E-1,1.232176088E-2,-3.679751754E-1,4.484655380E0
5.998868750E-1,2.489785701E-1,-2.259051055E-1,4.346414566E0
6.099468750E-1,3.330399096E-1,1.604282111E-2,4.171103477E0
6.200068750E-1,4.485392570E-1,-3.786634281E-2,3.991347313E0
6.300668750E-1,3.176195920E-1,3.594554663E-1,3.398843288E0
6.401268750E-1,5.383810773E-2,7.095028758E-1,2.907604933E0
6.501868750E-1,-1.313269436E-1,8.435783982E-1,2.708115816E0
6.602468750E-1,-1.968007833E-1,8.825622201E-1,2.539865494E0
6.703068750E-1,-2.257831544E-1,9.479721189E-1,2.395524263E0
6.803668750E-1,-2.013851255E-1,9.647868872E-1,2.220141888E0
6.904268750E-1,-1.065044180E-1,9.377049804E-1,2.020006180E0
7.004868750E-1,6.925921887E-2,8.080394864E-1,1.815099478E0
7.105468750E-1,2.433814853E-1,6.770430803E-1,1.507722259E0
7.206068750E-1,2.814403772E-1,5.643488765E-1,1.216440201E0
7.306668750E-1,2.584407926E-1,4.539541900E-1,9.975517392E-1
7.407268750E-1,1.908938438E-1,3.301750422E-1,8.476750255E-1
7.507868750E-1,9.237258881E-2,2.157610953E-1,7.672060132E-1
7.608468750E-1,-3.671009094E-2,1.325867325E-1,7.577793598E-1
7.709068750E-1,-1.498851031E-1,7.393326610E-2,7.987534404E-1
7.809668750E-1,-2.573205829E-1,2.469596267E-2,8.429201245E-1
7.910268750E-1,-3.471029401E-1,1.787294447E-2,8.478624225E-1
8.010868750E-1,-4.129462540E-1,-5.118284374E-3,7.871823907E-1
8.111468750E-1,-4.460797012E-1,-4.334076867E-2,6.413724422E-1
8.212068750E-1,-4.506117404E-1,-6.394056976E-2,4.549932778E-1
8.312668750E-1,-4.353587329E-1,-7.704412192E-2,3.110091984E-1
8.413268750E-1,-4.400488436E-1,-8.003462106E-2,2.196118236E-1
8.513868750E-1,-4.448611736E-1,-9.612756968E-2,1.340753436E-1
8.614468750E-1,-4.049527049E-1,-1.305507421E-1,6.206601858E-2
8.715068750E-1,-3.275766969E-1,-2.491796464E-1,3.713057563E-2
8.815668750E-1,-2.553031147E-1,-5.332907438E-1,9.969851375E-2
8.916268750E-1,-5.871785805E-2,-5.718368292E-1,-3.705134988E-2
9.016868750E-1,2.204336673E-1,-6.594271064E-1,-2.105703056E-1
9.117468750E-1,3.613854647E-1,-6.797446609E-1,-3.532483578E-1
9.218068750E-1,3.734809458E-1,-5.665155649E-1,-4.738151133E-1
9.318678750E-1,3.348022699E-1,-4.333588481E-1,-5.774722099E-1
9.419278750E-1,2.627176046E-1,-3.227398396E-1,-6.341850162E-1
9.519878750E-1,1.838401109E-1,-2.579935789E-1,-6.408557296E-1
9.620478750E-1,1.158839837E-1,-2.240909189E-1,-6.233747005E-1
9.721078750E-1,8.384296298E-2,-1.720713824E-1,-6.088847518E-1
9.821678750E-1,1.233894750E-1,-2.421141136E-3,-5.898762345E-1
9.922278750E-1,2.054188401E-1,1.809356362E-1,-5.948811173E-1
1.002287875E0,2.634422779E-1,1.688456684E-1,-6.012306809E-1
1.012347875E0,3.128207326E-1,1.940785795E-1,-6.421954036E-1
1.022407875E0,3.271332085E-1,1.931942254E-1,-6.932948828E-1
1.032467875E0,3.154858947E-1,1.753662229E-1,-7.103713751E-1
1.042527875E0,2.854947746E-1,1.806137413E-1,-7.024819255E-1
1.052587875E0,2.267955095E-1,1.950965375E-1,-6.729328036E-1
1.062647875E0,1.669663638E-1,2.166192234E-1,-6.397117376E-1
1.072707875E0,1.171287671E-1,2.535117269E-1,-6.298969388E-1
1.082767875E0,8.472973853E-2,2.951913178E-1,-6.398279667E-1
1.092827875E0,7.677833736E-2,3.531699181E-1,-6.777141094E-1
1.102887875E0,1.039007902E-1,4.263921082E-1,-7.401120067E-1
1.112947875E0,1.472927481E-1,4.808500409E-1,-8.074646592E-1
1.123007875E0,1.878437847E-1,5.046433210E-1,-8.679540157E-1
1.133067875E0,2.137371600E-1,5.397731066E-1,-8.964903355E-1
1.143127875E0,2.369324565E-1,5.364074111E-1,-8.984680772E-1
1.153187875E0,2.595650554E-1,4.854046404E-1,-8.727275729E-1
1.163247875E0,2.068749666E-1,4.752298594E-1,-8.246061206E-1
1.173307875E0,2.079388946E-1,4.263917506E-1,-7.772729397E-1
1.183367875E0,1.919248104E-1,3.754417002E-1,-7.001159787E-1
1.193427875E0,3.009335995E-1,2.298765033E-1,-6.256257892E-1
1.203487875E0,4.417988360E-1,2.246921510E-2,-5.596815348E-1
