Keuwl Accelerometer Data File
2022-11-27 15-50-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.133301,4.464110,8.595019,9.751257,28.185040,104.244713
0.2604498,-1.471586,4.749753,8.226524,9.612566,31.150732,107.214218
0.2616377,-1.466800,4.749753,8.243274,9.626173,31.091951,107.161530
0.2628257,-1.462015,4.749753,8.257631,9.637744,31.040695,107.108818
0.2640136,-1.459622,4.749753,8.269595,9.647635,31.000484,107.082443
0.2652015,-1.457229,4.749753,8.279166,9.655478,30.967659,107.056068
0.2663894,-1.454836,4.752146,8.288737,9.664502,30.946527,107.021599
0.2675774,-1.452443,4.754539,8.300702,9.675582,30.918158,106.987160
0.2687652,-1.452443,4.752146,8.310273,9.682619,30.877438,106.995224
0.2699532,-1.452443,4.747360,8.317451,9.686435,30.832417,107.011368
0.2711411,-1.452443,4.744967,8.327023,9.693482,30.791807,107.019447
0.2723291,-1.452443,4.742575,8.341380,9.704650,30.736813,107.027534
0.2735170,-1.454836,4.742575,8.353344,9.715293,30.704302,107.053963
0.2747049,-1.459622,4.742575,8.365308,9.726299,30.675444,107.106789
0.2758928,-1.462015,4.744967,8.377272,9.738115,30.654667,107.125061
0.2770807,-1.462015,4.749753,8.389236,9.750740,30.641937,107.108818
0.2782686,-1.462015,4.756931,8.403593,9.766589,30.633640,107.084503
0.2794566,-1.462015,4.761717,8.420342,9.783333,30.606709,107.068329
0.2806445,-1.462015,4.766503,8.439486,9.802140,30.572758,107.052185
0.2818324,-1.462015,4.771288,8.458628,9.820951,30.538940,107.036072
0.2830203,-1.464407,4.776074,8.480164,9.842182,30.501692,107.046234
0.2842083,-1.464407,4.778467,8.501698,9.861902,30.449642,107.038193
0.2853962,-1.462015,4.783252,8.523234,9.882435,30.405737,106.995918
0.2865841,-1.459622,4.785645,8.539984,9.897688,30.364605,106.961708
0.2877721,-1.457229,4.790431,8.554341,9.912039,30.342007,106.919540
0.2889600,-1.454836,4.795217,8.563912,9.922260,30.333439,106.877441
0.2901479,-1.450050,4.802395,8.571091,9.931225,30.339823,106.801331
0.2913358,-1.445265,4.807181,8.578269,9.939038,30.334860,106.733253
0.2925237,-1.440479,4.816752,8.587840,9.951235,30.345751,106.649620
0.2937117,-1.433301,4.823930,8.595019,9.959870,30.348860,106.547897
0.2948996,-1.426122,4.826324,8.599805,9.964129,30.336226,106.461800
0.2960875,-1.418944,4.833502,8.602198,9.968648,30.353369,106.360359
0.2972755,-1.411765,4.840680,8.602198,9.971111,30.377533,106.259117
0.2984634,-1.406980,4.847859,8.602198,9.973923,30.405075,106.184158
0.2996513,-1.402194,4.852644,8.602198,9.975575,30.421246,106.116898
0.3008392,-1.395016,4.859823,8.599805,9.976001,30.452532,106.016167
0.3020271,-1.387837,4.867001,8.592627,9.972313,30.497837,105.915627
0.3032151,-1.383052,4.874180,8.578269,9.962789,30.567467,105.841324
0.3044030,-1.375873,4.878965,8.561520,9.949721,30.629667,105.748505
0.3055909,-1.368695,4.881358,8.530413,9.923151,30.722965,105.663078
0.3067788,-1.359123,4.881358,8.496913,9.893048,30.809261,105.558868
0.3079668,-1.344766,4.876573,8.470592,9.866118,30.845421,105.416756
0.3091547,-1.330409,4.869394,8.458628,9.850348,30.827553,105.281319
0.3103426,-1.313660,4.862216,8.456235,9.842498,30.778122,105.119034
0.3115306,-1.299303,4.855037,8.456235,9.837047,30.724770,104.982376
0.3127185,-1.287339,4.852644,8.458628,9.836350,30.690649,104.857536
0.3139064,-1.275374,4.850252,8.463413,9.837728,30.649529,104.732430
0.3150943,-1.263410,4.847859,8.468200,9.839124,30.608553,104.607056
0.3162822,-1.251446,4.843073,8.477771,9.843479,30.541925,104.488274
0.3174701,-1.239482,4.840680,8.487342,9.849034,30.487082,104.362312
0.3186581,-1.229911,4.838287,8.499306,9.856973,30.428341,104.262711
0.3198460,-1.225125,4.838287,8.511271,9.866695,30.387251,104.209465
0.3210340,-1.222732,4.838287,8.523234,9.876721,30.349213,104.182831
0.3222219,-1.220340,4.838287,8.532805,9.884686,30.318249,104.156189
0.3234098,-1.220340,4.835895,8.539984,9.889713,30.285652,104.162918
0.3245977,-1.220340,4.831109,8.544769,9.891508,30.248466,104.176376
0.3257856,-1.220340,4.823930,8.544769,9.888003,30.213623,104.196625
0.3269736,-1.222732,4.811966,8.542377,9.880400,30.165445,104.257256
0.3281615,-1.225125,4.804788,8.542377,9.877202,30.133516,104.304482
0.3293494,-1.227518,4.800002,8.537591,9.871033,30.127153,104.344971
0.3305373,-1.234697,4.795217,8.532805,9.865462,30.126780,104.439163
0.3317252,-1.241875,4.790431,8.525627,9.857829,30.133448,104.533463
0.3329132,-1.249053,4.783252,8.518449,9.849041,30.128555,104.634872
0.3341011,-1.253839,4.776074,8.511271,9.839955,30.120668,104.709648
0.3352890,-1.256232,4.764110,8.504091,9.828246,30.086393,104.771889
0.3364770,-1.253839,4.752146,8.496913,9.815933,30.045902,104.780479
0.3376649,-1.253839,4.742575,8.489735,9.805086,30.020082,104.808998
0.3388528,-1.253839,4.733003,8.482556,9.794243,29.994230,104.837624
0.3400407,-1.253839,4.723432,8.477771,9.785475,29.961321,104.866364
0.3412286,-1.256232,4.716253,8.470592,9.776098,29.950228,104.915131
0.3424166,-1.258625,4.709075,8.461020,9.764650,29.946150,104.964027
0.3436045,-1.258625,4.704289,8.449057,9.751976,29.957695,104.978569
0.3447924,-1.258625,4.699504,8.439486,9.741375,29.962250,104.993134
0.3459803,-1.261018,4.699504,8.432307,9.735467,29.986517,105.020348
0.3471683,-1.263410,4.699504,8.422736,9.727488,30.017845,105.047562
0.3483562,-1.263410,4.697111,8.415557,9.720116,30.027222,105.054878
0.3495441,-1.263410,4.692325,8.408379,9.711589,30.024820,105.069534
0.3507320,-1.265803,4.689932,8.401200,9.704530,30.037395,105.104126
0.3519199,-1.265803,4.692325,8.396415,9.701544,30.063353,105.096779
0.3531079,-1.268196,4.692325,8.396415,9.701857,30.066544,105.124008
0.3542958,-1.268196,4.694718,8.398808,9.705085,30.071266,105.116653
0.3554837,-1.268196,4.699504,8.403593,9.711541,30.080711,105.101959
0.3566717,-1.265803,4.709075,8.408379,9.720003,30.110527,105.045517
0.3578596,-1.263410,4.718646,8.415557,9.730541,30.133265,104.989273
0.3590475,-1.261018,4.725825,8.420342,9.737851,30.151266,104.940445
0.3602355,-1.261018,4.737789,8.427522,9.749868,30.188829,104.904396
0.3614234,-1.258625,4.747360,8.434700,9.760417,30.211466,104.848701
0.3626113,-1.253839,4.754539,8.449057,9.775700,30.198065,104.773361
0.3637992,-1.253839,4.761717,8.463413,9.791600,30.190929,104.752068
0.3649871,-1.256232,4.768896,8.477771,9.807807,30.186867,104.757713
0.3661750,-1.258625,4.773681,8.492127,9.822850,30.171167,104.770416
0.3673630,-1.258625,4.778467,8.506484,9.837588,30.152443,104.756271
0.3685509,-1.261018,4.780859,8.520842,9.851474,30.125216,104.776024
0.3697388,-1.263410,4.783252,8.535198,9.865359,30.098047,104.795753
