Keuwl Accelerometer Data File
2022-11-29 11-11-27

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
55.8263130,9.446864,-9.238688,1.265803,13.273993,84.527977,315.638306
55.8274841,9.458828,-9.200403,1.265803,13.255909,84.520493,315.793488
55.8286591,9.475577,-9.162118,1.265803,13.241345,84.514450,315.963531
55.8298302,9.487542,-9.126225,1.256232,13.224204,84.548973,316.112030
55.8310051,9.511470,-9.078369,1.251446,13.207989,84.563118,316.334625
55.8321800,9.533006,-9.020942,1.253839,13.184373,84.542900,316.580872
55.8333511,9.559326,-8.970692,1.239482,13.167777,84.598755,316.819489
55.8345299,9.592826,-8.925228,1.215554,13.159011,84.699791,317.064697
55.8357010,9.626326,-8.872586,1.203590,13.146770,84.747200,317.333221
55.8368759,9.659825,-8.824730,1.191626,13.138039,84.796097,317.586761
55.8380470,9.688539,-8.784052,1.179662,13.130839,84.845657,317.803162
55.8392220,9.726824,-8.736196,1.167697,13.126147,84.896240,318.071259
55.8403969,9.767502,-8.693125,1.167697,13.127758,84.896866,318.330750
55.8415680,9.805787,-8.654840,1.167697,13.131002,84.898132,318.567535
55.8427429,9.848858,-8.609376,1.155733,13.132292,84.951042,318.841675
55.8439217,9.889536,-8.566305,1.138984,13.133232,85.024757,319.100922
55.8450928,9.930214,-8.535198,1.122234,13.142228,85.101463,319.320343
55.8462677,9.968499,-8.496913,1.103091,13.144783,85.186157,319.556519
55.8474388,10.001999,-8.446664,1.079163,13.135856,85.287613,319.819000
55.8486137,10.028319,-8.396415,1.055235,13.121757,85.387367,320.061554
55.8497887,10.061819,-8.331808,1.033699,13.104494,85.475739,320.373138
55.8509598,10.097712,-8.267202,1.009771,13.089311,85.575539,320.692108
55.8521385,10.121640,-8.212168,0.983450,13.071132,85.685081,320.945923
55.8533096,10.150353,-8.152347,0.964308,13.054513,85.763832,321.230011
55.8544846,10.171889,-8.085348,0.945165,13.028182,85.839668,321.519806
55.8556595,10.193424,-8.013563,0.923630,12.999084,85.925507,321.827332
55.8568306,10.214960,-7.941778,0.897308,12.970058,86.032936,322.136169
55.8580055,10.241281,-7.867601,0.868595,12.943625,86.152222,322.467651
55.8591766,10.267602,-7.800602,0.835095,12.921703,86.294548,322.774994
55.8603554,10.286744,-7.740781,0.792024,12.898221,86.479500,323.038513
55.8615303,10.301102,-7.666604,0.748953,12.862753,86.661980,323.341492
55.8627014,10.313066,-7.590034,0.705883,12.824438,86.844734,323.648315
55.8638763,10.325029,-7.518249,0.662812,12.789433,87.029320,323.939484
55.8650475,10.327422,-7.451250,0.622134,12.750052,87.203163,324.189484
55.8662224,10.315458,-7.396215,0.583849,12.706437,87.366386,324.359375
55.8673973,10.308280,-7.348358,0.547956,12.671198,87.521515,324.516449
55.8685684,10.301102,-7.305287,0.504886,12.638624,87.710548,324.656677
55.8697472,10.296316,-7.247860,0.454636,12.599694,87.932144,324.857239
55.8709183,10.281959,-7.190432,0.411565,12.553500,88.121223,325.033936
55.8720932,10.258031,-7.147361,0.370888,12.507978,88.300812,325.132843
55.8732681,10.250853,-7.097112,0.327817,12.472227,88.493881,325.303467
55.8744392,10.255638,-7.042077,0.291924,12.444042,88.655777,325.524384
55.8756142,10.253245,-6.996614,0.260818,12.415703,88.796295,325.691132
55.8767853,10.250853,-6.951150,0.244068,12.387818,88.871071,325.858612
55.8779640,10.246066,-6.903293,0.241675,12.357012,88.879356,326.029846
55.8791351,10.224531,-6.855437,0.239282,12.312405,88.886429,326.158569
55.8803101,10.207782,-6.824330,0.241675,12.281234,88.872437,326.235596
55.8814850,10.186246,-6.790831,0.263211,12.245173,88.768333,326.309937
55.8826561,10.155139,-6.762117,0.270389,12.203531,88.730415,326.341095
55.8838310,10.138390,-6.740582,0.267996,12.177610,88.738976,326.381775
55.8850021,10.116854,-6.721439,0.287139,12.149524,88.645760,326.400726
55.8861771,10.083355,-6.709475,0.301496,12.115362,88.574028,326.360168
55.8873558,10.045070,-6.687939,0.308674,12.071754,88.534790,326.344604
55.8885269,9.999606,-6.661618,0.325424,12.019783,88.448586,326.328918
55.8897018,9.951750,-6.644868,0.346959,11.971297,88.339188,326.268616
55.8908730,9.903893,-6.632905,0.368495,11.925531,88.229301,326.188721
55.8920479,9.848858,-6.625726,0.394816,11.876705,88.094971,326.069672
55.8932228,9.798609,-6.620940,0.418744,11.833213,87.972038,325.953033
