Keuwl Accelerometer Data File
2022-11-29 11-54-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
46.6613846,7.034899,-5.690132,1.986043,9.263464,77.619949,321.032562
46.6625595,6.955935,-5.584848,1.909472,9.122590,77.917931,321.239380
46.6637306,6.893722,-5.477171,1.849652,8.996889,78.136078,321.532318
46.6649094,6.836294,-5.369494,1.797010,8.876690,78.320236,321.852509
46.6660805,6.771688,-5.276174,1.713261,8.753801,78.713432,322.075989
46.6672554,6.716653,-5.192425,1.617548,8.642406,79.212669,322.293549
46.6684303,6.664011,-5.099105,1.543371,8.531817,79.578056,322.577850
46.6696014,6.604190,-5.010571,1.488336,8.422368,79.821686,322.812561
46.6707764,6.553941,-4.924429,1.433301,8.322169,80.082687,323.079926
46.6719475,6.522834,-4.833502,1.380659,8.235067,80.348434,323.461090
46.6731224,6.494121,-4.742575,1.339981,8.152371,80.539536,323.859802
46.6743011,6.453443,-4.670790,1.308874,8.073187,80.669678,324.104218
46.6754723,6.403193,-4.601398,1.287339,7.989430,80.727493,324.298615
46.6766472,6.376873,-4.520042,1.265803,7.918178,80.801208,324.670288
46.6778183,6.357730,-4.438686,1.246661,7.853459,80.866211,325.078949
46.6789932,6.329016,-4.369294,1.237089,7.789580,80.861977,325.380371
46.6801643,6.317052,-4.307081,1.239482,7.745476,80.791557,325.713135
46.6813393,6.300302,-4.242475,1.246661,7.697179,80.679131,326.044617
46.6825180,6.262017,-4.165904,1.256232,7.625335,80.517609,326.365540
46.6836891,6.235696,-4.089334,1.268196,7.564052,80.348152,326.743378
46.6848640,6.214160,-4.024728,1.289731,7.515160,80.118134,327.070068
46.6860352,6.190232,-3.957729,1.313660,7.463799,79.862900,327.407166
46.6872101,6.161518,-3.893122,1.335195,7.409687,79.618828,327.713470
46.6883850,6.135197,-3.842873,1.361516,7.366277,79.348724,327.938416
46.6895561,6.128019,-3.785445,1.397408,7.337232,79.020691,328.295227
46.6907310,6.116055,-3.732803,1.440479,7.308551,78.632866,328.603088
46.6919060,6.101698,-3.687340,1.488336,7.283017,78.208138,328.854858
46.6930809,6.092126,-3.634698,1.538585,7.258945,77.762932,329.178772
46.6942520,6.082555,-3.598805,1.581656,7.242272,77.385384,329.388885
46.6954269,6.082555,-3.570091,1.619941,7.236521,77.064369,329.589661
46.6966019,6.075377,-3.534199,1.665405,7.223180,76.669724,329.812347
46.6977730,6.065805,-3.503092,1.715654,7.211735,76.237518,329.992920
46.6989479,6.063413,-3.471986,1.753939,7.203885,75.908493,330.204010
46.7001190,6.058627,-3.433701,1.785046,7.189134,75.623199,330.457794
46.7012978,6.053841,-3.402594,1.820938,7.179307,75.307159,330.661591
46.7024727,6.056234,-3.385844,1.856830,7.182599,75.017860,330.791870
46.7036438,6.068198,-3.373880,1.911865,7.201480,74.604393,330.926208
46.7048187,6.087341,-3.366701,1.969293,7.229697,74.193497,331.054504
46.7059898,6.101698,-3.364309,2.007578,7.251183,73.926987,331.128876
46.7071648,6.116055,-3.347559,2.045863,7.266212,73.646759,331.306366
46.7083397,6.135197,-3.316452,2.084148,7.278954,73.361916,331.606049
46.7095146,6.156733,-3.302095,2.112862,7.298862,73.173271,331.793610
46.7106895,6.171090,-3.304488,2.143969,7.321106,72.971481,331.831879
46.7118607,6.192625,-3.302095,2.172683,7.346631,72.798164,331.932098
46.7130356,6.206982,-3.302095,2.203790,7.367981,72.596230,331.987152
46.7142067,6.218946,-3.290131,2.220539,7.377740,72.483627,332.118927
46.7153816,6.245267,-3.278167,2.227718,7.396787,72.471886,332.304840
46.7165565,6.276374,-3.280560,2.258825,7.433521,72.309799,332.404663
46.7177277,6.290731,-3.268596,2.287539,7.449151,72.116226,332.544098
