Keuwl Accelerometer Data File
2022-11-29 12-09-52

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
225.4580383,6.209375,-5.371887,1.150948,8.290850,82.020348,319.136078
225.4591980,6.285945,-5.388637,1.158126,8.360129,82.037224,319.395111
225.4603882,6.362515,-5.407779,1.170090,8.431772,82.023232,319.637329
225.4615631,6.448657,-5.441278,1.177269,8.519311,82.056976,319.842834
225.4627228,6.525228,-5.484350,1.191626,8.606780,82.041718,319.953491
225.4638977,6.604190,-5.529813,1.210768,8.698283,81.998665,320.059937
225.4650879,6.695118,-5.575277,1.225125,8.798252,81.995758,320.214569
225.4662476,6.786045,-5.625526,1.229911,8.899979,82.056732,320.341797
225.4674225,6.886544,-5.680561,1.244268,9.013404,82.065186,320.481506
225.4685974,6.977471,-5.735596,1.263410,9.120217,82.037292,320.579224
225.4697723,7.058827,-5.785845,1.272982,9.215396,82.059975,320.659851
225.4709473,7.140183,-5.824131,1.275374,9.302112,82.119591,320.796448
225.4721069,7.211967,-5.857630,1.280160,9.378864,82.154976,320.916168
225.4732971,7.290931,-5.900701,1.287339,9.467480,82.185005,321.016052
225.4744720,7.384251,-5.960521,1.292124,9.577293,82.246269,321.089752
225.4756317,7.467999,-6.025127,1.299303,9.683045,82.288605,321.103668
225.4768219,7.534998,-6.080163,1.301695,9.769288,82.342934,321.099152
225.4779968,7.604390,-6.142376,1.306481,9.862171,82.387421,321.070770
225.4791565,7.668997,-6.209375,1.311267,9.954359,82.430550,321.003876
225.4803314,7.731210,-6.273981,1.316052,10.043228,82.470375,320.940216
225.4815216,7.802995,-6.329016,1.311267,10.132255,82.564201,320.954468
225.4826813,7.886744,-6.372087,1.308874,10.223373,82.644371,321.063568
225.4838562,7.953743,-6.407979,1.308874,10.297444,82.697571,321.143127
225.4850159,8.006385,-6.439086,1.294517,10.355665,82.818916,321.192230
225.4862061,8.068598,-6.484550,1.294517,10.432038,82.871765,321.211945
225.4873810,8.142776,-6.527620,1.301695,10.517083,82.890289,321.282745
225.4885406,8.216953,-6.563512,1.299303,10.596518,82.956894,321.382935
225.4897308,8.293523,-6.604190,1.294517,10.680526,83.038437,321.469452
225.4909058,8.370093,-6.652047,1.287339,10.768725,83.134201,321.524445
225.4920654,8.439486,-6.687939,1.287339,10.844846,83.182625,321.604645
225.4932404,8.506484,-6.721439,1.308874,10.920218,83.116096,321.685791
225.4944305,8.568698,-6.754938,1.330409,10.991896,83.048134,321.750336
225.4955902,8.640483,-6.798009,1.359123,11.077819,82.952698,321.805664
225.4967651,8.712267,-6.857830,1.383052,11.173462,82.889687,321.792084
225.4979401,8.781659,-6.912865,1.397408,11.263125,82.872986,321.790405
225.4991150,8.865408,-6.960721,1.426122,11.361379,82.789001,321.862579
225.5002899,8.944371,-7.006185,1.450050,11.453866,82.726883,321.928162
225.5014496,9.013762,-7.058827,1.454836,11.540862,82.758049,321.934906
225.5026398,9.097511,-7.121040,1.459622,11.644931,82.799377,321.948090
225.5038147,9.183653,-7.171289,1.469193,11.744164,82.813477,322.014587
