Keuwl Accelerometer Data File
2022-12-12 11-10-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
54.8453712,-1.866402,-5.477171,-2.337788,6.240842,111.999283,251.182938
54.8465614,-1.864009,-5.484350,-2.304288,6.233969,111.693062,251.228241
54.8477440,-1.861616,-5.493921,-2.275574,6.231133,111.419540,251.281036
54.8489342,-1.854438,-5.496314,-2.249253,6.221539,111.193993,251.355774
54.8501205,-1.847259,-5.486742,-2.215754,6.198893,110.943275,251.392807
54.8513069,-1.835295,-5.484350,-2.182254,6.181313,110.673401,251.497589
54.8524971,-1.818545,-5.474778,-2.153540,6.157763,110.470665,251.625168
54.8536797,-1.804188,-5.467600,-2.127219,6.137980,110.277458,251.738235
54.8548660,-1.787439,-5.460421,-2.100898,6.117590,110.085335,251.874435
54.8560562,-1.768296,-5.455636,-2.079363,6.100376,109.929169,252.041306
54.8572426,-1.734796,-5.446064,-2.067399,6.078098,109.885353,252.331177
54.8584251,-1.698904,-5.436493,-2.045863,6.052048,109.757797,252.645981
54.8596153,-1.667797,-5.426922,-2.021935,6.026711,109.602676,252.916794
54.8608017,-1.636691,-5.417350,-2.002793,6.003134,109.488914,253.189377
54.8619919,-1.593620,-5.407779,-1.986043,5.977296,109.406273,253.580261
54.8631783,-1.555335,-5.388637,-1.962115,5.941916,109.281876,253.900146
54.8643608,-1.505085,-5.367101,-1.938186,5.901493,109.173088,254.335022
54.8655510,-1.442872,-5.355137,-1.923829,5.870306,109.130577,254.920502
54.8667374,-1.390230,-5.338387,-1.909472,5.837568,109.092896,255.403168
54.8679237,-1.328017,-5.326423,-1.890330,5.805838,109.001396,256.000092
54.8691101,-1.253839,-5.328816,-1.871187,5.785303,108.870972,256.759491
54.8702965,-1.189233,-5.326423,-1.861616,5.766339,108.834877,257.413971
54.8714867,-1.112663,-5.319245,-1.866402,5.745941,108.954720,258.185394
54.8726730,-1.012164,-5.324030,-1.873580,5.734115,109.071190,259.235809
54.8738594,-0.899701,-5.340780,-1.873580,5.730942,109.082153,260.437805
54.8750458,-0.784846,-5.347959,-1.859223,5.716061,108.981514,261.651093
54.8762321,-0.662812,-5.357530,-1.844866,5.704908,108.867592,262.947449
54.8774185,-0.545564,-5.374279,-1.842473,5.707471,108.833420,264.203552
54.8786087,-0.421137,-5.395815,-1.835295,5.714935,108.731888,265.537170
54.8797913,-0.284746,-5.429315,-1.825724,5.735137,108.562569,266.997803
54.8809776,-0.157926,-5.455636,-1.828117,5.755946,108.518143,268.341888
54.8821678,-0.043071,-5.474778,-1.837688,5.775132,108.554527,269.549255
54.8833542,0.074178,-5.498706,-1.844866,5.800414,108.545502,270.772858
54.8845444,0.191426,-5.529813,-1.856830,5.836377,108.550949,271.982605
54.8857269,0.289532,-5.546563,-1.880759,5.863910,108.707359,272.988129
54.8869133,0.366102,-5.546563,-1.904687,5.875902,108.914223,273.776337
54.8881035,0.430708,-5.551349,-1.928615,5.892583,109.104698,274.436462
54.8892899,0.497707,-5.563313,-1.942972,5.913823,109.180641,275.112213
54.8904724,0.562313,-5.570491,-1.952543,5.929502,109.225868,275.764191
54.8916626,0.626920,-5.582455,-1.971686,5.953518,109.340408,276.407562
54.8928490,0.693919,-5.594419,-1.990828,5.978499,109.450844,277.070709
