Keuwl Accelerometer Data File
2022-11-29 11-11-24

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
54.5764847,6.453443,-5.800202,1.892723,8.880972,77.694679,318.051544
54.5776711,6.489335,-5.785845,1.895115,8.898255,77.703186,318.280029
54.5788536,6.527620,-5.790631,1.887937,8.927796,77.791649,318.423859
54.5800438,6.565906,-5.788238,1.878366,8.952267,77.888191,318.601898
54.5812302,6.599405,-5.788238,1.859223,8.972879,78.041405,318.746490
54.5824165,6.630512,-5.795416,1.844866,8.997448,78.167969,318.844818
54.5836067,6.661618,-5.800202,1.837688,9.022006,78.247208,318.954254
54.5847931,6.707082,-5.814559,1.837688,9.064830,78.303513,319.077057
54.5859833,6.759724,-5.831309,1.837688,9.114555,78.368217,319.217133
54.5871696,6.809973,-5.843273,1.837688,9.159513,78.426102,319.368866
54.5883560,6.850651,-5.857630,1.844866,9.200369,78.432579,319.467987
54.5895462,6.888937,-5.871987,1.844866,9.238030,78.480385,319.556427
54.5907326,6.924829,-5.883951,1.842473,9.271938,78.538170,319.645813
54.5919189,6.963114,-5.907879,1.847259,9.316670,78.563919,319.686951
54.5931091,7.006185,-5.936593,1.844866,9.366605,78.640633,319.724182
54.5942955,7.034899,-5.965307,1.856830,9.408640,78.617744,319.703430
54.5954819,7.056434,-5.984449,1.875973,9.440665,78.538353,319.699249
54.5966682,7.080362,-5.991628,1.890330,9.465964,78.480728,319.761047
54.5978546,7.099505,-6.005985,1.909472,9.493203,78.396309,319.769714
54.5990448,7.111469,-6.020342,1.921437,9.513644,78.348030,319.749817
54.6002312,7.109076,-6.020342,1.926222,9.512824,78.317574,319.740295
54.6014175,7.125826,-6.017949,1.933401,9.525290,78.288986,319.818024
54.6026077,7.147361,-6.022735,1.950150,9.547837,78.214371,319.880798
54.6037941,7.164111,-6.037092,1.971686,9.573845,78.115173,319.879639
54.6049843,7.188039,-6.051448,1.993221,9.605252,78.023315,319.906738
54.6061707,7.207182,-6.058627,2.012364,9.628086,77.935669,319.948334
54.6073570,7.216753,-6.056234,2.043471,9.640294,77.762070,319.996918
54.6085472,7.233503,-6.065805,2.076970,9.665990,77.591866,320.017792
54.6097336,7.257431,-6.077769,2.110470,9.698642,77.431618,320.055359
54.6109238,7.269395,-6.082555,2.151148,9.719518,77.213280,320.079620
54.6121063,7.276574,-6.092126,2.189433,9.739412,77.008804,320.063110
54.6132927,7.276574,-6.096912,2.230111,9.751629,76.779976,320.040955
54.6144829,7.288538,-6.101698,2.270789,9.772921,76.564232,320.065155
54.6156693,7.307680,-6.108876,2.301895,9.798943,76.413528,320.105957
54.6168556,7.307680,-6.106483,2.340181,9.806517,76.193993,320.117004
54.6180458,7.302895,-6.104091,2.385644,9.812415,75.928940,320.109589
54.6192322,7.293324,-6.099305,2.426322,9.812295,75.683762,320.094727
54.6204224,7.290931,-6.087341,2.462214,9.812028,75.466949,320.140839
54.6216087,7.283752,-6.080163,2.512464,9.814983,75.168190,320.146332
