Keuwl Accelerometer Data File
2022-11-28 17-05-31

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.141000,3.624000,8.169001,8.937887,23.939495,87.771904
0.0200972,0.295050,3.862950,6.912000,7.923710,29.270794,85.632263
0.0401941,0.513000,3.700050,6.649050,7.626494,29.327326,82.106445
0.0602911,0.292050,3.703050,7.132051,8.041394,27.511620,85.490562
0.0803880,-0.900000,3.930000,7.201951,8.253666,29.240620,102.898750
0.1004850,-2.032050,4.153050,7.558950,8.860857,31.452597,116.072083
0.1205820,-1.230000,5.092050,8.299050,9.814077,32.260811,103.579834
0.1406791,1.747950,5.614050,9.166051,10.889875,32.679508,72.705879
0.1607760,4.543050,3.880050,8.526000,10.410896,35.020214,40.499409
0.1808730,3.966000,3.106950,7.317000,8.883738,34.549164,38.075020
0.2009699,1.483050,3.444000,7.777050,8.633834,25.741272,66.702393
0.2210669,-0.315000,4.426050,9.424050,10.416423,25.213055,94.070854
0.2411639,-0.267000,5.485050,9.685050,11.133610,29.553783,92.786835
0.2612608,0.067050,5.791050,8.143050,9.992498,35.420914,89.336647
0.2813578,0.697050,5.740950,5.770050,8.169325,45.064785,83.077194
0.3014550,1.162050,7.141950,5.535000,9.110106,52.586212,80.758522
0.3215519,2.317950,6.802050,5.722050,9.186002,51.471066,71.182312
0.3416488,3.700050,5.908950,6.361050,9.437638,47.622784,57.946140
0.3617457,4.633950,5.551950,8.100000,10.858529,41.758598,50.149845
0.3818427,6.064050,4.957950,10.054050,12.745112,37.921326,39.269337
0.4019396,7.329000,4.453050,10.344001,13.436602,39.660698,31.282578
0.4220365,8.653050,4.491000,8.578951,12.986253,48.652985,27.429663
0.4421337,9.202050,4.026000,5.595000,11.497410,60.880589,23.629917
0.4622307,7.228050,2.995950,2.593950,8.243118,71.658463,22.513489
0.4823276,3.949050,0.955950,2.128950,4.587076,62.346767,13.607870
0.5024244,4.416000,5.017950,4.942950,8.313461,53.517879,48.650909
0.5225214,8.140950,1.020000,7.602000,11.185074,47.183250,7.141518
0.5426183,7.996950,0.115050,6.334950,10.202746,51.617645,0.824242
0.5627152,6.622050,1.219050,3.571050,7.621682,62.060539,10.430769
0.5828122,4.882950,0.052950,2.899950,5.679412,59.295700,0.621283
0.6029093,3.292950,0.573000,4.917000,5.945481,34.206711,9.871094
0.6230062,5.845950,0.325950,4.368000,7.304848,53.276131,3.191311
0.6431031,7.270950,0.217950,2.383050,7.654616,71.861084,1.716953
0.6632000,5.551950,0.010050,2.746950,6.194352,63.675117,0.103715
0.6832970,5.434050,0.441000,3.504000,6.480848,57.270741,4.639668
0.7033939,7.741050,0.517950,2.893050,8.280210,69.549782,3.827928
0.7234908,10.513950,0.694950,2.344950,10.794670,77.453484,3.781630
0.7435877,10.669950,0.241950,3.958950,11.383307,69.648071,1.299007
0.7636849,7.161000,0.144000,6.699000,9.807001,46.914932,1.152001
0.7837818,5.691000,1.392000,8.470950,10.299619,34.668915,13.744501
0.8038788,7.563000,1.915950,7.882051,11.090381,44.707245,14.215783
0.8239757,7.185000,1.957050,6.747000,10.048696,47.822433,15.236595
0.8440726,6.646050,-0.655050,5.659050,8.753510,49.722569,354.370972
0.8641695,9.367050,-0.504000,6.016050,11.143990,57.326771,356.920135
0.8842666,11.721001,3.126000,6.615000,13.817089,61.395878,14.933243
0.9043635,11.197050,3.880050,6.213000,13.380213,62.332329,19.112446
0.9244604,7.956000,3.649950,7.252050,11.367159,50.358444,24.644094
0.9445574,6.085950,5.275950,8.967000,12.053279,41.931271,40.922234
0.9646545,7.587000,3.202050,10.186050,13.098523,38.954201,22.881899
0.9847514,11.613001,0.907950,7.995000,14.128205,55.535931,4.470515
1.0048484,12.651001,1.525950,7.755001,14.916983,58.675976,6.877729
1.0249453,15.429001,0.810000,9.429001,18.100172,58.605053,3.005186
1.0450424,18.442051,0.478950,11.179951,21.571508,58.783459,1.487668
1.0651393,19.021051,0.654000,9.697050,21.360264,63.000923,1.969223
1.0852362,17.745001,0.349950,7.567950,19.294594,66.906570,1.129786
1.1053331,16.249950,0.043050,7.068000,17.720592,66.493195,0.151790
1.1254301,15.004951,-0.519000,7.093950,16.605482,64.709663,358.019012
1.1455269,12.604951,-1.338000,5.737950,13.913989,65.645119,353.940826
1.1656239,8.754001,-1.423950,3.628050,9.582427,67.752083,350.761017
1.1857210,7.012950,-0.874950,3.001050,7.678106,66.992096,352.888397
1.2058179,7.518000,-1.098000,2.701950,8.063899,70.423363,351.690735
1.2259148,8.529000,-1.135950,2.227050,8.887856,75.488625,352.413605
1.2460117,8.020950,-0.705000,1.909050,8.275092,76.661812,354.976898
1.2661086,7.053000,-0.528000,1.023000,7.146337,81.769821,355.718719
1.2862056,6.337050,-0.745950,0.187050,6.383544,88.320885,353.286469
1.3063027,6.046950,-0.829950,-0.090000,6.104304,90.844780,352.184937
1.3263996,6.637050,-1.444950,-0.391950,6.803818,93.302490,347.717804
1.3464965,6.622050,-2.125950,-0.451950,6.969611,93.718002,342.201233
1.3665934,5.530050,-2.514000,-0.373050,6.086117,93.514160,335.553131
1.3866903,4.309050,-3.163050,-0.733950,5.395506,97.818176,323.719543
1.4067873,3.577950,-3.832950,-1.045950,5.346704,101.281250,313.029297
1.4268843,3.549000,-4.272000,-0.792000,5.610049,98.115860,309.718384
1.4469813,4.099950,-4.366950,-0.502050,6.010982,94.791046,313.193787
1.4670782,5.227950,-4.747950,-0.319950,7.069431,92.593994,317.754730
1.4871751,6.169950,-5.305950,-0.325050,8.144142,92.287407,319.305573
1.5072721,6.820951,-5.950050,-0.238950,9.054588,91.512207,318.901154
1.5273690,7.492050,-6.367050,0.474000,9.843517,87.239937,319.640747
1.5474658,8.956950,-6.540000,1.200000,11.155204,83.824562,323.864594
1.5675627,11.190001,-7.339951,0.522000,13.392665,87.766243,326.737610
1.5876597,12.490050,-8.154000,-1.126950,14.958579,94.320648,326.861908
1.6077567,11.910001,-7.735050,-1.359000,14.266253,95.466270,326.997955
1.6278536,12.651001,-6.429000,0.714000,14.208788,87.119637,333.061188
1.6479505,15.381001,-5.020950,2.143050,16.321083,82.454956,341.921326
1.6680474,17.065050,-3.927000,1.972950,17.621855,83.571663,347.040741
1.6881443,15.678000,-3.424050,1.945050,16.164993,83.089149,347.680145
1.7082412,13.266001,-3.748950,2.815950,14.070216,78.455116,344.219788
1.7283381,11.779051,-4.015050,3.319050,12.879548,75.066414,341.177612
1.7484351,11.041051,-3.381000,2.757000,11.871690,76.571419,342.974304
1.7685320,10.786950,-2.386950,1.494000,11.148446,82.298637,347.522583
1.7886289,10.804050,-1.326000,0.378000,10.891679,88.011131,353.002991
1.8087260,10.809001,-0.388950,0.040950,10.816074,89.783073,357.939178
1.8288231,10.021050,-0.130950,0.295050,10.026248,88.313667,359.251343
1.8489200,8.887951,0.055050,0.915000,8.935096,84.122314,0.354873
1.8690169,7.899000,0.072000,1.341000,8.012345,80.365250,0.522241
1.8891139,7.659000,-0.067950,1.351050,7.777547,79.996307,359.491699
1.9092108,8.131050,-0.133050,1.468050,8.263586,79.766922,359.062531
1.9293077,8.598001,-0.298050,1.945050,8.820298,77.260437,358.014648
1.9494046,8.524051,-0.744000,2.191050,8.832535,75.636909,355.011719
1.9695016,8.490001,-0.885000,2.206050,8.816462,75.509506,354.048950
1.9895986,9.573001,-0.907050,2.328000,9.893668,76.390572,354.587341
2.0096955,10.344001,-0.973950,2.479050,10.681415,76.579849,354.621124
2.0297925,10.183950,-1.249050,2.802000,10.635985,74.725410,353.007660
2.0498893,9.565950,-1.684950,2.947950,10.150708,73.117004,350.010376
2.0699863,9.681001,-2.449050,2.898000,10.397982,73.816895,345.803436
2.0900831,10.761001,-3.474000,2.605950,11.604257,77.022499,342.108246
2.1101801,11.842951,-4.305000,2.553000,12.857150,78.546852,340.023407
2.1302772,11.851050,-4.294950,2.902950,12.935266,77.031143,340.078918
2.1503739,11.520000,-4.375050,3.124950,12.712859,75.770279,339.204285
2.1704710,12.210001,-5.299050,2.938950,13.630901,77.548721,336.539520
2.1905680,14.485051,-6.349950,3.006000,16.098902,79.238525,336.328339
2.2106647,16.063051,-6.468000,3.430050,17.652815,78.795807,338.067169
2.2307618,16.171051,-5.385000,3.850950,17.473721,77.268341,341.582123
2.2508588,15.853051,-5.227050,3.657000,17.088446,77.642883,341.751648
2.2709556,14.314951,-6.228000,2.953050,15.887930,79.288284,336.487610
2.2910526,12.274051,-7.095000,2.457000,14.388475,80.167892,329.970001
2.3111494,10.981050,-6.874950,2.056950,13.117907,80.978516,327.950378
2.3312464,10.738951,-5.977050,1.224000,12.351048,84.312599,330.900696
2.3513432,11.035951,-5.160000,0.505050,12.193150,87.626083,334.940948
2.3714402,10.657950,-4.798050,-0.054000,11.688290,90.264709,335.763428
2.3915372,9.616051,-4.674000,-0.181050,10.693338,90.970123,334.077362
2.4116340,8.253000,-4.446000,0.055050,9.374537,89.663544,331.688080
2.4317310,7.257000,-4.305000,0.346950,8.444966,87.645416,329.322723
2.4518275,6.486001,-4.365000,0.534000,7.836236,86.092552,326.059937
2.4719248,5.806050,-4.573050,0.385950,7.400808,87.010689,321.774780
2.4920218,4.993950,-4.783950,0.511950,6.934538,85.766220,316.230347
2.5121183,4.107000,-4.648050,0.649050,6.236433,84.026184,311.463684
2.5322156,3.505950,-4.288050,0.666000,5.578765,83.143608,309.269745
2.5523126,3.291000,-3.994050,0.582000,5.207864,83.583557,309.487701
2.5724092,3.274050,-3.844950,0.085950,5.050786,89.024940,310.415039
2.5925064,3.235950,-3.879000,-0.354000,5.063925,94.008606,309.835632
2.6126029,3.276000,-3.975000,-0.421050,5.168180,94.673050,309.493683
2.6327000,3.621000,-4.546950,-0.514050,5.835293,95.053925,308.532349
2.6527972,4.275000,-5.686950,-0.595050,7.139406,94.780991,306.932953
2.6728938,5.026950,-6.786000,-0.583050,8.465221,93.949425,306.530396
2.6929910,6.079050,-7.528950,-0.385050,9.684431,92.278664,308.918213
2.7130876,7.867950,-8.626050,0.012000,11.675338,89.941109,312.368408
2.7331846,9.391050,-10.057950,0.409950,13.766708,88.293571,313.036102
2.7532814,10.018050,-10.087050,1.372050,14.282593,84.487411,314.803375
2.7733784,10.768050,-9.090000,1.638000,14.186686,83.369820,319.830139
2.7934752,11.913000,-7.621950,1.276950,14.200151,84.840706,327.388855
2.8135722,12.925951,-6.079950,0.520050,14.293931,87.914970,334.809235
2.8336689,13.699950,-5.047950,-0.322050,14.603909,91.263611,339.772919
