Keuwl Accelerometer Data File
2022-11-29 11-55-21

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.159000,2.503050,10.200001,10.503836,13.814489,93.634689
0.0200978,-1.534050,2.343000,11.167951,11.513735,14.077487,123.214272
0.0401954,-1.957950,2.010000,12.363001,12.677440,12.787683,134.248459
0.0602929,-3.109950,2.091000,11.689951,12.275953,17.774717,146.084763
0.0803907,-2.442000,3.331950,10.417951,11.207094,21.629732,126.237846
0.1004883,-0.576000,3.400950,7.867950,8.590860,23.673086,99.612648
0.1205858,0.249000,3.562050,6.718050,7.608048,27.991295,86.001328
0.1406834,0.948000,3.487050,8.428050,9.170074,23.207750,74.790977
0.1607812,1.044000,3.427050,10.255051,10.862811,19.256559,73.057419
0.1808787,0.508050,2.725950,9.826950,10.210674,15.757577,79.442604
0.2009763,-0.121050,3.324000,9.316951,9.892886,19.646841,92.085617
0.2210741,0.262950,3.574050,8.289001,9.030532,23.381012,85.792213
0.2411716,1.768050,3.210000,7.233000,8.108415,26.869743,61.154274
0.2612692,2.917050,2.758950,6.952950,8.028979,30.004988,43.404491
0.2813667,2.653950,3.468000,7.426950,8.615687,30.455120,52.574322
0.3014645,1.851000,3.619050,7.599000,8.617919,28.143690,62.912064
0.3215621,1.102050,3.016050,7.686000,8.329806,22.674374,69.927940
0.3416597,-0.361050,3.667050,8.476050,9.242351,23.495966,95.623100
0.3617574,-0.847050,3.958950,7.887001,8.865414,27.172325,102.076813
0.3818550,0.280050,4.848000,7.966050,9.329495,31.366365,86.693924
0.4019525,1.140000,5.422950,9.181951,10.724561,31.111765,78.128273
0.4220501,1.441950,4.117050,9.529950,10.480900,24.595566,70.697777
0.4421477,0.778050,4.114950,9.502951,10.384809,23.782637,79.292984
0.4622455,0.429000,4.776000,9.316951,10.478539,27.233883,84.867233
0.4823430,1.813050,5.188050,9.544050,11.013261,29.934525,70.737190
0.5024406,2.761050,5.058000,9.372001,11.001871,31.585976,61.370853
0.5225384,4.081050,4.534050,7.911000,9.989820,37.636002,48.009960
0.5426359,3.676050,3.873000,5.626050,7.756669,43.504707,46.494469
0.5627335,1.879950,3.528000,4.960050,6.370486,38.867573,61.948380
0.5828311,3.003000,3.616950,6.574050,8.081985,35.568539,50.298592
0.6029289,3.949050,4.170000,7.447950,9.405098,37.636044,46.558849
0.6230264,3.667050,3.753000,7.863000,9.452991,33.715889,45.663654
0.6431240,2.680050,2.869050,7.693050,8.636964,27.037098,46.950714
0.6632215,1.854000,3.370050,6.984000,7.973131,28.843344,61.183041
0.6833193,1.957050,3.267000,6.646050,7.659851,29.813599,59.076881
0.7034169,2.709000,2.187000,6.076050,7.002859,29.812988,38.914249
0.7235145,2.269950,1.008000,5.167950,5.733799,25.668732,23.944218
0.7436120,2.520000,1.504050,5.335950,6.089740,28.810345,30.830662
0.7637098,4.074000,5.098950,5.419950,8.483668,50.292484,51.375565
0.7838073,4.588950,3.985950,5.005950,7.874376,50.526108,40.977497
0.8039050,2.905050,0.582000,5.080050,5.880898,30.251505,11.328706
0.8240027,1.564050,0.850050,4.198050,4.559875,22.978670,28.523764
0.8441002,1.497000,0.783000,3.127950,3.555021,28.373508,27.611641
0.8641978,0.352050,-0.268950,2.802000,2.836808,8.984741,322.621826
0.8842954,3.196950,-1.315950,2.776050,4.433810,51.236336,337.626617
