Keuwl Accelerometer Data File
2022-11-29 11-22-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.747050,5.539950,8.478001,10.277146,34.417873,107.502922
0.0200966,-1.897950,5.584950,6.960001,9.123348,40.281433,108.769455
0.0401932,-1.636950,5.535000,7.314000,9.317211,38.279430,106.475334
0.0602895,-2.052000,5.583000,8.347051,10.249578,35.473896,110.180618
0.0803861,-2.467950,5.578050,8.197950,10.218210,36.650822,113.866493
0.1004827,-1.675950,5.581050,7.702050,9.658080,37.110615,106.714638
0.1205791,-0.777000,5.770050,7.159050,9.227633,39.119892,97.669365
0.1406757,-0.628950,5.599950,6.865950,8.882359,39.377094,96.408234
0.1607722,-1.491000,5.233050,7.003050,8.868518,37.846920,105.903305
0.1808689,-2.257050,5.272050,7.899000,9.761301,35.980606,113.176552
0.2009652,-1.632000,5.190000,8.287050,9.913361,33.285358,107.455803
0.2210618,-0.502050,5.005950,8.052000,9.494540,31.998028,95.727081
0.2411584,-0.001050,4.788000,7.645051,9.020629,32.058407,90.012566
0.2612550,0.204000,4.576950,7.623000,8.893830,31.006258,87.447952
0.2813514,0.153000,4.419000,8.257951,9.367215,28.166437,88.017029
0.3014480,-0.100050,4.303950,8.715000,9.720351,26.288864,91.331665
0.3215445,-0.303000,3.862950,9.096001,9.886931,23.073566,94.484955
0.3416409,-0.873000,3.691050,8.862000,9.639555,23.170639,103.306946
0.3617375,-0.964050,4.326000,8.644051,9.714076,27.145855,102.563087
0.3818342,-0.139950,4.615050,8.859000,9.990004,27.527828,91.736946
0.4019307,1.012950,3.909000,8.136001,9.082998,26.396418,75.472336
0.4220271,0.822000,4.393050,7.924951,9.098320,29.420921,79.401726
0.4421238,0.139050,5.659950,7.768950,9.613062,36.082863,88.592674
0.4622203,-0.487950,5.746050,7.120050,9.162439,39.004990,94.853867
0.4823169,-0.219000,5.596950,7.801050,9.603655,35.678726,92.240753
0.5024136,1.923000,4.455000,8.179050,9.510091,30.679018,66.652565
0.5225099,1.570950,4.684950,7.506001,8.986472,33.357548,71.462753
0.5426066,-1.447950,5.602050,7.116000,9.171532,39.115192,104.491959
0.5627031,1.068000,3.520950,6.487950,7.458633,29.557882,73.126022
0.5827998,3.276000,3.384000,6.337050,7.895685,36.621216,45.929039
0.6028962,3.553950,3.343950,6.804000,8.372992,35.647995,43.256226
0.6229928,2.718000,2.092950,5.370000,6.372195,32.571129,37.597462
0.6430894,2.587050,2.038050,4.729950,5.763585,34.848957,38.230656
0.6631859,7.153950,4.869000,7.068000,11.173307,50.759338,34.239323
0.6832826,8.605050,2.857050,9.024000,12.792272,45.136036,18.367207
0.7033789,5.281050,1.849050,8.350950,10.052206,33.823322,19.296642
0.7234755,5.590050,2.584050,8.332050,10.360938,36.468945,24.809158
0.7435721,6.711000,3.030000,8.545051,11.279907,40.751652,24.299059
0.7636687,6.742050,2.824050,9.211050,11.758994,38.434479,22.727404
0.7837652,6.603000,2.467050,8.371051,10.943511,40.098984,20.486977
0.8038616,5.812950,3.303000,7.561050,10.093051,41.484554,29.605850
0.8239582,6.517050,3.883050,6.547950,10.021261,49.201122,30.787729
0.8440548,7.870050,3.360000,5.916000,10.403190,55.342346,23.119333
0.8641514,8.196000,3.408000,6.273000,10.869196,54.750671,22.578157
0.8842480,7.575000,2.260950,7.495950,10.894117,46.522221,16.619062
0.9043444,7.045950,1.381950,8.397000,11.048295,40.533440,11.096786
0.9244410,6.457050,2.187000,8.929050,11.234074,37.361877,18.711218
0.9445376,6.438000,2.926950,8.835000,11.316895,38.676102,24.448280
0.9646341,6.265050,1.951950,8.422951,10.677409,37.921162,17.305037
0.9847307,5.896950,2.376000,7.744950,10.020163,39.381672,21.945499
1.0048271,6.454950,3.039000,7.498950,10.350660,43.573559,25.211124
1.0249238,7.779000,0.858000,7.804950,11.052885,45.077801,6.294109
1.0450202,7.429050,-1.002000,8.545051,11.367176,41.259514,352.318542
1.0651169,5.092050,1.096950,8.743951,10.177865,30.782700,12.157101
1.0852135,3.157050,3.720000,7.936950,9.316681,31.580252,49.679756
1.1053100,2.268000,2.689950,5.743050,6.735153,31.493673,49.864479
1.1254065,4.978950,-0.243000,4.927050,7.008910,45.334259,357.205872
1.1455032,5.074950,0.304050,6.799050,8.489679,36.787628,3.428602
1.1655997,4.669950,1.000950,8.179050,9.471389,30.282063,12.097650
1.1856962,5.476950,1.624050,8.280001,10.059470,34.603161,16.516382
1.2057929,6.919050,1.923000,10.417951,12.653256,34.579296,15.532119
1.2258892,8.602950,2.283000,13.030951,15.780638,34.334824,14.862253
1.2459859,9.829050,2.176950,12.543000,16.083414,38.751163,12.488344
1.2660825,9.919950,1.789050,11.233050,15.092632,41.903240,10.223324
1.2861792,9.858001,1.176000,11.386050,15.106465,41.086319,6.802892
1.3062757,11.367001,0.223050,12.964050,17.243116,41.250057,1.124147
1.3263723,13.144051,-1.170000,13.417050,18.818932,44.524151,354.913300
1.3464688,14.332050,-2.241000,12.088051,18.882551,50.195469,351.113037
1.3665653,16.849051,-2.641050,10.753950,20.162170,57.766384,351.091492
1.3866619,18.633001,-3.069000,8.938050,20.892492,64.671242,350.646912
1.4067585,18.229052,-2.844000,7.858050,20.053320,66.929848,351.132507
1.4268550,16.144951,-3.250950,6.165000,17.585089,69.477135,348.615143
1.4469516,14.121000,-2.712000,5.068050,15.246073,70.584473,349.128479
1.4670483,12.943050,-2.503950,3.861000,13.736798,73.675934,349.050873
1.4871449,11.427001,-2.202000,2.989050,12.014973,75.594841,349.092712
1.5072412,9.481951,-1.936050,2.644050,10.032282,74.718941,348.459808
1.5273378,7.882051,-1.716000,2.601000,8.475646,72.128738,347.717804
1.5474344,6.699000,-1.287000,1.654950,7.019390,76.363083,349.124939
1.5675311,6.838050,-1.081050,0.378000,6.933289,86.874710,351.016266
1.5876276,6.901950,-0.352950,-0.025050,6.911014,90.207680,357.072571
1.6077242,7.306951,-0.379950,0.709050,7.351098,84.464928,357.023376
1.6278208,6.904950,-0.142950,1.353000,7.037711,78.915878,358.813995
1.6479173,5.985000,0.264000,0.865050,6.052952,81.783516,2.525695
1.6680139,5.992050,0.465000,-0.049050,6.010266,90.467598,4.437421
1.6881105,6.055050,0.750000,-0.214950,6.105108,92.017700,7.060895
1.7082070,6.105000,0.894000,-0.210000,6.173684,91.949310,8.331029
1.7283037,5.494050,0.807000,-0.198000,5.556531,92.042099,8.356204
1.7484003,5.032050,0.714000,0.520050,5.108990,84.157677,8.075817
1.7684969,5.331000,0.345000,1.141950,5.462842,77.933922,3.702780
1.7885936,5.326950,1.171050,2.032950,5.820708,69.557838,12.398400
1.8086900,6.232050,0.879000,2.311050,6.704628,69.836838,8.028330
1.8287865,6.076050,0.757050,1.842000,6.394097,73.257065,7.102210
1.8488832,4.833000,1.027950,1.257000,5.098492,75.726929,12.007533
1.8689798,5.106000,0.553050,0.559950,5.166299,83.777763,6.181821
1.8890765,6.442950,0.565050,0.867000,6.525533,82.364952,5.012045
1.9091729,7.306951,0.630000,0.940950,7.394174,82.688965,4.927814
1.9292696,7.852951,0.610950,1.324050,7.987190,80.457932,4.448582
1.9493662,8.232000,0.427050,1.506000,8.379513,79.646317,2.969661
1.9694626,9.132000,0.609000,1.621050,9.294735,79.955956,3.815324
1.9895593,11.094001,1.138050,1.642950,11.272591,81.619438,5.857055
2.0096560,12.567000,1.471050,2.086050,12.823615,80.637947,6.676465
2.0297525,13.009951,1.720050,2.536050,13.365962,79.062424,7.531415
2.0498490,12.064051,2.010000,1.641000,12.339948,82.358009,9.459203
2.0699456,10.761001,2.284950,0.045000,11.001007,89.765633,11.987919
2.0900424,10.798950,2.637000,-0.877950,11.150869,94.515785,13.722533
2.1101389,10.984051,2.953050,-0.949950,11.413688,94.774193,15.048087
2.1302354,10.152000,3.190050,-0.586050,10.657532,93.152245,17.444216
2.1503322,9.475051,2.440950,-0.130950,9.785294,90.766777,14.446342
2.1704283,10.497001,0.349950,1.420050,10.598398,82.299942,1.909425
2.1905251,10.579050,-0.985950,1.321950,10.706818,82.907700,354.675507
2.2106216,9.240001,-1.551000,-0.732000,9.397821,94.467316,350.471313
2.2307181,8.992950,-2.137950,-1.134000,9.312892,96.994072,346.626984
2.2508149,9.814951,-2.619000,-1.125000,10.220472,96.319534,345.059418
2.2709115,9.979951,-1.936050,-2.301000,10.423162,102.753578,349.021332
2.2910080,9.736051,-1.327950,-3.661050,10.486058,110.434418,352.233063
2.3111048,8.874001,-1.338000,-2.962050,9.450496,108.265938,351.425659
2.3312013,8.718000,-1.432950,-1.276050,8.926656,98.218491,350.665924
2.3512981,9.274051,-1.042950,-0.313050,9.337760,91.921211,353.583527
2.3713944,9.535050,-0.981000,-0.552000,9.601263,93.295891,354.125885
2.3914909,9.268950,-1.459950,-1.086000,9.445862,96.601952,351.048889
2.4115875,9.106050,-2.145000,-0.937950,9.402178,95.725281,346.745178
2.4316843,10.033051,-2.149950,-0.466050,10.271397,92.600609,347.905182
2.4517808,11.875051,-1.696950,-0.604950,12.010930,92.887016,351.867462
2.4718773,13.876950,-1.053000,-0.868050,13.943890,93.569145,355.660645
2.4919739,13.186951,-1.198950,-0.988050,13.278155,94.267418,354.804993
2.5120707,11.131950,-2.173050,-0.379950,11.348429,91.918648,348.954285
2.5321672,10.108951,-3.117000,0.771000,10.606649,85.831482,342.863342
2.5522635,9.822001,-3.412050,3.322050,10.915576,72.281517,340.843353
2.5723603,10.138050,-3.234000,4.930950,11.728303,65.138153,342.307526
2.5924568,10.600051,-2.803050,3.810000,11.607509,70.838264,345.187897
2.6125536,11.082001,-2.887050,1.662000,11.571864,81.742378,345.398041
2.6326501,11.035951,-2.908950,0.865050,11.445633,85.665504,345.233368
2.6527467,11.328000,-2.281050,0.811950,11.583870,85.980659,348.614960
2.6728435,12.409051,-1.639050,0.832950,12.544514,86.192787,352.475647
2.6929400,13.125001,-1.479000,0.871950,13.236819,86.223015,353.570709
2.7130368,13.246951,-1.978950,0.592050,13.407031,87.469017,351.503479
2.7331331,13.057951,-2.407950,-0.538050,13.289011,92.320442,349.551758
2.7532294,13.168051,-2.197050,-2.098950,13.514073,98.935120,350.527618
2.7733262,13.654051,-1.483950,-2.226000,13.913672,99.206116,353.797333
2.7934227,13.812000,-1.285050,-1.981950,14.012524,98.131256,354.684570
2.8135195,13.407001,-1.414050,-1.513050,13.566007,96.403664,353.979218
2.8336160,13.077001,-1.627050,-0.610050,13.191945,92.650536,352.907654
2.8537126,12.397051,-1.836000,0.271050,12.535200,88.760994,351.575745
2.8738093,12.631051,-2.662050,0.946050,12.943144,85.808357,348.098816
2.8939059,11.203951,-3.265950,0.661050,11.688966,86.758003,343.748596
2.9140027,9.132000,-3.666000,-0.078000,9.840684,90.454147,338.127228
2.9340992,8.296050,-3.991050,-0.198000,9.208264,91.232094,334.308807
2.9541957,7.492050,-4.291050,-0.466050,8.646452,93.089783,330.198212
2.9742920,6.330000,-4.345950,-1.498050,7.823065,101.039833,325.527924
2.9943888,6.352050,-3.763950,-2.431950,7.773689,108.230690,329.350861
3.0144854,6.270000,-3.469050,-3.204000,7.849384,114.090866,331.045227
3.0345821,5.212050,-3.582000,-2.634000,6.850851,112.611328,325.501068
3.0546787,4.573950,-4.027050,-1.029000,6.180372,99.584084,318.638306
3.0747755,5.137050,-4.369950,-0.552000,6.766864,94.679047,319.613068
3.0948720,5.500950,-3.835950,-0.475950,6.723206,94.059486,325.110962
3.1149685,5.889000,-3.880950,-0.639000,7.081696,95.176987,326.614441
3.1350653,6.285000,-4.018050,-0.349050,7.467784,92.679024,327.408905
3.1551619,6.466950,-3.702000,0.517050,7.469511,86.030731,330.211060
3.1752586,6.991050,-3.175050,0.553050,7.698155,85.880211,335.574371
3.1953549,8.347051,-2.611950,-0.652950,8.770513,94.269524,342.624115
3.2154517,9.577950,-2.296050,-2.253000,10.103712,102.884552,346.519287
3.2355483,10.021050,-2.110950,-2.674050,10.584333,104.633926,348.104462
3.2556450,10.155001,-1.891050,-2.176050,10.556293,101.896111,349.451294
3.2757416,9.709050,-1.876950,-2.097000,10.108709,101.972656,349.058563
3.2958381,9.618000,-2.020050,-2.101950,10.050111,102.072365,348.138672
3.3159349,10.492950,-2.490000,-2.931000,11.175548,105.204742,346.650513
3.3360314,11.761950,-3.232050,-3.001950,12.561900,103.825912,344.635010
3.3561280,13.510051,-4.252050,-1.053000,14.202473,94.251930,342.529510
3.3762248,14.890051,-4.900950,0.895950,15.701454,86.728836,341.781433
3.3963213,16.162050,-4.960950,0.690000,16.920372,87.662872,342.936096
3.4164178,16.578001,-4.294950,-0.169050,17.126158,90.565567,345.475433
3.4365144,15.646951,-3.234000,-0.780000,15.996695,92.794853,348.322205
3.4566109,14.248051,-2.262000,-1.345050,14.489056,95.326561,350.979095
3.4767077,12.279000,-1.491000,-1.302000,12.437530,96.008911,353.076660
3.4968042,10.560000,-1.050000,-0.828000,10.644327,94.461426,354.321655
3.5169008,9.594001,-0.922950,-0.354000,9.644792,92.103439,354.505005
3.5369976,9.331051,-0.708000,-0.231000,9.360723,91.414063,355.660950
3.5570941,9.778951,-0.444000,-0.784950,9.820446,94.584549,357.400360
3.5771909,10.084950,-0.367950,-1.771050,10.245889,99.953842,357.910492
3.5972874,9.820050,-0.708000,-2.466000,10.149671,104.061516,355.876251
3.6173842,9.846001,-1.441050,-2.194950,10.190101,102.439011,351.673370
3.6374805,9.975000,-1.939050,-1.359000,10.252192,97.617378,348.999420
3.6575770,9.733050,-1.920000,-1.503000,10.033827,98.614944,348.840759
3.6776738,8.890051,-1.813950,-1.989000,9.288678,102.364586,348.467529
3.6977704,7.542000,-1.912050,-1.672950,7.958421,102.134735,345.774078
3.7178671,6.688951,-1.800000,-0.871050,6.981460,97.167252,344.938477
3.7379637,6.547950,-1.564950,-0.504000,6.751203,94.281303,346.558533
3.7580602,7.123050,-1.299000,-0.672000,7.271646,95.302483,349.664795
3.7781570,7.618950,-1.084050,-1.029000,7.764175,97.615921,351.902130
3.7982535,8.113951,-1.230000,-1.573050,8.356050,100.850838,351.380127
3.8183503,7.908000,-1.507950,-2.161950,8.335732,105.032051,349.204071
3.8384469,7.266000,-1.567950,-2.350950,7.796165,107.550850,347.822723
3.8585434,6.439950,-1.407000,-2.674050,7.113589,112.080399,347.675690
3.8786399,5.652000,-1.215000,-3.421950,6.717967,120.622070,347.867859
3.8987367,5.194950,-0.957000,-3.619950,6.403701,124.422447,349.562134
3.9188333,4.885950,-0.571050,-2.904000,5.712427,120.555008,353.333740
3.9389298,4.728000,-0.186000,-1.752000,5.045600,110.318184,357.747131
3.9590266,5.299950,-0.006000,-0.949950,5.384414,100.161644,359.935150
3.9791231,6.040051,0.337950,-0.181050,6.052206,91.714241,3.202447
3.9992201,7.816950,0.843000,0.199050,7.864794,88.549744,6.155136
4.0193167,10.059000,1.609950,-0.673950,10.209291,93.785042,9.093109
4.0394130,10.531051,2.043000,-1.543950,10.837927,98.190109,10.978877
4.0595098,9.862950,1.995000,-1.237050,10.138447,97.008453,11.435055
4.0796065,10.050000,1.617000,-0.694050,10.202887,93.900551,9.140299
4.0997033,11.376000,1.116000,-0.139950,11.431467,90.701462,5.602860
4.1197996,13.618051,0.232950,0.043050,13.620111,89.818901,0.980005
4.1398964,16.171051,-1.201050,-0.604950,16.226873,92.136528,355.752350
4.1599932,17.457001,-3.093000,-1.054950,17.760250,93.405342,349.952698
4.1800895,17.368950,-4.995000,-0.492000,18.079617,91.559380,343.955719
4.2001863,16.914001,-5.722950,0.184050,17.856916,89.409447,341.306458
4.2202826,17.578951,-4.990050,-0.265050,18.275404,90.830994,344.152618
4.2403793,17.431051,-3.826050,-0.865950,17.867012,92.778008,347.620117
4.2604761,15.022051,-2.893950,-1.149000,15.341355,94.295227,349.095734
4.2805724,11.794950,-2.329050,-1.707000,12.143276,98.080925,348.829987
4.3006692,9.460051,-1.825950,-2.107050,9.862368,102.336075,349.075287
4.3207660,8.919001,-1.432950,-1.848000,9.220468,101.561737,350.872711
4.3408623,9.424050,-0.954000,-1.453050,9.583015,98.721260,354.219604
4.3609595,9.321000,-0.780000,-1.984950,9.561875,101.981163,355.216522
4.3810558,8.638950,-1.089000,-2.274000,8.999359,104.636436,352.815369
4.4011526,8.590950,-1.215000,-1.411950,8.790578,99.242935,351.950165
4.4212489,9.262051,-1.207950,-0.222000,9.343126,91.361519,352.569458
4.4413457,9.067950,-1.396950,0.313950,9.180292,88.040199,351.242218
4.4614425,8.440050,-1.651050,0.318000,8.605902,87.882362,348.931519
4.4815388,7.482000,-1.405050,0.169950,7.614682,88.721123,349.364258
4.5016356,6.514050,-1.192050,-0.100050,6.622979,90.865570,349.629791
4.5217323,5.932050,-1.090950,-0.463950,6.049350,94.398575,349.579315
4.5418291,5.358000,-0.913950,-0.811050,5.495568,98.486855,350.319855
4.5619254,5.152050,-0.732000,-0.684000,5.248552,97.488182,351.913574
4.5820222,5.212050,-0.229050,-0.241050,5.222647,92.645416,357.483673
4.6021185,5.431950,0.112950,-0.387000,5.446890,94.074280,1.191216
4.6222157,5.464950,-0.127950,-1.455000,5.656773,104.904800,358.658783
4.6423120,5.815050,-0.109050,-1.399950,5.982187,103.533852,358.925659
4.6624084,6.640950,-0.358050,-0.538050,6.672325,94.625298,356.913849
4.6825056,7.192050,-0.466050,0.229950,7.210802,88.172546,356.292389
4.7026019,7.531950,-0.556950,0.709050,7.585725,84.636642,355.770966
4.7226987,7.630950,-0.550050,0.730050,7.685502,84.549225,355.877167
4.7427950,7.810050,-0.720000,0.342000,7.850621,87.503212,354.732849
4.7628918,8.313001,-1.387950,-0.021000,8.428098,90.142761,350.521240
4.7829885,9.598950,-2.281050,0.073950,9.866534,89.570564,346.632446
4.8030853,10.798950,-3.081000,0.366000,11.235828,88.133293,344.076263
4.8231816,11.590051,-3.466950,0.634950,12.114132,86.995522,343.346405
4.8432784,13.089001,-4.006050,1.197000,13.740567,85.002380,342.982635
4.8633752,15.115050,-4.449000,1.411050,15.819274,84.882523,343.598602
4.8834720,16.336050,-4.771950,1.174050,17.059204,86.053665,343.716309
4.9035683,16.392000,-4.506000,0.763950,17.017206,87.426964,344.629608
4.9236650,17.212952,-3.634050,-0.439950,17.597885,91.432556,348.078613
4.9437618,18.604950,-2.001000,-1.482000,18.770842,94.528343,353.861328
4.9638581,18.516001,-0.574050,-1.903050,18.622391,95.865379,358.224243
4.9839549,15.682951,-0.043950,-1.489050,15.753545,95.423782,359.839447
5.0040517,12.211950,-0.532950,-0.889950,12.255928,94.164131,357.501099
5.0241485,9.706950,-0.643050,-0.376950,9.735527,92.218994,356.209900
5.0442448,8.785050,-0.669000,-0.478050,8.823446,93.105782,355.645203
5.0643420,9.910951,-0.568950,-1.534050,10.045096,98.784370,356.714478
5.0844383,11.175000,0.216000,-2.121000,11.376552,100.744873,1.107324
5.1045351,11.644951,0.429000,-2.236050,11.865447,100.862373,2.109823
5.1246314,10.890000,0.525000,-1.671000,11.029959,98.713661,2.760056
5.1447287,9.532050,0.288000,-1.180050,9.609133,97.054016,1.730600
5.1648250,8.241000,0.189000,-0.583050,8.263762,94.045868,1.313797
5.1849213,8.086050,0.058050,-0.037050,8.086344,90.262520,0.411321
5.2050180,8.208000,-0.049050,0.213000,8.210910,88.513519,359.657623
5.2251143,7.621050,-0.231000,0.181950,7.626721,88.632973,358.263855
5.2452116,6.352050,-0.384000,-0.127950,6.364933,91.151855,356.540527
5.2653079,5.173050,-0.720000,-0.706050,5.270423,97.698753,352.076324
5.2854047,3.978000,-0.466050,-0.622050,4.053225,98.828094,353.317871
5.3055015,4.321050,-0.322050,-0.171000,4.336408,92.259964,355.737610
5.3255982,5.728951,-0.157050,-0.112050,5.732198,91.120056,358.429718
5.3456945,6.000000,-0.199950,-0.400950,6.016706,93.820992,358.091339
5.3657918,4.996050,-0.456000,-0.271950,5.024183,93.102837,354.784943
5.3858881,4.084050,-0.195000,-0.148050,4.091383,92.073746,357.266388
5.4059844,4.701000,-0.147000,-0.186000,4.706975,92.264679,358.208954
5.4260817,5.997000,-0.022950,-0.504000,6.018186,94.803932,359.780731
5.4461780,8.653050,0.106050,-0.559050,8.671740,93.696312,0.702170
5.4662747,10.485001,-0.094950,-0.720000,10.510121,93.928146,359.481140
