Keuwl Accelerometer Data File
2022-11-29 11-52-47

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.153050,4.474050,9.444000,10.513600,26.069046,104.451759
0.0200985,-1.735050,4.648950,9.108001,10.372021,28.582188,110.466240
0.0401969,-1.378950,4.560000,9.259050,10.412738,27.226583,106.825386
0.0602954,-1.162950,4.699050,8.895000,10.126923,28.555830,103.900604
0.0803938,-0.652950,4.771050,8.454000,9.729306,29.666481,97.792900
0.1004921,-0.058950,4.896000,8.574000,9.873590,29.729395,90.689835
0.1205905,-0.040050,4.836000,8.668051,9.925906,29.158464,90.474495
0.1406890,-0.102000,4.570050,8.763000,9.883620,27.548643,91.278587
0.1607874,-0.307950,4.684950,8.605050,9.802575,28.617624,93.760742
0.1808858,-0.346050,4.672950,8.208000,9.451322,29.720985,94.235245
0.2009843,0.016950,4.795050,8.404051,9.675788,29.707687,89.797462
0.2210825,0.156000,4.905000,8.565001,9.871302,29.811375,88.178360
0.2411810,-0.100050,4.579050,8.344050,9.518450,28.762878,91.251686
0.2612794,-0.643050,4.563000,8.341950,9.530090,28.916239,98.021698
0.2813779,-0.720000,4.773000,8.707951,9.956322,29.000526,98.578308
0.3014764,-0.102000,4.612950,9.063001,10.169940,26.981157,91.266701
0.3215747,0.649050,4.680000,9.132000,10.281882,27.356537,82.104248
0.3416732,0.939000,4.888050,8.730000,10.049262,29.689705,79.125885
0.3617716,0.910050,4.620000,8.185950,9.443642,29.908665,78.856514
0.3818701,0.754050,3.988050,8.502001,9.421102,25.519018,79.293060
0.4019685,0.541050,3.466050,9.775950,10.386311,19.740137,81.127739
0.4220670,0.607950,3.595050,10.750951,11.352398,18.733932,80.401657
0.4421655,1.497000,2.998950,10.105050,10.646443,18.350576,63.472790
0.4622639,2.047950,2.299050,7.884000,8.463876,21.331999,48.305958
0.4823624,1.329000,3.343950,6.607950,7.524178,28.570551,68.325439
0.5024609,-0.076050,4.861950,6.130950,7.825145,38.418438,90.896141
0.5225593,-1.201050,5.607000,5.652000,8.051464,45.413589,102.090363
0.5426578,-1.206000,5.194950,5.110950,7.386729,46.218517,103.069626
0.5627563,-0.460950,4.479000,4.894950,6.650899,42.609634,95.875832
0.5828547,0.037950,4.872000,5.350050,7.236081,42.323288,89.553711
0.6029532,0.867000,4.536000,5.869950,7.468822,38.193493,79.179138
0.6230516,2.032950,4.527000,5.578050,7.466007,41.657944,65.816475
0.6431501,1.887000,4.239000,5.362050,7.090943,40.871162,66.003662
0.6632485,2.055000,4.222950,6.237000,7.807465,36.979485,64.051208
0.6833470,2.320950,4.543950,8.923950,10.279649,29.759304,62.943050
0.7034455,1.771950,4.588950,10.219951,11.342207,25.702929,68.886726
0.7235440,0.502950,5.109000,7.105950,8.766377,35.846249,84.377693
0.7436424,-0.724950,5.451000,4.600950,7.169916,50.081142,97.575539
0.7637408,-0.634050,6.141000,7.053000,9.373299,41.196373,95.894821
0.7838394,5.632950,5.832000,9.439051,12.443394,40.662659,45.994648
0.8039378,10.330050,3.769950,10.183950,14.987839,47.196907,20.049545
0.8240362,9.556050,4.905000,11.191951,15.512476,43.823143,27.170858
0.8441347,7.438951,4.630050,11.122050,14.158932,38.231686,31.898397
0.8642331,4.383000,4.275000,10.039950,11.759546,31.375864,44.285328
0.8843317,2.989050,4.081050,9.748051,10.982435,27.426336,53.780140
0.9044301,4.639050,3.823050,9.190050,10.981508,33.189369,39.492004
