"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.698749981E-4,-4.041595459E-3,4.186793518E0,7.721093903E0
9.591125010E-3,3.273692322E-1,4.280498657E0,6.760092316E0
1.965112501E-2,9.285191345E-1,4.167184296E0,6.479875031E0
2.971212502E-2,1.428928528E0,3.999532928E0,7.070846100E0
3.977312503E-2,1.852098541E0,3.901337128E0,7.810009003E0
4.983312503E-2,2.169288940E0,3.760629730E0,8.514144745E0
5.989412504E-2,2.157762909E0,3.574716339E0,9.206754456E0
6.995512499E-2,2.287093964E0,3.688479767E0,9.552984467E0
8.001512499E-2,2.455493774E0,3.946393433E0,9.767787781E0
9.007612499E-2,2.675087128E0,3.307222595E0,9.428443451E0
1.001361250E-1,2.262694702E0,2.381846924E0,8.946296082E0
1.101971250E-1,1.539847870E0,1.592837677E0,8.140671387E0
1.202581250E-1,1.434167633E0,1.340013428E0,7.126530304E0
1.303181250E-1,2.098785553E0,1.684297485E0,6.466552734E0
1.403791250E-1,2.866988068E0,2.149829407E0,5.893843689E0
1.504401250E-1,3.425177307E0,2.655328217E0,5.240751801E0
1.605001250E-1,4.187691650E0,2.923570404E0,5.540727997E0
1.705611250E-1,5.072651367E0,2.873574371E0,6.389612732E0
1.806221250E-1,5.446723480E0,2.780318298E0,6.645580444E0
1.906821250E-1,5.853278046E0,2.620899811E0,6.627767487E0
2.007431250E-1,6.328090668E0,2.399809570E0,6.402485962E0
2.108041250E-1,5.910159760E0,1.913620605E0,5.567971344E0
2.208641250E-1,5.194198608E0,1.317560120E0,4.611310730E0
2.309251250E-1,5.552254028E0,1.326391754E0,4.275259552E0
2.409861250E-1,6.084397430E0,1.425485687E0,4.052971802E0
2.510461250E-1,6.320007477E0,9.668394470E-1,3.899540863E0
2.611071250E-1,6.447841644E0,2.323168945E-1,3.573369141E0
2.711681250E-1,6.535559235E0,-4.337979126E-1,3.622017975E0
2.812281250E-1,6.941215668E0,-5.369334412E-1,3.949237518E0
2.912891250E-1,7.464228058E0,-1.507365417E-1,4.357588348E0
3.013501250E-1,7.853269043E0,-2.022294617E-1,5.605243835E0
3.114101250E-1,7.989934845E0,-3.376977539E-1,6.208339691E0
3.214711250E-1,7.944579163E0,-4.779560852E-1,5.203030243E0
3.315321250E-1,8.340056763E0,-6.840774536E-2,4.514611816E0
3.415921250E-1,7.731871490E0,3.758683777E-1,4.344864807E0
3.516531250E-1,7.286846924E0,-6.010002136E-1,2.989283752E0
3.617131250E-1,8.152496796E0,-9.214837646E-1,3.743864594E0
3.717741250E-1,8.539891205E0,-1.111887817E0,4.634213104E0
3.818351250E-1,8.593330078E0,-1.649719391E0,4.389322357E0
3.918951250E-1,9.176367645E0,-1.163829803E0,5.110223236E0
4.019561250E-1,9.742191010E0,-5.987548828E-3,5.925577698E0
4.120171250E-1,9.229058075E0,4.320016479E-1,6.049819336E0
4.220771250E-1,9.097631378E0,3.890409851E-1,4.889132996E0
4.321381250E-1,9.455088043E0,4.565505981E-2,4.066443787E0
4.421991250E-1,9.981243896E0,-1.182091827E0,3.493734741E0
4.522591250E-1,9.815239105E0,-1.509311371E0,4.662803650E0
4.623201250E-1,9.411378937E0,-1.815873871E0,5.057532806E0
