"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.909958298E-3,5.906267853E0,4.138444061E0,8.502469025E0
1.897095831E-2,4.812043304E0,3.996239777E0,8.254285126E0
2.903195831E-2,3.266058197E0,3.613036652E0,7.730224915E0
3.909295832E-2,1.873204651E0,3.286864929E0,7.796087952E0
4.915395833E-2,1.092877350E0,3.397185516E0,7.704777832E0
5.921395833E-2,8.801696777E-1,3.583847351E0,7.600444794E0
6.927495828E-2,1.175355835E0,3.483406219E0,7.688012695E0
7.933595829E-2,1.867815857E0,3.435805206E0,8.042026520E0
8.939695830E-2,2.664608917E0,3.873794403E0,8.591084747E0
9.945795831E-2,3.038082275E0,4.389771423E0,8.863817596E0
1.095189583E-1,2.588567047E0,4.690795441E0,8.951235809E0
1.195799583E-1,1.234931946E0,4.702321472E0,9.190139008E0
1.296409583E-1,-2.335144043E-2,3.103945312E0,8.317603455E0
1.397019583E-1,-9.283694458E-1,1.989363098E0,5.256169739E0
1.497619583E-1,-1.354982300E0,3.161575470E0,2.965183868E0
1.598229583E-1,2.876867523E0,6.174959106E0,9.967622223E0
1.698839583E-1,3.852987671E0,4.959337006E0,8.941506042E0
1.799449583E-1,3.397335205E0,3.670217743E0,9.313183136E0
1.900059583E-1,2.619702301E0,3.595822449E0,1.066696793E1
2.000669583E-1,6.213578796E-1,3.000061340E0,1.035531601E1
2.101279583E-1,-8.464897156E-1,2.909349976E0,1.004141876E1
2.201889583E-1,-2.052831116E0,3.134332123E0,9.192534027E0
2.302499583E-1,-4.114643555E0,2.199226685E0,6.185287628E0
2.403109583E-1,-4.580325165E0,2.853665771E0,7.407346344E0
2.503709583E-1,-4.576283569E0,3.544479218E0,5.222190399E0
2.604319583E-1,-4.299209747E0,3.768263855E0,5.303471375E0
2.704929583E-1,-3.444337463E0,3.975433044E0,5.942492523E0
2.805539583E-1,-1.702110443E0,4.417912903E0,6.732399902E0
2.906149583E-1,-5.345384216E-1,4.260889435E0,7.904462585E0
3.006759583E-1,-4.918771362E-1,3.016976166E0,8.526269531E0
3.107369583E-1,-7.485932922E-1,2.161654816E0,8.040529633E0
3.207979583E-1,-1.359622650E0,2.010768585E0,7.120991821E0
3.308589583E-1,-1.928589478E0,2.088606720E0,6.870412903E0
3.409189583E-1,-2.577490082E0,2.049987030E0,8.346044312E0
3.509799583E-1,-3.204087067E0,2.822081451E0,8.899293823E0
3.610409583E-1,-3.727548523E0,2.891836395E0,7.767497406E0
3.711019583E-1,-4.366419983E0,2.616109772E0,6.850354614E0
3.811629583E-1,-3.170706482E0,3.256927185E0,6.011948090E0
3.912239583E-1,-2.819686432E0,3.028801575E0,6.098168793E0
4.012849583E-1,-3.680097198E0,2.068548431E0,6.390211487E0
4.113459583E-1,-3.666176147E0,2.146386566E0,6.256389771E0
4.214069583E-1,-3.532354431E0,2.498155060E0,5.290448456E0
4.314679583E-1,-3.229683838E0,2.607427826E0,4.915777588E0
4.415279583E-1,-3.204835510E0,2.483036499E0,4.956343231E0
4.515889583E-1,-3.099155273E0,2.403102722E0,4.724026337E0
4.616499583E-1,-2.983445892E0,1.944306793E0,4.928800507E0
4.717109583E-1,-2.335892487E0,1.420695648E0,4.806654510E0
4.817719583E-1,-2.235601044E0,1.175355835E0,8.183482361E0
4.918330417E-1,-2.153721313E0,1.198108521E0,9.877210236E0
5.018940417E-1,-1.114881592E0,9.066645813E-1,1.091410400E1
5.119550417E-1,-9.243278503E-1,1.040935364E0,1.051503387E1
5.220160416E-1,-1.278790741E0,1.579216003E0,9.313931580E0
5.320770416E-1,-9.363029480E-1,1.622176666E0,9.053473206E0
5.421370416E-1,-1.122665405E0,1.620230713E0,9.875264282E0
5.521980416E-1,-1.467099152E0,1.764830017E0,1.089105194E1
5.622590416E-1,-1.471290436E0,1.627266083E0,1.197644485E1
5.723200417E-1,-1.525028687E0,1.466500397E0,1.283640656E1
5.823810417E-1,-1.350192261E0,1.716330872E0,1.175385773E1
5.924420417E-1,-8.804690552E-1,1.787882080E0,1.040441391E1
6.025030416E-1,-4.575984192E-1,1.271156616E0,9.663604431E0
6.125640416E-1,2.826123047E-1,7.821235657E-1,8.919352112E0
6.226250416E-1,1.049617310E0,8.925938416E-1,9.238189087E0
6.326860416E-1,-4.460723877E-1,1.351838837E0,1.011880783E1
6.427460416E-1,-2.681673431E0,1.672921143E0,1.047806076E1
6.528070417E-1,-4.369563446E0,1.746867371E0,1.032882111E1
6.628680417E-1,-5.486091614E0,2.014660492E0,9.602381744E0
6.729290417E-1,-6.035149841E0,2.334844666E0,8.143365784E0
6.829900416E-1,-4.398153992E0,1.895059204E0,9.040450287E0
6.930510416E-1,-2.884950714E0,2.190993805E0,8.822802887E0
7.031120416E-1,-1.843865662E0,2.059716797E0,9.781708832E0
7.131730416E-1,-1.641486511E0,2.079326019E0,9.484427032E0
7.232340417E-1,-2.534529419E0,1.975591736E0,8.930728455E0
7.332950417E-1,-3.059637451E0,1.877246246E0,8.224646759E0
7.433550417E-1,-3.396886139E0,1.754052429E0,7.639214172E0
7.534160417E-1,-3.904330902E0,1.499880981E0,7.309749298E0
7.634770416E-1,-4.260290680E0,9.428892517E-1,7.320377197E0
7.735380416E-1,-4.574786682E0,2.984793091E-1,8.157885590E0
7.835990416E-1,-4.979994049E0,2.610571289E-1,8.472531281E0
7.936600416E-1,-5.581443329E0,4.465214539E-1,7.810757446E0
8.037210417E-1,-5.905968475E0,2.631527710E-1,7.272476807E0
8.137820417E-1,-6.569239197E0,4.650828552E-1,6.790329437E0
8.238430417E-1,-7.195387115E0,6.785389709E-1,5.962251434E0
8.339040416E-1,-7.505991211E0,2.381547546E-1,5.742209015E0
8.439640416E-1,-8.067623291E0,-1.193019104E-1,5.951174469E0
8.540250416E-1,-8.289461975E0,-4.171824646E-1,6.016438751E0
8.640860416E-1,-8.489895172E0,-1.785786438E-1,6.408174133E0
8.741470416E-1,-8.157586212E0,-3.302133179E-1,6.747219086E0
8.842080417E-1,-8.297245789E0,-5.069956970E-1,6.465205536E0
8.942690417E-1,-8.890162811E0,-6.026467896E-1,4.970863037E0
9.043300417E-1,-8.834777985E0,-9.107061768E-1,3.255879364E0
9.143910416E-1,-8.962013397E0,-1.324445801E0,2.246678009E0
9.244520416E-1,-9.485774231E0,-1.446891174E0,1.633403320E0
9.345130416E-1,-9.798473969E0,-1.510957947E0,1.330283661E0
9.445730416E-1,-9.812395020E0,-1.844464417E0,1.458716583E0
9.546340416E-1,-1.002570145E1,-2.186802521E0,2.302811279E0
9.646950416E-1,-1.040336609E1,-2.106569366E0,3.370989990E0
9.747560417E-1,-1.019185593E1,-1.955982513E0,3.945794678E0
9.848170417E-1,-9.894424438E0,-2.001188507E0,4.237987061E0
9.948780416E-1,-9.785001984E0,-2.072290649E0,4.315226440E0
1.004939042E0,-9.552834778E0,-2.128274231E0,3.962709503E0
1.015000042E0,-9.353299713E0,-2.203268280E0,3.444487152E0
1.025061042E0,-9.129066010E0,-2.084565125E0,3.100652161E0
1.035122042E0,-9.269923096E0,-2.092798004E0,2.585722961E0
1.045182042E0,-1.006027954E1,-2.500999146E0,2.331850891E0
1.055243042E0,-1.074286011E1,-2.646795959E0,2.890489197E0
1.065304042E0,-1.134999756E1,-2.717149658E0,3.692221985E0
1.075365042E0,-1.199470688E1,-2.757565613E0,4.644541626E0
