"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.089583384E-4,-2.669089735E-1,1.099778295E0,-9.542279840E-1
1.016895828E-2,-2.519233525E-1,1.474269032E0,-1.066845536E0
2.022995829E-2,-2.300851494E-1,1.615512609E0,-1.046513319E0
3.029095830E-2,-2.299512029E-1,1.668271422E0,-9.118947387E-1
4.035195831E-2,-2.556315362E-1,1.669320226E0,-6.874932647E-1
5.041295831E-2,-2.927429676E-1,1.599096298E0,-4.568768442E-1
6.047395832E-2,-3.064166903E-1,1.432410598E0,-3.039710820E-1
7.053495833E-2,-2.754198909E-1,1.240269899E0,-2.481214106E-1
8.059595834E-2,-1.765577495E-1,1.157757163E0,-2.978093028E-1
9.065695829E-2,-1.325752353E-3,1.117943645E0,-3.885056674E-1
1.007169583E-1,1.819252968E-1,1.135984898E0,-4.198721051E-1
1.107779583E-1,3.390832245E-1,1.333151340E0,-4.225136936E-1
1.208389583E-1,3.212522864E-1,1.648045063E0,-2.043039203E-1
1.308999583E-1,8.369939029E-2,1.878587723E0,2.012957782E-1
1.409609583E-1,-7.766257524E-1,1.670399308E0,6.605892777E-1
1.510219583E-1,-1.028335094E0,2.428952932E0,3.941671252E-1
1.610829583E-1,-9.373317957E-1,2.949617386E0,-1.631639898E-1
1.711439583E-1,-7.598323822E-1,3.297866583E0,-6.206048131E-1
1.812049583E-1,-5.152817369E-1,3.793560266E0,-1.060234904E0
1.912659583E-1,-2.183147818E-1,4.236018181E0,-1.271201491E0
2.013259583E-1,7.211410999E-2,4.599924088E0,-1.202998042E0
2.113869583E-1,3.941304982E-1,4.712852478E0,-9.677519798E-1
2.214479583E-1,3.602585495E-1,3.862016916E0,-3.863806725E-1
2.315089583E-1,3.022658229E-1,3.224583149E0,2.290702760E-1
2.415699583E-1,1.547083259E-1,2.058047533E0,5.552616715E-1
2.516309583E-1,-4.004199058E-2,9.099923968E-1,6.477383375E-1
2.616919583E-1,-2.212897986E-1,-4.460635036E-2,5.488635898E-1
2.717529583E-1,-4.370870888E-1,-6.890841126E-1,2.942861319E-1
2.818139583E-1,-6.522939205E-1,-8.565808535E-1,-8.489672095E-2
2.918739583E-1,-7.928899527E-1,-5.489452481E-1,-3.060048819E-1
3.019349583E-1,-9.005330205E-1,5.498225242E-2,-3.518939316E-1
3.119959583E-1,-1.080092311E0,8.494634032E-1,-3.121222854E-1
3.220569583E-1,-1.198785663E0,1.681117177E0,-3.359869123E-1
3.321179583E-1,-1.021449804E0,2.343046665E0,-2.452362329E-1
3.421789583E-1,-6.043237448E-1,2.568028927E0,1.728424244E-2
3.522399583E-1,-2.386818379E-1,2.159469128E0,2.802051008E-1
3.623009583E-1,1.020592228E-1,1.245411396E0,4.704397321E-1
3.723619583E-1,2.147463709E-1,4.775177240E-1,3.825101554E-1
3.824229583E-1,1.875189990E-1,-1.458675712E-1,1.883882731E-1
3.924829583E-1,1.057258621E-1,-6.372740269E-1,2.018915564E-1
4.025439583E-1,-1.464235503E-2,-8.460999131E-1,3.387382030E-1
4.126049583E-1,-1.960611492E-1,-9.024041891E-1,4.755306542E-1
4.226659583E-1,-4.622800648E-1,-8.315387964E-1,5.487269163E-1
4.327269583E-1,-7.918941975E-1,-6.497628689E-1,5.898059607E-1
4.427879583E-1,-1.189984798E0,-4.988008142E-1,6.405357718E-1
4.528489583E-1,-1.620024562E0,-3.049882054E-1,7.659911513E-1
4.629099583E-1,-2.180106163E0,-6.536406279E-1,9.816173315E-1
4.729709583E-1,-2.315356016E0,-7.483685017E-1,1.200032711E0
4.830320416E-1,-2.111122370E0,-8.241343498E-1,1.311473250E0
4.930920416E-1,-1.793820262E0,-7.553995252E-1,1.365942955E0
5.031530416E-1,-1.438469648E0,-5.870444179E-1,1.275619864E0
5.132140417E-1,-1.243829131E0,-5.128988028E-1,1.152888656E0
