"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.766612497E-2,-5.248086548E-1,6.027665405E0,5.926475830E0
2.772612497E-2,-7.590715027E-1,6.003415833E0,5.934109955E0
3.778612497E-2,-7.228468323E-1,5.981411591E0,5.994434509E0
4.784612497E-2,-4.769082642E-1,6.023025055E0,5.932613068E0
5.790612497E-2,-2.706372070E-1,5.836063843E0,6.155349884E0
6.796612497E-2,-2.041754150E-1,5.518274689E0,6.602619781E0
7.802612497E-2,-2.317181396E-1,5.272785187E0,6.867119751E0
8.808612498E-2,-3.781137085E-1,5.000800781E0,6.987319794E0
9.814612498E-2,-3.549119568E-1,4.800217896E0,6.702911224E0
1.082061250E-1,-4.881349182E-1,4.450844421E0,6.218518524E0
1.182661250E-1,-1.224154358E0,4.021237793E0,5.847440186E0
1.283261250E-1,-6.753955078E-1,2.992576904E0,3.812721405E0
1.383861250E-1,-2.138003998E0,1.758094025E0,3.435056763E0
1.484461250E-1,-3.183430023E0,1.913470917E0,6.092330933E0
1.585061250E-1,-2.765948181E0,1.762434998E0,5.955515442E0
1.685661250E-1,-3.991000671E0,1.858086090E0,6.049070892E0
1.786261250E-1,-3.006497955E0,2.487377472E0,5.742658081E0
1.886861250E-1,-1.357527008E0,3.615132294E0,4.301006012E0
1.987461250E-1,1.389111328E-1,4.998256073E0,3.965403900E0
2.088061250E-1,9.267228699E-1,4.838987274E0,6.384223938E0
2.188661250E-1,9.388476562E-1,3.880829773E0,7.601193237E0
2.289261250E-1,-1.761836243E-1,2.393971710E0,1.159279266E1
2.389861250E-1,-4.852908325E-1,1.327439575E0,1.232701584E1
2.490458750E-1,-1.549278259E-1,8.668473816E-1,9.451196136E0
2.591058750E-1,-2.252815247E-1,3.689826965E-1,6.751260681E0
2.691658750E-1,-6.438111877E-1,6.647676086E-1,4.320016479E0
2.792258750E-1,-2.021695862E0,8.695417786E-1,3.385060730E0
2.892858750E-1,-2.313289490E0,1.629960480E0,3.802542572E0
2.993458750E-1,-6.520440674E-1,3.121458893E0,2.702779541E0
3.094058750E-1,-2.083666992E-1,3.678151245E0,1.365759888E0
3.194658750E-1,1.316212921E0,4.312232666E0,1.388512573E0
3.295258750E-1,3.513942719E0,4.984634399E0,2.696043549E0
3.395858750E-1,3.925586700E0,4.514911194E0,4.535717926E0
3.496458750E-1,2.794987793E0,3.088826752E0,5.475314026E0
3.597058750E-1,2.479743347E0,1.825603638E0,5.385051727E0
3.697658750E-1,2.775378571E0,7.023394775E-1,4.069886627E0
3.798258750E-1,3.010090485E0,-5.319937134E-1,-1.197509766E-2
3.898858750E-1,3.609444122E0,-6.984475708E-1,-2.505639496E0
3.999458750E-1,5.568270721E0,9.892927551E-1,3.008743286E-1
4.100058750E-1,6.819219360E0,2.766397247E0,3.534300385E0
4.200658750E-1,5.991740112E0,2.052232361E0,6.898704071E0
4.301258750E-1,6.669680328E0,1.709145813E0,7.970475311E0
4.401858750E-1,8.487649841E0,5.641767883E-1,6.318959656E0
4.502458750E-1,8.940907288E0,-5.400769043E-1,4.776417389E0
4.603058750E-1,9.562115479E0,-1.728305969E0,3.591331787E0
4.703658750E-1,1.117890335E1,-2.714455261E0,4.495152283E0
4.804258750E-1,1.300301010E1,-3.258274384E0,7.088659058E0
4.904858750E-1,1.422566757E1,-3.694916382E0,7.713459778E0
