ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw
0,,0.512,-0.20479271130865648,-0.2685663993035348,-0.0854164652312789,-0.7231545113230814,-0.08541646523127946,-0.44806765605011595,2.052235905335982,-0.4055330462998969,-0.6144177839560031,-0.4687056405475624,-1.1819993447321937,-0.3431490565104884,-1.1819993447321941,3.576838549119901,-0.723293989793691,-0.8310210706698432,0.9253213239064544,1.4989741120390352,1.2557114612087408,0.21435124532010646,1.2557114612087406,-0.3498992120215789,0.04531428885760311,0.7979118279568997
1,,0.723,-0.20479271130865648,-0.2685663993035348,-0.07266781075287225,-0.6894100213891994,-0.07266781075287335,-0.25173076799304195,1.9668349854858382,-0.33287386057026613,-0.6144177839560031,-0.4687056405475624,-1.2176047387413365,-0.2581356392107782,-1.217604738741337,3.576838549119901,-0.4670912302432596,-0.5866819052333248,0.9253213239064544,1.4989741120390352,1.2523077745738738,0.252518957996378,1.2523077745738727,-0.3498992120215789,0.5150193480333938,0.6722584127629474
2,,0.933,-0.20479271130865648,-0.2685663993035348,-0.03792850880478933,-0.5842990039070436,-0.037928508804790706,-0.25173076799304195,1.6252313060852628,-0.24036142421245893,-0.6144177839560031,-0.3768267717914074,-1.2379992760008212,0.04007358639706163,-1.2379992760008214,2.398817220777457,-0.6805935298686191,-0.6371463362498128,0.9253213239064544,1.4989741120390352,1.3015812413852659,0.17587001343473285,1.3015812413852654,-0.44806765605011595,0.3442175083331065,0.7357520694880331
3,,1.138,-0.20479271130865648,-0.2685663993035348,0.04183286962523534,-0.41499088235535425,0.04183286962523397,-0.3498992120215789,1.8387336057106225,-0.28230286261666643,-0.6144177839560031,-0.3768267717914074,-1.2616080997204608,0.11464633400943965,-1.261608099720461,1.8098065566062354,-0.6378930699435471,-0.5185588400406616,0.9253213239064544,1.4989741120390352,1.2103712659867483,0.3110643441402115,1.2103712659867492,-0.44806765605011595,0.25881658848296246,0.9111212799727377
4,,1.341,-0.20479271130865648,-0.2685663993035348,0.09727195571631862,-0.45058118217013,0.0972719557163181,-0.3498992120215789,1.7533326858604785,-0.251299151233723,-0.6144177839560031,-0.3768267717914074,-1.2402867887905424,0.15749189851240084,-1.2402867887905429,2.0061434446633095,-0.6805935298686191,-0.5532585306264528,0.9253213239064544,1.4989741120390352,1.1184606938254629,0.2504278880976767,1.1184606938254642,-0.44806765605011595,0.6431207278086094,0.7636954258648632
5,,1.544,0.5134954449587862,-0.2685663993035348,0.0936678358868542,-0.4813057888943184,0.09366783588685478,-0.3498992120215789,1.6679317660103352,-0.37241345996539,-0.6144177839560031,-0.3768267717914074,-1.253807754660977,0.11864074888356628,-1.2538077546609778,2.5951541088345316,-0.5524921500934032,-0.40264379584572924,0.9253213239064544,0.9785646021850508,1.1833734663254238,-0.009718595595287973,1.1833734663254247,-0.44806765605011595,1.2836276266846882,0.8026708403347738
6,,1.747,0.6504956371538021,-0.5342316554744329,0.06688518011330864,-0.5656378560454931,0.06688518011330893,-0.44806765605011595,-0.2535889306179002,-0.5080983383680975,-0.13959382466163084,-0.3768267717914074,-1.2502293785445804,-0.3582659408869165,-1.2502293785445808,2.693322552863068,-0.723293989793691,-0.9112130479640491,0.9253213239064544,0.3769598129651622,1.27009484146694,-0.2067064749726637,1.2700948414669415,-0.3498992120215789,0.5577198079584658,0.29065333801620574
7,,1.95,0.9550322089607952,-0.6555497483281673,0.08583990827765511,-0.6417646286345442,0.08583990827765568,-0.44806765605011595,-0.9367962894190505,-0.7765619311603342,-0.13959382466163084,-0.3768267717914074,-1.2787056028706447,-0.36680561613996343,-1.278705602870645,2.693322552863068,-0.6805935298686191,-0.9426080221144729,1.1544802799274347,0.011106229623469554,1.247394403051257,-0.435965703603031,1.2473944030512585,-0.3498992120215789,-0.08278709091761256,-0.1453444311887081
8,,2.155,0.7795179065101524,-0.6555497483281673,0.09142445517667734,-0.6281172005039052,0.09142445517667817,-0.44806765605011595,-0.4670912302432596,-0.813734023371475,-0.13959382466163084,-0.3768267717914074,-1.308605086762018,-0.2647034601891162,-1.3086050867620183,3.773175437176975,-0.7659944497187627,-0.8494691810686712,0.9621848294368402,0.11533057945280324,1.176053057630986,-0.2800188854421681,1.1760530576309876,-0.3498992120215789,-0.2962893905429719,0.11542082781814528
9,,2.361,0.7795179065101524,-0.6555497483281673,0.1540478760502698,-0.7246168779870531,0.15404787605026954,-0.3498992120215789,-0.42439077031818756,-0.7207026627098797,-0.14702154592521605,-0.3768267717914074,-1.3737035817633951,-0.09698504567277315,-1.3737035817633956,2.104311888691846,-0.8513953695689066,-0.7323730971106281,0.9621848294368402,0.11533057945280324,1.1136355864619347,-0.3412125710847215,1.1136355864619378,-0.44806765605011595,-0.2962893905429719,0.08713445475254336
