ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw,gyr_x_min,gyr_x_max,gyr_x_avg,gyr_x_std,gyr_x_AUC,gyr_x_pk,gyr_x_cn,gyr_x_pw,gyr_y_min,gyr_y_max,gyr_y_avg,gyr_y_std,gyr_y_AUC,gyr_y_pk,gyr_y_cn,gyr_y_pw,gyr_z_min,gyr_z_max,gyr_z_avg,gyr_z_std,gyr_z_AUC,gyr_z_pk,gyr_z_cn,gyr_z_pw
1,walking,2.7,2.9043062200956937,4.088516746411483,3.2692474989125704,0.3279787052694462,0.3578280844580923,15.384615384615383,23.07692307692308,1662.7926246627944,0.2511961722488038,1.1267942583732058,0.720530665506742,0.1996068856459367,0.0788640529410364,7.6923076923076925,23.07692307692308,409.8390423994342,6.751196172248804,8.098086124401913,7.351892127011746,0.367203031323206,0.8046847104191961,7.6923076923076925,23.07692307692308,3444.3815984083776,-0.973404255319149,1.3563829787234043,0.1245296289783717,0.634711634300949,0.1491889614493362,0.6944444444444444,1.3888888888888888,18837.461152303003,-2.071276595744681,2.923404255319149,0.2567082820467733,1.4144095246604176,0.3075416052243517,0.6944444444444444,2.7777777777777777,51056.35048196999,-2.921276595744681,2.40531914893617,0.0715491471777739,1.3866921074212095,0.0857172951337685,0.6944444444444444,2.083333333333333,45406.95553175057
3,walking,3.1000000000000005,3.3947368421052637,5.739234449760765,4.538847117794485,0.6337246603508676,0.4742079078292747,8.333333333333334,25.0,2107.033854648068,0.8086124401913876,6.351674641148326,3.3497379813169283,2.0063962866231044,0.3499726249137089,8.333333333333334,16.666666666666668,2249.697108674381,7.184210526315789,12.921052631578949,9.122579175210754,2.209554801652852,0.9531052869623176,8.333333333333334,25.0,4038.974858601811,-0.7404255319148936,1.3563829787234043,0.2521276595744681,0.5251515507327866,0.302053928797135,0.6944444444444444,2.7777777777777777,23502.32085890121,-2.071276595744681,2.132978723404255,-0.1125197819588535,1.0625515158385288,-0.1348009269012007,0.6944444444444444,4.861111111111111,50587.39540152454,-2.1840425531914893,2.40531914893617,0.3744065412343942,1.0665041231181958,0.4485464503897198,0.6944444444444444,4.166666666666667,55544.06478881936
4,walking,3.3000000000000007,3.528708133971292,5.937799043062201,4.659945317840055,0.6463768530378735,0.4868599585803043,8.333333333333334,25.0,2162.4300499152005,0.8086124401913876,6.351674641148326,3.4933925723399404,1.936010345035108,0.3649813135280535,8.333333333333334,16.666666666666668,2326.428865900126,7.184210526315789,12.921052631578949,9.317384370015947,2.2750346639101444,0.9734580685091292,8.333333333333334,25.0,4685.956604465359,-0.7404255319148936,1.3925531914893616,0.3685598733954633,0.5576745808541798,0.4415420265430801,1.3888888888888888,6.25,33830.10782038659,-2.7404255319148936,2.132978723404255,-0.4421048004220151,1.2280717817978728,-0.5296503054560776,1.3888888888888888,5.555555555555555,73596.08303203467,-2.1840425531914893,2.40531914893617,0.5239053982767716,1.0621900592753426,0.6276490414998946,0.6944444444444444,4.861111111111111,62351.08902653714
5,walking,3.500000000000001,0.2799043062200957,5.937799043062201,4.349510138983822,1.4149735963053245,0.4544264324311456,8.333333333333334,16.666666666666668,2231.680236870013,0.8157894736842105,7.478468899521531,4.109022556390977,2.017733496351254,0.4293008641005498,16.666666666666668,25.0,2729.067249900939,7.184210526315789,13.401913875598089,9.832649806334018,2.4813277579980824,1.0272917708110167,16.666666666666668,25.0,5033.9996201665845,-0.7404255319148936,1.3914893617021276,0.3821786530684016,0.5744480794338694,0.4578575942700656,1.3888888888888888,4.166666666666667,31528.929480597777,-2.275531914893617,2.132978723404255,-0.4315983822753648,1.1975355558456249,-0.5170634084685065,1.3888888888888888,6.25,72980.85869862678,-2.1840425531914893,2.880851063829787,0.6593195006154388,1.2200650603466243,0.789877817568991,1.3888888888888888,3.4722222222222223,62949.55661583835
7,walking,3.900000000000001,-0.3277511961722488,5.937799043062201,3.688197767145137,2.257297134519896,0.385334095074865,8.333333333333334,16.666666666666668,2434.6801416071976,2.222488038277512,6.351674641148326,3.911369332421964,1.4490724649595874,0.4086505272679664,16.666666666666668,25.0,2291.616517902796,7.184210526315789,12.921052631578949,9.880041011619957,2.05814858258824,1.0322430907662643,16.666666666666668,25.0,4782.246261384689,-1.3340425531914897,1.3563829787234043,0.1095305081765429,0.6608855157910211,0.1312197177164523,0.6944444444444444,2.083333333333333,22804.524990108235,-2.071276595744681,3.24468085106383,0.3220854580622472,1.517150956018924,0.385864756688434,0.6944444444444444,2.7777777777777777,56466.86231457216,-2.301063829787234,2.40531914893617,0.0913311060312994,1.3069607065615694,0.1094164735622496,0.6944444444444444,3.4722222222222223,50801.35778262859
8,walking,4.100000000000001,4.354066985645933,5.937799043062201,4.97220323536113,0.4372396478661515,0.5194839201123569,8.333333333333334,25.0,2178.206185266222,2.767942583732057,6.351674641148326,4.26555023923445,1.2666204088366328,0.4456545026065843,16.666666666666668,25.0,2206.7153410840856,7.184210526315789,13.299043062200957,10.593301435406698,2.430923052277263,1.1067628365350282,16.666666666666668,25.0,5005.29897472312,-0.7404255319148936,1.3563829787234043,0.1940829963073676,0.5539476560244058,0.2325152728038761,0.6944444444444444,2.083333333333333,19684.836207664943,-2.071276595744681,2.532978723404255,0.0313609987691225,1.1588494845131323,0.0375710975352855,0.6944444444444444,4.861111111111111,53339.35155462923,-2.1840425531914893,2.40531914893617,0.1218920344645683,1.2678338443584385,0.1460290709922052,0.6944444444444444,2.083333333333333,42197.564739863206
12,walking,4.900000000000002,-0.8133971291866029,6.985645933014354,3.4090909090909087,3.2709187741772503,0.3561736770691994,8.333333333333334,16.666666666666668,2832.9332592791498,0.7727272727272727,4.047846889952153,2.710868079289132,1.130154345697035,0.2832250232093123,8.333333333333334,16.666666666666668,1333.6412591318897,4.150717703349282,15.480861244019138,9.099339257233993,4.298534673614165,0.9506772358304172,8.333333333333334,25.0,4676.005227167642,-0.7404255319148936,1.3563829787234043,0.2296026024265869,0.5396008911859617,0.2750684642932378,0.6944444444444444,1.3888888888888888,19202.842958277688,-2.071276595744681,2.4202127659574466,-0.0709864603481624,1.1656507219266408,-0.0850431851695807,0.6944444444444444,2.7777777777777777,49210.35320535871,-2.1840425531914893,2.40531914893617,0.4328556356602778,1.0547380639944368,0.5185696229197388,0.6944444444444444,2.7777777777777777,48528.55741474028
13,walking,5.100000000000002,0.7535885167464115,6.985645933014354,3.661881977671451,2.582193487767164,0.3825846842343305,8.333333333333334,16.666666666666668,2670.9536271937604,0.9617224880382776,4.047846889952153,2.735019366598314,1.0267093673406775,0.2857482920326596,8.333333333333334,25.0,1606.3899101998522,7.586124401913875,15.480861244019138,12.440874914559124,2.188235066401192,1.2997929015211025,8.333333333333334,16.666666666666668,4897.733402655502,-0.8797872340425532,1.3563829787234043,0.1841392649903288,0.5809389930940764,0.220602485780493,0.6944444444444444,3.4722222222222223,25775.44499732593,-2.071276595744681,3.127659574468085,0.3144276419905047,1.5030748955250623,0.3766905413945644,0.6944444444444444,3.4722222222222223,59104.01581589368,-2.1840425531914893,2.40531914893617,0.1608317214700193,1.2171675420965724,0.1926795871076468,0.6944444444444444,2.7777777777777777,45371.50087765679
14,walking,5.3000000000000025,4.131578947368421,6.985645933014354,5.093301435406697,1.052023737589726,0.5321359708633864,8.333333333333334,25.0,2318.4190848518497,1.4617224880382775,4.047846889952153,2.556163135110504,0.9920911634378096,0.2670618200861719,8.333333333333334,16.666666666666668,1368.2767814708209,7.956937799043062,15.480861244019138,11.041011619958988,2.367044425682758,1.1535385274584016,8.333333333333334,16.666666666666668,4550.943128553374,-0.7404255319148936,1.3563829787234043,0.2251978195885352,0.5387420669802933,0.2697914472298294,0.6944444444444444,1.3888888888888888,18946.05762948041,-2.071276595744681,2.132978723404255,0.0123527343063126,1.1153375520013022,0.0147988203075628,0.6944444444444444,3.4722222222222223,46431.57131898458,-2.1840425531914893,2.40531914893617,0.0334446984350273,1.3737311092013178,0.0400674109964181,0.6944444444444444,2.7777777777777777,50121.57136211812
16,walking,5.700000000000003,3.84688995215311,6.985645933014354,5.158806106174526,0.960858758022144,0.5389797424361444,16.666666666666668,25.0,2335.919779630592,3.5526315789473686,6.3875598086124405,5.260423786739576,1.0801661633635489,0.5495965150324928,8.333333333333334,25.0,2374.1686303875663,12.019138755980862,15.480861244019138,14.16473000683527,0.7248415754926489,1.4798971648932373,8.333333333333334,25.0,5895.54971443862,-0.7404255319148936,1.3563829787234043,0.3737911025145067,0.5561893953687751,0.4478091426163896,1.3888888888888888,3.4722222222222223,28740.65271457829,-2.3925531914893616,2.132978723404255,-0.4173026200105503,1.1888332933499803,-0.4999368021908575,1.3888888888888888,3.4722222222222223,61100.60036266384,-2.1840425531914893,3.951063829787234,0.5563214348514156,1.2082561881032154,0.6664840952180324,0.6944444444444444,7.638888888888889,87953.11770712052
17,walking,5.900000000000003,0.4760765550239234,6.985645933014354,3.093871041239463,2.0705690661339355,0.3232402580399438,16.666666666666668,25.0,2457.461339144055,0.6435406698564593,3.909090909090909,1.947596263385737,1.2164102292288124,0.2034802066223904,8.333333333333334,16.666666666666668,1445.9112585162736,7.741626794258373,15.222488038277511,10.428457507404875,2.252433880844235,1.0895403365945393,16.666666666666668,25.0,5006.939283875769,-0.7404255319148936,1.3563829787234043,0.31963249516441,0.523202125799495,0.3829260585633033,1.3888888888888888,2.7777777777777777,24126.207080625616,-2.071276595744681,2.132978723404255,-0.3674696676630913,1.1352088272076166,-0.4402359384874658,1.3888888888888888,4.166666666666667,60916.55897973997,-2.1840425531914893,3.975531914893617,0.7379637770353438,1.2749967275450724,0.8840952180324415,1.3888888888888888,6.25,80294.2447076783
19,walking,6.300000000000003,0.5861244019138756,6.985645933014354,2.610047846889952,1.799766891660766,0.27269156609298,25.0,33.333333333333336,2287.299432187081,2.236842105263158,5.844497607655502,4.038961038961039,0.9390954947903728,0.4219810040705563,8.333333333333334,25.0,2072.0915644629363,10.0311004784689,14.263157894736842,11.129984051036685,1.232070651698079,1.1628341545859222,16.666666666666668,25.0,5083.234841804946,-0.7404255319148936,1.3563829787234043,0.2094074204325654,0.5476518735442198,0.2508742363598062,0.6944444444444444,2.7777777777777777,23512.470907484512,-2.071276595744681,2.578723404255319,0.2165289256198347,1.3480162696344034,0.2594059405940589,0.6944444444444444,2.7777777777777777,51457.89385639528,-2.204255319148936,2.40531914893617,0.2101371549147177,1.2176506479882596,0.2517484727196124,0.6944444444444444,4.166666666666667,54654.92857689265
20,walking,6.500000000000004,3.669856459330144,6.985645933014354,4.113465481886534,0.9145098686059068,0.4297650503463542,25.0,33.333333333333336,2276.175169883956,0.1866028708133971,3.555023923444976,1.326725905673274,0.8709844409210759,0.1386131543240734,33.333333333333336,41.66666666666666,1244.7643840139967,8.464114832535886,13.777511961722489,9.251082251082252,1.4290566376227336,0.9665309814563544,16.666666666666668,33.333333333333336,4656.770300477962,-0.7404255319148936,1.3563829787234043,0.2180323544927026,0.536488388991112,0.2612070781546239,0.6944444444444444,2.083333333333333,19611.295535605277,-2.071276595744681,2.132978723404255,0.0031826973799894,1.1129071623045443,0.003812934484938,0.6944444444444444,4.166666666666667,46880.09231076002,-2.6042553191489364,2.40531914893617,0.038913311060313,1.3747581269687852,0.0466189172108696,0.6944444444444444,2.7777777777777777,47972.27737045311
